id,code_prefix_start,code_prefix_end,name,chart_template_id/id
account_group_activo,1,,Activo,l10nar_base_chart_template
account_group_activo_corriente,1.1,,ActivoCorriente,l10nar_base_chart_template
account_group_cajas_y_bancos,1.1.1,,CajasyBancos,l10nar_base_chart_template
account_group_caja,1.1.1.01,,Caja,l10nar_base_chart_template
account_group_bancos,1.1.1.02,,Bancos,l10nar_base_chart_template
account_group_inversiones,1.1.2,,Inversiones,l10nar_base_chart_template
account_group_creditos_por_ventas,1.1.3,,Créditosporventas,l10nar_base_chart_template
account_group_creditos_fiscales,1.1.4,,Créditosfiscales,l10nar_base_chart_template
account_group_creditos_fiscales_municipales,1.1.4.01,,CréditosFiscalesMunicipales,l10nar_base_chart_template
account_group_creditos_fiscales_iibb,1.1.4.02,,CréditosFiscalesIIBB,l10nar_base_chart_template
account_group_creditos_fiscales_suss,1.1.4.03,,CréditosFiscalesSUSS,l10nar_base_chart_template
account_group_creditos_fiscales_iva,1.1.4.04,,CréditosFiscalesIVA,l10nar_base_chart_template
account_group_creditos_fiscales_ganancias,1.1.4.05,,CréditosFiscalesGanancias,l10nar_base_chart_template
account_group_otros_creditos,1.1.5,,Otroscréditos,l10nar_base_chart_template
account_group_bienes_de_cambio,1.1.6,,BienesdeCambio,l10nar_base_chart_template
account_group_activo_no_corriente,1.2,,Activonocorriente,l10nar_base_chart_template
account_group_activos_fijos,1.2.1,,ActivosFijos,l10nar_base_chart_template
account_group_instalaciones,1.2.1.01,,Instalaciones,l10nar_base_chart_template
account_group_maquinarias_y_equipos,1.2.1.02,,MaquinariasyEquipos,l10nar_base_chart_template
account_group_muebles_y_útiles,1.2.1.03,,MueblesyÚtiles,l10nar_base_chart_template
account_group_rodados,1.2.1.04,,Rodados,l10nar_base_chart_template
account_group_activos_intangibles,1.2.2,,ActivosIntangibles,l10nar_base_chart_template
account_group_derechos_de_marcas,1.2.2.01,,DerechosdeMarcas,l10nar_base_chart_template
account_group_pasivo,2,,Pasivo,l10nar_base_chart_template
account_group_pasivo_corriente,2.1,,PasivoCorriente,l10nar_base_chart_template
account_group_deudas_comerciales,2.1.1,,DeudasComerciales,l10nar_base_chart_template
account_group_deudas_financieras,2.1.2,,DeudasFinancieras,l10nar_base_chart_template
account_group_deudas_fiscales,2.1.3,,DeudasFiscales,l10nar_base_chart_template
account_group_deudas_tasas_municipales,2.1.3.01,,DeudasTasasMunicipales,l10nar_base_chart_template
account_group_deudas_iibb,2.1.3.02,,DeudasIIBB,l10nar_base_chart_template
account_group_deudas_iva,2.1.3.03,,DeudasIVA,l10nar_base_chart_template
account_group_deudas_imp_ganancias,2.1.3.04,,DeudasImp.Ganancias,l10nar_base_chart_template
account_group_remueraciones_y_cargas_sociales,2.1.4,,RemuneracionesyCargasSociales,l10nar_base_chart_template
account_group_cuentas_particulares,2.1.5,,CuentasParticulares,l10nar_base_chart_template
account_group_pasivo_no_corriente,2.2,,PasivonoCorriente,l10nar_base_chart_template
account_group_deudas_comerciales_a_largo_plazo,2.2.1,,DeudasComercialesaLargoPlazo,l10nar_base_chart_template
account_group_previsiones,2.2.2,,Previsiones,l10nar_base_chart_template
account_group_patrimonio_neto,3,,PatrimonioNeto,l10nar_base_chart_template
account_group_capital_social,3.1,,CapitalSocial,l10nar_base_chart_template
account_group_reservas,3.2,,Reservas,l10nar_base_chart_template
account_group_resultados,3.3,,Resultados,l10nar_base_chart_template
account_group_ingresos,4,,Ingresos,l10nar_base_chart_template
account_group_ingresos_por_ventas,4.1,,Ingresosporventas,l10nar_base_chart_template
account_group_ingresos_por_resultados_financieros,4.2,,Ingresosporresultadosfinancieros,l10nar_base_chart_template
account_group_ingresos_extraordinarios,4.3,,IngresosExtraordinarios,l10nar_base_chart_template
account_group_egresos,5,,Egresos,l10nar_base_chart_template
account_group_gastos_operativos,5.1,,GastosOperativos,l10nar_base_chart_template
account_group_costo_de_mercadería_vendida,5.1.1,,CostodeMercaderíaVendida,l10nar_base_chart_template
account_group_gastos_de_producción,5.1.2,,GastosdeProducción,l10nar_base_chart_template
account_group_gastos_comerciales,5.2,,GastosComerciales,l10nar_base_chart_template
account_group_gastos_administrativos,5.3,,GastosAdministrativos,l10nar_base_chart_template
account_group_impuestos,5.4,,Impuestos,l10nar_base_chart_template
account_group_tasas_municipales,5.4.1,,TasasMunicipales,l10nar_base_chart_template
account_group_iibb,5.4.2,,IIBB,l10nar_base_chart_template
account_group_otros_impuestos,5.4.3,,OtrosImpuestos,l10nar_base_chart_template
account_group_imp_a_las_ganancias,5.5,,ImpalasGanancias,l10nar_base_chart_template
account_group_gastos_financieros,5.6,,GastosFinancieros,l10nar_base_chart_template
account_group_cuentas_puentes,6,,CUENTASPUENTES,l10nar_base_chart_template
