id,sequence,code,name,l10n_ar_letter,report_name,internal_type,doc_code_prefix,country_id/id,purchase_aliquots
dc_a_f,10,1,FACTURASA,A,FACTURA,invoice,FA-A,base.ar,not_zero
dc_a_nd,20,2,NOTASDEDEBITOA,A,NOTADEDEBITO,debit_note,ND-A,base.ar,not_zero
dc_a_nc,30,3,NOTASDECREDITOA,A,NOTADECREDITO,credit_note,NC-A,base.ar,not_zero
dc_a_r,40,4,RECIBOSA,A,RECIBO,invoice,RE-A,base.ar,not_zero
dc_a_nvc,50,5,NOTASDEVENTAALCONTADOA,A,,invoice,NVC-A,base.ar,not_zero
dc_b_f,60,6,FACTURASB,B,FACTURA,invoice,FA-B,base.ar,zero
dc_b_nd,70,7,NOTASDEDEBITOB,B,NOTADEDEBITO,debit_note,ND-B,base.ar,zero
dc_b_nc,80,8,NOTASDECREDITOB,B,NOTADECREDITO,credit_note,NC-B,base.ar,zero
dc_b_r,90,9,RECIBOSB,B,RECIBO,invoice,RE-B,base.ar,zero
dc_b_nvc,100,10,NOTASDEVENTAALCONTADOB,B,,invoice,NVC-B,base.ar,zero
dc_c_f,110,11,FACTURASC,C,FACTURA,invoice,FA-C,base.ar,zero
dc_c_nd,120,12,NOTASDEDEBITOC,C,NOTADEDEBITO,debit_note,ND-C,base.ar,zero
dc_c_nc,130,13,NOTASDECREDITOC,C,NOTADECREDITO,credit_note,NC-C,base.ar,zero
dc_aduana,140,14,DOCUMENTOADUANERO,,,,,base.ar,
dc_c_r,150,15,RECIBOSC,C,RECIBO,invoice,RE-C,base.ar,zero
dc_c_nvc,160,16,NOTASDEVENTAALCONTADOC,C,,invoice,NVC-C,base.ar,zero
dc_e_f,170,19,FACTURASDEEXPORTACION,E,FACTURA,invoice,FA-E,base.ar,not_zero
dc_e_nd,180,20,NOTASDEDEBITOPOROPERACIONESCONELEXTERIOR,E,NOTADEDEBITO,debit_note,ND-E,base.ar,not_zero
dc_e_nc,190,21,NOTASDECREDITOPOROPERACIONESCONELEXTERIOR,E,NOTADECREDITO,credit_note,NC-E,base.ar,not_zero
dc_e_fs,200,22,FACTURAS-PERMISOEXPORTACIONSIMPLIFICADO-DTO.855/97,E,,,,base.ar,not_zero
dc_usados,210,30,COMPROBANTESDECOMPRADEBIENESUSADOS,,,invoice,CBU,base.ar,not_zero
dc_mandato,220,31,MANDATO-CONSIGNACION,,,,,base.ar,
dc_reciclado,230,32,COMPROBANTESPARARECICLARMATERIALES,,,invoice,CRM,base.ar,not_zero
dc_a_rg1415,240,34,"COMPROBANTESADELAPARTADOA,INC.F),R.G.Nº1415",A,,invoice,CA-A,base.ar,not_zero
dc_b_rg1415,250,35,"COMPROBANTESBDELANEXOI,APARTADOA,INC.F),R.G.Nº1415",B,,invoice,CA-B,base.ar,zero
dc_c_rg1415,260,36,"COMPROBANTESCDELANEXOI,APARTADOA,INC.F),R.G.Nº1415",C,,invoice,CA-C,base.ar,zero
dc_nd_rg1415,270,37,NOTASDEDEBITOODOCUMENTOEQUIVALENTEQUECUMPLANCONLAR.G.Nº1415,,,debit_note,ND1415,base.ar,not_zero
dc_nc_rg1415,280,38,NOTASDECREDITOODOCUMENTOEQUIVALENTEQUECUMPLANCONLAR.G.Nº1415,,,credit_note,NC1415,base.ar,not_zero
dc_a_o_rg1415,290,39,OTROSCOMPROBANTESAQUECUMPLENCONLAR.G.Nº1415,A,,invoice,OC-A,base.ar,not_zero
dc_b_o_rg1415,300,40,OTROSCOMPROBANTESBQUECUMPLANCONLAR.G.Nº1415,B,,invoice,OC-B,base.ar,zero
dc_c_o_rg1415,310,41,OTROSCOMPROBANTESCQUECUMPLANCONLAR.G.Nº1415,C,,invoice,OC-C,base.ar,zero
dc_a_rf,320,50,RECIBOFACTURAAREGIMENDEFACTURADECREDITO,A,,,,base.ar,not_zero
dc_m_f,330,51,FACTURASM,M,FACTURA,invoice,FA-M,base.ar,not_zero
dc_m_nd,340,52,NOTASDEDEBITOM,M,NOTADEDEBITO,debit_note,ND-M,base.ar,not_zero
dc_m_nc,350,53,NOTASDECREDITOM,M,NOTADECREDITO,credit_note,NC-M,base.ar,not_zero
dc_m_r,360,54,RECIBOSM,M,RECIBO,invoice,RE-M,base.ar,not_zero
dc_m_nvc,370,55,NOTASDEVENTAALCONTADOM,M,,invoice,NVC-M,base.ar,not_zero
dc_m_rg1415,380,56,"COMPROBANTESMDELANEXOI,APARTADOA,INC.F),R.G.Nº1415",M,,invoice,CA-M,base.ar,not_zero
dc_m_o_rg1415,390,57,OTROSCOMPROBANTESMQUECUMPLANCONLAR.G.Nº1415,M,,invoice,OC-M,base.ar,not_zero
