id,chart_template_id:id,code,name,user_type_id:id,reconcile
au_11110,l10n_au.l10n_au_chart_template,11110,BankAccount,account.data_account_type_liquidity,FALSE
au_11130,l10n_au.l10n_au_chart_template,11130,PettyCash,account.data_account_type_liquidity,FALSE
au_11140,l10n_au.l10n_au_chart_template,11140,CashDrawer,account.data_account_type_liquidity,FALSE
au_11180,l10n_au.l10n_au_chart_template,11180,UndepositedFunds,account.data_account_type_current_assets,TRUE
au_11190,l10n_au.l10n_au_chart_template,11190,ElectronicClearingAccount,account.data_account_type_current_assets,TRUE
au_11200,l10n_au.l10n_au_chart_template,11200,TradeDebtors,account.data_account_type_receivable,TRUE
au_11201,l10n_au.l10n_au_chart_template,11201,TradeDebtors(PoS),account.data_account_type_receivable,TRUE
au_11210,l10n_au.l10n_au_chart_template,11210,LessProv'nforDoubtfulDebts,account.data_account_type_current_assets,FALSE
au_11310,l10n_au.l10n_au_chart_template,11310,RawMaterials,account.data_account_type_current_assets,FALSE
au_11320,l10n_au.l10n_au_chart_template,11320,FinishedGoods,account.data_account_type_current_assets,FALSE
au_11330,l10n_au.l10n_au_chart_template,11330,TradingStockonHand,account.data_account_type_current_assets,FALSE
au_12100,l10n_au.l10n_au_chart_template,12100,DepositsPaid,account.data_account_type_prepayments,FALSE
au_12200,l10n_au.l10n_au_chart_template,12200,PrepaidInsurance,account.data_account_type_current_assets,FALSE
au_13110,l10n_au.l10n_au_chart_template,13110,ManufacturingPlantatCost,account.data_account_type_fixed_assets,FALSE
au_13120,l10n_au.l10n_au_chart_template,13120,Manufac.PlantAccumDep,account.data_account_type_fixed_assets,FALSE
au_13130,l10n_au.l10n_au_chart_template,13130,ManufacturingEquipmentCost,account.data_account_type_fixed_assets,FALSE
au_13140,l10n_au.l10n_au_chart_template,13140,Manufac.EquipAccumDep,account.data_account_type_fixed_assets,FALSE
au_13210,l10n_au.l10n_au_chart_template,13210,Furniture&FixturesatCost,account.data_account_type_fixed_assets,FALSE
au_13220,l10n_au.l10n_au_chart_template,13220,Furniture&FixturesAccumDep,account.data_account_type_fixed_assets,FALSE
au_13310,l10n_au.l10n_au_chart_template,13310,OfficeEquipatCost,account.data_account_type_fixed_assets,FALSE
au_13320,l10n_au.l10n_au_chart_template,13320,OfficeEquipAccumDep,account.data_account_type_fixed_assets,FALSE
au_13410,l10n_au.l10n_au_chart_template,13410,MotorVehiclesatCost,account.data_account_type_fixed_assets,FALSE
au_13420,l10n_au.l10n_au_chart_template,13420,MotorVehiclesAccumDep,account.data_account_type_fixed_assets,FALSE
au_21110,l10n_au.l10n_au_chart_template,21110,CreditCard,account.data_account_type_current_liabilities,FALSE
au_21200,l10n_au.l10n_au_chart_template,21200,TradeCreditors,account.data_account_type_payable,TRUE
au_21210,l10n_au.l10n_au_chart_template,21210,A/PAccrual-Inventory,account.data_account_type_current_liabilities,FALSE
au_21310,l10n_au.l10n_au_chart_template,21310,GSTCollected,account.data_account_type_current_liabilities,FALSE
au_21330,l10n_au.l10n_au_chart_template,21330,GSTPaid,account.data_account_type_current_assets,FALSE
au_21350,l10n_au.l10n_au_chart_template,21350,FuelTaxCreditsAccrued,account.data_account_type_current_liabilities,FALSE
au_21355,l10n_au.l10n_au_chart_template,21355,WETPayable,account.data_account_type_current_liabilities,FALSE
au_21360,l10n_au.l10n_au_chart_template,21360,ImportDutyPayable,account.data_account_type_current_liabilities,FALSE
au_21370,l10n_au.l10n_au_chart_template,21370,VoluntaryWithholdingsPayable,account.data_account_type_current_liabilities,FALSE
au_21380,l10n_au.l10n_au_chart_template,21380,ABNWithholdingsPayable,account.data_account_type_current_liabilities,FALSE
au_21410,l10n_au.l10n_au_chart_template,21410,PayrollAccrualsPayable,account.data_account_type_current_liabilities,FALSE
au_21420,l10n_au.l10n_au_chart_template,21420,PAYGWithholdingPayable,account.data_account_type_current_liabilities,FALSE
au_21600,l10n_au.l10n_au_chart_template,21600,CustomerDeposits,account.data_account_type_current_liabilities,FALSE
au_21700,l10n_au.l10n_au_chart_template,21700,OtherCurrentLiabilities,account.data_account_type_current_liabilities,FALSE
au_22100,l10n_au.l10n_au_chart_template,22100,MortgagesPayable,account.data_account_type_non_current_liabilities,FALSE
au_22200,l10n_au.l10n_au_chart_template,22200,NotesPayable,account.data_account_type_non_current_liabilities,FALSE
au_22300,l10n_au.l10n_au_chart_template,22300,OtherLongTermLiabilities,account.data_account_type_non_current_liabilities,FALSE
au_31100,l10n_au.l10n_au_chart_template,31100,CapitalInvestment,account.data_account_type_equity,FALSE
au_31200,l10n_au.l10n_au_chart_template,31200,CapitalDrawings,account.data_account_type_equity,FALSE
au_38000,l10n_au.l10n_au_chart_template,38000,RetainedEarnings,account.data_account_type_equity,FALSE
au_39000,l10n_au.l10n_au_chart_template,39000,CurrentYearEarnings,account.data_unaffected_earnings,FALSE
au_39999,l10n_au.l10n_au_chart_template,39999,HistoricalBalancing,account.data_account_type_equity,FALSE
au_41110,l10n_au.l10n_au_chart_template,41110,SalesProduct#1,account.data_account_type_revenue,FALSE
au_41120,l10n_au.l10n_au_chart_template,41120,SalesProduct#2,account.data_account_type_revenue,FALSE
au_41130,l10n_au.l10n_au_chart_template,41130,SalesProduct#3,account.data_account_type_revenue,FALSE
au_42000,l10n_au.l10n_au_chart_template,42000,WholesaleSales,account.data_account_type_revenue,FALSE
au_43000,l10n_au.l10n_au_chart_template,43000,ConsignmentSales,account.data_account_type_revenue,FALSE
au_44000,l10n_au.l10n_au_chart_template,44000,FreightIncome,account.data_account_type_revenue,FALSE
au_45000,l10n_au.l10n_au_chart_template,45000,LateFeesCollected,account.data_account_type_other_income,FALSE
au_46000,l10n_au.l10n_au_chart_template,46000,MiscellaneousIncome,account.data_account_type_other_income,FALSE
au_47000,l10n_au.l10n_au_chart_template,47000,FuelTaxCredits,account.data_account_type_other_income,FALSE
au_51110,l10n_au.l10n_au_chart_template,51110,CostofGoodsSold#1,account.data_account_type_direct_costs,FALSE
au_51120,l10n_au.l10n_au_chart_template,51120,CostofGoodsSold#2,account.data_account_type_direct_costs,FALSE
au_51130,l10n_au.l10n_au_chart_template,51130,CostofGoodsSold#3,account.data_account_type_direct_costs,FALSE
au_52000,l10n_au.l10n_au_chart_template,52000,WholesaleCostofSales,account.data_account_type_direct_costs,FALSE
au_53000,l10n_au.l10n_au_chart_template,53000,ConsignmentCostofSales,account.data_account_type_direct_costs,FALSE
au_54000,l10n_au.l10n_au_chart_template,54000,WagesforProductionLabour,account.data_account_type_direct_costs,FALSE
