id,code_prefix_start,code_prefix_end,name,chart_template_id/id
be_group_1,1,,"Fondspropres,provisionspourrisquesetchargesetdettesàplusd'unan",l10n_be.l10nbe_chart_template
be_group_10,10,,"Capital",l10n_be.l10nbe_chart_template
be_group_100,100,,"Capitalsouscrit",l10n_be.l10nbe_chart_template
be_group_101,101,,"Capitalnonappelé(–)",l10n_be.l10nbe_chart_template
be_group_11,11,,"Primesd'émission",l10n_be.l10nbe_chart_template
be_group_12,12,,"Plus-valuesderéévaluation",l10n_be.l10nbe_chart_template
be_group_120,120,,"Plus-valuesderéévaluationsurimmobilisationsincorporelles",l10n_be.l10nbe_chart_template
be_group_121,121,,"Plus-valuesderéévaluationsurimmobilisationscorporelles",l10n_be.l10nbe_chart_template
be_group_122,122,,"Plus-valuesderéévaluationsurimmobilisationsfinancières",l10n_be.l10nbe_chart_template
be_group_123,123,,"Plus-valuesderéévaluationsurstocks",l10n_be.l10nbe_chart_template
be_group_124,124,,"Reprisesderéductionsdevaleursurplacementsdetrésorerie",l10n_be.l10nbe_chart_template
be_group_13,13,,"Réserves",l10n_be.l10nbe_chart_template
be_group_130,130,,"Réservelégale",l10n_be.l10nbe_chart_template
be_group_131,131,,"Réservesindisponibles",l10n_be.l10nbe_chart_template
be_group_132,132,,"Réservesimmunisées",l10n_be.l10nbe_chart_template
be_group_133,133,,"Réservesdisponibles",l10n_be.l10nbe_chart_template
be_group_14,14,,"BénéficereportéouPertereportée(–)",l10n_be.l10nbe_chart_template
be_group_15,15,,"Subsidesencapital",l10n_be.l10nbe_chart_template
be_group_16,16,,"Provisionsetimpôtsdifférés",l10n_be.l10nbe_chart_template
be_group_160,160,,"Provisionspourpensionsetobligationssimilaires",l10n_be.l10nbe_chart_template
be_group_161,161,,"Provisionspourchargesfiscales",l10n_be.l10nbe_chart_template
be_group_162,162,,"Provisionspourgrossesréparationsetgrosentretien",l10n_be.l10nbe_chart_template
be_group_163,163,,"Provisionspourobligationsenvironnementales",l10n_be.l10nbe_chart_template
be_group_164,164,165,"Provisionspourautresrisquesetcharges",l10n_be.l10nbe_chart_template
be_group_168,168,,"Impôtsdifférés",l10n_be.l10nbe_chart_template
be_group_17,17,,"Dettesàplusd'unan",l10n_be.l10nbe_chart_template
be_group_170,170,,"Empruntssubordonnés",l10n_be.l10nbe_chart_template
be_group_171,171,,"Empruntsobligatairesnonsubordonnés",l10n_be.l10nbe_chart_template
be_group_172,172,,"Dettesdelocation-financementetdettesassimilées",l10n_be.l10nbe_chart_template
be_group_173,173,,"Etablissementsdecrédit",l10n_be.l10nbe_chart_template
be_group_174,174,,"Autresemprunts",l10n_be.l10nbe_chart_template
be_group_175,175,,"Dettescommerciales",l10n_be.l10nbe_chart_template
be_group_176,176,,"Acomptesreçussurcommandes",l10n_be.l10nbe_chart_template
be_group_178,178,,"Cautionnementsreçusennuméraire",l10n_be.l10nbe_chart_template
be_group_179,179,,"Dettesdiverses",l10n_be.l10nbe_chart_template
be_group_19,19,,"Acompteauxassociéssurlepartagedel'actifnet(-)",l10n_be.l10nbe_chart_template
be_group_2,2,,"Fraisd'établissement,actifsimmobilisésetcréancesàplusd'unan",l10n_be.l10nbe_chart_template
be_group_20,20,,"Fraisd'établissement",l10n_be.l10nbe_chart_template
be_group_200,200,,"Fraisdeconstitutionetd'augmentationdecapital",l10n_be.l10nbe_chart_template
be_group_201,201,,"Fraisd'émissiond'emprunts",l10n_be.l10nbe_chart_template
be_group_202,202,,"Autresfraisd'établissement",l10n_be.l10nbe_chart_template
be_group_204,204,,"Fraisderestructuration",l10n_be.l10nbe_chart_template
be_group_21,21,,"Immobilisationincorporelles",l10n_be.l10nbe_chart_template
be_group_210,210,,"Fraisderechercheetdedéveloppement",l10n_be.l10nbe_chart_template
be_group_211,211,,"Concessions,brevets,licences,savoir-faire,marquesetdroitssimilaires",l10n_be.l10nbe_chart_template
be_group_212,212,,"Goodwill",l10n_be.l10nbe_chart_template
be_group_213,213,,"Acomptesversés",l10n_be.l10nbe_chart_template
be_group_22,22,,"Terrainsetconstructions",l10n_be.l10nbe_chart_template
be_group_220,220,,"Terrains",l10n_be.l10nbe_chart_template
be_group_221,221,,"Constructions",l10n_be.l10nbe_chart_template
be_group_222,222,,"Terrainsbâtis",l10n_be.l10nbe_chart_template
be_group_223,223,,"Autresdroitsréelssurdesimmeubles",l10n_be.l10nbe_chart_template
be_group_23,23,,"Installations,machinesetoutillage",l10n_be.l10nbe_chart_template
be_group_24,24,,"Mobilieretmatérielroulant",l10n_be.l10nbe_chart_template
be_group_25,25,,"Immobilisationsdétenuesenlocation-financementetdroitssimilaires",l10n_be.l10nbe_chart_template
be_group_250,250,,"Terrainsetconstruction",l10n_be.l10nbe_chart_template
be_group_251,251,,"Installations,machinesetoutillage",l10n_be.l10nbe_chart_template
be_group_252,252,,"Mobilieretmatérielroulant",l10n_be.l10nbe_chart_template
be_group_26,26,,"Autresimmobilisationscorporelles",l10n_be.l10nbe_chart_template
be_group_27,27,,"Immobilisationscorporellesencoursetacomptesversés",l10n_be.l10nbe_chart_template
be_group_28,28,,"Immobilisationsfinancières",l10n_be.l10nbe_chart_template
be_group_280,280,,"Participationsdansdesentreprisesliées",l10n_be.l10nbe_chart_template
be_group_281,281,,"Créancessurdesentreprisesliées",l10n_be.l10nbe_chart_template
be_group_282,282,,"Participationsdansdesentreprisesaveclesquellesilexisteunliendeparticipation",l10n_be.l10nbe_chart_template
be_group_283,283,,"Créancessurdesentreprisesaveclesquellesilexisteunliendeparticipation",l10n_be.l10nbe_chart_template
be_group_284,284,,"Autresactionsetparts",l10n_be.l10nbe_chart_template
be_group_285,285,,"Autrescréances",l10n_be.l10nbe_chart_template
be_group_288,288,,"Cautionnementsversésennuméraire",l10n_be.l10nbe_chart_template
be_group_29,29,,"Créancesàplusd'unan",l10n_be.l10nbe_chart_template
be_group_290,290,,"Créancescommerciales",l10n_be.l10nbe_chart_template
be_group_291,291,,"Autrescréances",l10n_be.l10nbe_chart_template
be_group_3,3,,"Stocksetcommandesencoursd'exécution",l10n_be.l10nbe_chart_template
be_group_30,30,,"Approvisionnements-Matièrespremières",l10n_be.l10nbe_chart_template
be_group_300,300,,"Valeurd'acquisition",l10n_be.l10nbe_chart_template
be_group_309,309,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_31,31,,"Approvisionnements-Fournitures",l10n_be.l10nbe_chart_template
be_group_310,310,,"Valeurd'acquisition",l10n_be.l10nbe_chart_template
be_group_319,319,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_32,32,,"En-coursdefabrication",l10n_be.l10nbe_chart_template
be_group_320,320,,"Valeurd'acquisition",l10n_be.l10nbe_chart_template
be_group_329,329,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_33,33,,"Produitsfinis",l10n_be.l10nbe_chart_template
be_group_330,330,,"Produitsfinis",l10n_be.l10nbe_chart_template
be_group_339,339,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_34,34,,"Marchandises",l10n_be.l10nbe_chart_template
be_group_340,340,,"Valeurd'acquisition",l10n_be.l10nbe_chart_template
be_group_349,349,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_35,35,,"Immeublesdestinésàlavente",l10n_be.l10nbe_chart_template
be_group_350,350,,"Valeurd'acquisition",l10n_be.l10nbe_chart_template
be_group_359,359,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_36,36,,"Acomptesverséssurachatspourstocks",l10n_be.l10nbe_chart_template
be_group_360,360,,"Acomptesversés",l10n_be.l10nbe_chart_template
be_group_369,369,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_37,37,,"Commandesencoursd'exécution",l10n_be.l10nbe_chart_template
be_group_370,370,,"Valeurd'acquisition",l10n_be.l10nbe_chart_template
be_group_371,371,,"Bénéficeprisencompte",l10n_be.l10nbe_chart_template
be_group_379,379,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_4,4,,"Créancesetdettesàunanauplus",l10n_be.l10nbe_chart_template
be_group_40,40,,"Créancescommerciales",l10n_be.l10nbe_chart_template
be_group_400,400,,"Clients",l10n_be.l10nbe_chart_template
be_group_401,401,,"Effetsàrecevoir",l10n_be.l10nbe_chart_template
be_group_404,404,,"Produitsàrecevoir",l10n_be.l10nbe_chart_template
be_group_406,406,,"Acomptesversés",l10n_be.l10nbe_chart_template
be_group_407,407,,"Créancesdouteuses",l10n_be.l10nbe_chart_template
be_group_409,409,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_41,41,,"Autrescréances",l10n_be.l10nbe_chart_template
be_group_410,410,,"Capitalappelé,nonversé",l10n_be.l10nbe_chart_template
be_group_411,411,,"T.V.A.àrécupérer",l10n_be.l10nbe_chart_template
be_group_412,412,,"Impôtsetprécomptesàrécupérer",l10n_be.l10nbe_chart_template
be_group_414,414,,"Produitsàrecevoir",l10n_be.l10nbe_chart_template
be_group_416,416,,"Créancesdiverses",l10n_be.l10nbe_chart_template
be_group_417,417,,"Créancesdouteuses",l10n_be.l10nbe_chart_template
be_group_418,418,,"Cautionnementsversésennuméraire",l10n_be.l10nbe_chart_template
be_group_419,419,,"Réductionsdevaleuractées(–)",l10n_be.l10nbe_chart_template
be_group_42,42,,"Dettesàplusd'unanéchéantdansl'année16(mêmesubdivisionquele17)",l10n_be.l10nbe_chart_template
be_group_43,43,,"Dettesfinancières",l10n_be.l10nbe_chart_template
be_group_430,430,,"Etablissementsdecrédit-Empruntsencompteàtermefixe",l10n_be.l10nbe_chart_template
be_group_431,431,,"Etablissementsdecrédit-Promesses",l10n_be.l10nbe_chart_template
be_group_432,432,,"Etablissementsdecrédit-Créditsd'acceptation",l10n_be.l10nbe_chart_template
be_group_433,433,,"Etablissementsdecrédit-Dettesencomptecourant",l10n_be.l10nbe_chart_template
be_group_439,439,,"Autresemprunts",l10n_be.l10nbe_chart_template
be_group_44,44,,"Dettescommerciales",l10n_be.l10nbe_chart_template
be_group_440,440,,"Fournisseurs",l10n_be.l10nbe_chart_template
be_group_441,441,,"Effetsàpayer",l10n_be.l10nbe_chart_template
be_group_444,444,,"Facturesàrecevoir",l10n_be.l10nbe_chart_template
be_group_45,45,,"Dettesfiscales,salarialesetsociales",l10n_be.l10nbe_chart_template
be_group_450,450,,"Dettesfiscalesestimées",l10n_be.l10nbe_chart_template
be_group_451,451,,"T.V.A.àpayer",l10n_be.l10nbe_chart_template
be_group_452,452,,"Impôtsettaxesàpayer",l10n_be.l10nbe_chart_template
be_group_453,453,,"Précomptesretenus",l10n_be.l10nbe_chart_template
be_group_454,454,,"Officenationaldelasécuritésociale",l10n_be.l10nbe_chart_template
be_group_455,455,,"Rémunérations",l10n_be.l10nbe_chart_template
be_group_456,456,,"Péculesdevacances",l10n_be.l10nbe_chart_template
be_group_459,459,,"Autresdettessociales",l10n_be.l10nbe_chart_template
be_group_46,46,,"Acomptesreçussurcommandes",l10n_be.l10nbe_chart_template
be_group_47,47,,"Dettesdécoulantdel'affectationdurésultat",l10n_be.l10nbe_chart_template
be_group_470,470,,"Dividendesettantièmesd'exercicesantérieurs",l10n_be.l10nbe_chart_template
be_group_471,471,,"Dividendesdel'exercice",l10n_be.l10nbe_chart_template
be_group_472,472,,"Tantièmesdel'exercice",l10n_be.l10nbe_chart_template
be_group_473,473,,"Autresallocataires",l10n_be.l10nbe_chart_template
be_group_48,48,,"Dettesdiverses",l10n_be.l10nbe_chart_template
be_group_480,480,,"Obligationsetcouponséchus",l10n_be.l10nbe_chart_template
be_group_488,488,,"Cautionnementsreçusennuméraire",l10n_be.l10nbe_chart_template
be_group_489,489,,"Autresdettesdiverses",l10n_be.l10nbe_chart_template
be_group_49,49,,"Comptesderégularisationetcomptesd'attente",l10n_be.l10nbe_chart_template
be_group_490,490,,"Chargesàreporter",l10n_be.l10nbe_chart_template
be_group_491,491,,"Produitsacquis",l10n_be.l10nbe_chart_template
be_group_492,492,,"Chargesàimputer",l10n_be.l10nbe_chart_template
be_group_493,493,,"Produitsàreporter",l10n_be.l10nbe_chart_template
be_group_499,499,,"Comptesd'attente",l10n_be.l10nbe_chart_template
be_group_5,5,,"Placementsdetrésorerieetvaleursdisponibles",l10n_be.l10nbe_chart_template
be_group_50,50,,"Actionspropres",l10n_be.l10nbe_chart_template
be_group_51,51,,"Actions,partsetplacementsdetrésorerieautresqueplacementsàrevenufixe",l10n_be.l10nbe_chart_template
be_group_510,510,,"Valeurd'acquisition",l10n_be.l10nbe_chart_template
