"id","name","code","user_type_id/id","chart_template_id/id","currency_id/id","reconcile"
"112_001","Cajaybancos-Caja/efectivoUSD","112.001","account.data_account_type_current_assets","l10n_bo.bo_chart_template","base.USD","False"
"113_001","Cajay...-Fondosfijos/cajachica01BOB","113.001","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"115","Cajaybancos-ValoresaDepositar","115","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"116","Cajaybancos-RecaudacionesaDepositar","116","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"121","CréditosfiscalIVA/DeudoresporVentas","121","account.data_account_type_receivable","l10n_bo.bo_chart_template","","True"
"121_001","CréditosfiscalIVA/DeudoresporVentas(PoS)","121.001","account.data_account_type_receivable","l10n_bo.bo_chart_template","","True"
"122","CréditosfiscalIVA/DeudoresMorosos","122","account.data_account_type_receivable","","","True"
"123","CréditosfiscalIVA/DeudoresenGestiónJudicial","123","account.data_account_type_receivable","l10n_bo.bo_chart_template","","True"
"124","CréditosfiscalIVA/DeudoresVarios","124","account.data_account_type_receivable","l10n_bo.bo_chart_template","","True"
"125","CréditosfiscalIVA/(-)PrevisiónparaDs.Incobrables","125","account.data_account_type_receivable","l10n_bo.bo_chart_template","","True"
"131","OtrosCréditos/Préstamosotorgados","131","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"132","OtrosCréditos/AnticiposaProveedores","132","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"133","OtrosCréditos/AnticipodeImpuestos","133","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"134","OtrosCréditos/AnticipoalPersonal","134","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"135","OtrosCréditos/AlquileresPagadosporAdelantado","135","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"136","OtrosCréditos/InteresesPagadosporAdelantado","136","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"137","OtrosCréditos/Accionistas","137","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"138","OtrosCréditos/(-)PrevisiónparaDescuentos","138","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"139","OtrosCréditos/(-)Intereses(+)aDevengar","139","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"141","Inversiones/AccionesTransitorias","141","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"142","Inversiones/AccionesPermanentes","142","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"143","Inversiones/TítulosPúblicos","143","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"144","Inversiones/(-)PrevisiónparaDevalorizacióndeAcciones","144","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"151_01","BienesdeCambio-ExistenciadeMercaderías/Categoriadeproductos01","151.01","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"152","BienesdeCambio-MercaderíasenTránsito","152","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"153","Materiasprimas","153","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"154","ProductosenCursodeElaboración","154","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"155","ProductosElaborados","155","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"156","MaterialesVarios","156","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"157","(-)DesvalorizacióndeExistencias","157","account.data_account_type_current_assets","l10n_bo.bo_chart_template","","False"
"161","BienesdeUso/Inmuebles","161","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"162","BienesdeUso/Maquinaria","162","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"163","BienesdeUso/Equipos","163","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"164","BienesdeUso/Vehículos","164","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"165","BienesdeUso/(-)DepreciaciónAcumuladaBienesdeUso","165","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"171","BienesIntangibles/MarcasdeFábrica","171","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"172","BienesIntangibles/ConcesionesyFranquicias","172","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"173","BienesIntangibles/PatentesdeInvención","173","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"174","BienesIntangibles/(-)AmortizaciónAcumulada","174","account.data_account_type_fixed_assets","l10n_bo.bo_chart_template","","False"
"211","DeudasComerciales/Proveedores","211","account.data_account_type_payable","l10n_bo.bo_chart_template","","True"
"212","DeudasComerciales/AnticiposdeClientes","212","account.data_account_type_payable","l10n_bo.bo_chart_template","","True"
"213","DeudasComerciales/(-)InteresesaDevengarporComprasalCrédito","213","account.data_account_type_payable","l10n_bo.bo_chart_template","","True"
"221","DeudasBancariasyFinancieras/AdelantosenCuentaCorriente","221","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"222","DeudasBancariasyFinancieras/Prestamos","222","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"223","DeudasBancariasyFinancieras/ObligacionesaPagar","223","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"224","DeudasBancariasyFinancieras/InteresesaPagar","224","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"225","DeudasBancariasyFinancieras/LetrasdeCambioEmitidos","225","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"231","DeudasFiscales/IVAaPagar","231","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"232","DeudasFiscales/ImpuestoalasTransaccionesITaPagar","232","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"233","DeudasFiscales/ImpuestoalasUtilidadesdeEmpresasIUEaPagar","233","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"241","DeudasSociales/SueldosaPagar","241","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"242","DeudasSociales/CargasSocialesaPagar","242","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"243","DeudasSociales/ProvisiónparaSueldoAnualComplementario","243","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"244","DeudasSociales/RetencionesaDepositar","244","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"251","OtrasDeudas/AcreedoresVarios","251","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"252","OtrasDeudas/DividendosaPagar","252","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"253","OtrasDeudas/CobrosporAdelantado","253","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"254","OtrasDeudas/HonorariosDirectoresySíndicosaPagar","254","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"261","Previsiones/PrevisiónIndemnizaciónporDespidos","261","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"262","Previsiones/PrevisiónparajuiciosPendientes","262","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"263","Previsiones/PrevisiónparaGarantíasporService","263","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"311","Capitalsocial/CapitalSuscripto","311","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"312","Capitalsocial/AccionesenCirculación","312","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"313","Capitalsocial/DividendosaDistribuirenAcciones","313","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"314","Capitalsocial/(-)DescuentodeEmisióndeAcciones","314","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"321","AportesNoCapitalizados/PrimasdeEmsión","321","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"322","AportesNoCapitalizados/AportesIrrevocablesFuturaSuscripcióndeAcciones","322","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"331","AjustesalPatrimonio/RevaluoTécnicodeBienesdeUso","331","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"341","ReservaLegal","341","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"342","ReservaEstatutaria","342","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"343","ReservaFacultativa","343","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"344","ReservaparaRenovacióndeBienesdeUso","344","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"351","ResultadosAcumulados","351","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"352","ResultadosAcumuladosdelEjercicioAnterior","352","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"353","GananciasyPérdidasdelEjercicio","353","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"354","ResultadodelEjercicio","354","account.data_account_type_current_liabilities","l10n_bo.bo_chart_template","","False"
"411_01","Ventas-Categoriadeproductos01","411.01","account.data_account_type_revenue","l10n_bo.bo_chart_template","","False"
"412","Interesesgananados,obtenidos,percibidos","412","account.data_account_type_revenue","l10n_bo.bo_chart_template","","False"
"413","Alquileresgananados,obtenidos,percibidos","413","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"414","Comisionesgananados,obtenidos,percibidos","414","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"415","Descuentosgananados,obtenidos,percibidos","415","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"416","RentadeTítulosPúblicos","416","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"417","Honorariosgananados,obtenidos,percibidos","417","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"418","GananciaVentadeAcciones","418","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
