id,code,name,note,user_type_id:id,reconcile,chart_template_id:id
account_template_101010300,1.01.01.03.00,RecursosnoExteriorDecorrentesdeExportação,"Contasqueregistrammovimentaçãoderecursoseminstituiçõesfinanceirasnoexterior,nostermosdoart.1o.daLeino11.371/2006.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101010400,1.01.01.04.00,ContasBancárias–Subvenções,"Contasqueregistramdisponibilidades,nasinstituiçõesimunesouisentas,derecursosdeaplicaçõesvinculadasaoobjetodassubvenções,mantidaseminstituiçõesfinanceiras.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101010500,1.01.01.05.00,ContasBancárias–Doações,"Contasqueregistramdisponibilidades,nasinstituiçõesimunesouisentas,derecursosdeaplicaçõesvinculadasaoobjetodasdoações,mantidaseminstituiçõesfinanceiras.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101010600,1.01.01.06.00,ContasBancárias–OutrosRecursosSujeitosaRestrições,"Contasqueregistramdisponibilidades,nasinstituiçõesimunesouisentas,deoutrosrecursossujeitosarestrições,mantidaseminstituiçõesfinanceiras.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101010701,1.01.01.07.01,ValoresMobiliários-MercadodeCapitaisInterno,"ContasqueregistramasaplicaçõesnomercadodecapitaisdoBrasil,derecursosdelivremovimentação,cujovencimentoouresgatevenhaaocorrernocursodoano-calendáriosubseqüente.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101010702,1.01.01.07.02,ValoresMobiliários-MercadodeCapitaisExterno,"Contasqueregistramasaplicaçõesnomercadodecapitaisdoexterior,derecursosdelivremovimentação,cujovencimentoouresgatevenhaaocorrernocursodoano-calendáriosubseqüente.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101010800,1.01.01.08.00,ValoresMobiliários–AplicaçõesdeSubvenções ,"Contasquecorrespondem,nasinstituiçõesimunesouisentas,àsaplicaçõesfinanceirasderecursosoriundosdesubvenções.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101010900,1.01.01.09.00,ValoresMobiliários–AplicaçõesdeDoações,"Contasquecorrespondem,nasinstituiçõesimunesouisentas,àsaplicaçõesfinanceirasderecursosoriundosdedoações.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101011000,1.01.01.10.00,ValoresMobiliários–AplicaçõesdeOutrosRecursosSujeitosaRestrições,"Contasquecorrespondem,nasinstituiçõesimunesouisentas,àsaplicaçõesfinanceirasdeoutrosrecursossujeitosarestrições.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101011100,1.01.01.11.00,Outras, ,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030101,1.01.03.01.01,MercadoriasparaRevenda,"Contasqueregistramovalordosaldodascontasdeestoquesdemercadoriaspararevenda,nadatadeapuraçãodosresultados.Observar,quantoaosestoques,asorientaçõescontidasnaInstruçãoNormativaSRFno51,de1978,enoPNCSTno6,de1979.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030102,1.01.03.01.02,Insumos(materiaisdiretos),"Contasqueregistramovalordosaldodascontasdeestoquesdematériasprimasemateriaisdiretos,nadatadeapuraçãodosresultados.Observar,quantoaosestoques,asorientaçõescontidasnaInstruçãoNormativaSRFno51,de1978,enoPNCSTno6,de1979.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030103,1.01.03.01.03,ProdutosemElaboração,"Contasqueregistramovalordosaldodascontasdeestoquesdeprodutosemelaboração,nadatadeapuraçãodosresultados.Observar,quantoaosestoques,asorientaçõescontidasnaInstruçãoNormativaSRFno51,de1978,enoPNCSTno6,de1979.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030104,1.01.03.01.04,ProdutosAcabados,"Contasqueregistramovalordosaldodascontasdeestoquesdeprodutosacabados,nadatadeapuraçãodosresultados.Observar,quantoaosestoques,asorientaçõescontidasnaInstruçãoNormativaSRFno51,de1978,enoPNCSTno6,de1979.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030105,1.01.03.01.05,Serviçosemandamento,"Contasqueregistramovalordosaldodascontasdeserviçosemandamento,nadatadeapuraçãodosresultados.Observar,quantoaosestoques,asorientaçõescontidasnaInstruçãoNormativaSRFno51,de1978,enoPNCSTno6,de1979.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030106,1.01.03.01.06,InsumosAgropecuários,"Contasqueregistram,nasempresascomatividaderural,ovalordosaldodascontasdeinsumosagropecuários,nadatadeapuraçãodosresultados.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030107,1.01.03.01.07,ProdutosAgropecuáriosemFormação,"Contasqueregistram,nasempresascomatividaderural,ovalordosaldodascontasdeprodutosagropecuáriosemformação,nadatadeapuraçãodosresultados.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030108,1.01.03.01.08,ProdutosAgropecuáriosAcabados,"Contasqueregistra,nasempresascomatividaderural,ovalordosaldodascontasdeestoquesdeprodutosagropecuáriosacabados,nadatadeapuraçãodoresultado.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030200,1.01.03.02.00,ImóveisDestinadosàVenda,Contasutilizadaspelapessoajurídicaqueexerceatividadeimobiliáriaparaindicaroestoquedeimóveisdestinadosàvendaexistentenadatadaapuraçãodosresultados.Atenção:asconstruçõesemandamentodeimóveisdestinadosàvendadevemserincluídasnacontaConstruçõesemAndamentodeImóveisDestinadosàVenda,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030201,1.01.03.02.01,ConstruçõesemAndamentodeImóveisDestinadosàVenda,Contasutilizadaspelapessoajurídicaqueexerceatividadeimobiliáriaparaindicarosimóveisemconstruçãoparafuturacomercialização,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030300,1.01.03.03.00,EstoquesDestinadosàDoação,"Contasqueregistram,nasinstituiçõesimunesouisentas,estoquesdestinadosàdoação.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101030400,1.01.03.04.00,Outras, ,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050100,1.01.05.01.00,AdiantamentosaFornecedores,Contasqueregistramaosadiantamentosfeitosafornecedoresdematérias-primasoumercadoriaspararevenda.,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050200,1.01.05.02.00,ClientesCIRCULANTE,Contasqueregistramascontasarecebercomvencimentoatéofinaldoano-calendáriosubseqüente.,account.data_account_type_receivable,TRUE,l10n_br_account_chart_template
account_template_101050201,1.01.05.02.01,ClientesCIRCULANTE(PoS),Contasqueregistramascontasarecebercomvencimentoatéofinaldoano-calendáriosubseqüente.,account.data_account_type_receivable,TRUE,l10n_br_account_chart_template
account_template_101050300,1.01.05.03.00,CréditosFiscaisCSLL–DiferençasTemporáriaseBasedeCálculoNegativa,"Ascompanhiasabertas,obrigatoriamente,deveminformar,nestascontas,ovalordoscréditosfiscaiscomrealizaçãonoexercícioseguinteedasdiferençastemporárias,inclusiveasdecorrentesdabasedecálculonegativa,relativosàCSLL,conformeDeliberaçãoCVMno273,de20deagostode1998.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050400,1.01.05.04.00,CréditosFiscaisIRPJ–DiferençasTemporáriasePrejuízosFiscais,"Ascompanhiasabertas,obrigatoriamente,deveminformar,nestascontas,ovalordoscréditosfiscaiscomrealizaçãonoexercícioseguinteedasdiferençastemporárias,inclusiveasdecorrentesdosprejuízosfiscais,relativosaoIRPJ,conformeDeliberaçãoCVMnº273,de20deagostode1998.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050501,1.01.05.05.01,ImpostodeRendaaRecuperar,ContascorrespondentesaoImpostodeREndaarecuperarnofinaldoperíododeapuração.,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050502,1.01.05.05.02,IPIaRecuperar,ContascorrespondentesaoIPIarecuperarnofinaldoperíododeapuração.,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050503,1.01.05.05.03,PISeCOFINSaRecuperar,ContascorrespondentesaoPISeàCofinsarecuperarnofinaldoperíododeapuração.,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050504,1.01.05.05.04,CSLLaRecuperar,Contascorrespondentes àCSLLarecuperarnofinaldoperíododeapuração.,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050505,1.01.05.05.05,ICMSeContribuiçõesaRecuperar,ContascorrespondentesaoICMSarecuperarnofinaldoperíododeapuração.,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050506,1.01.05.05.06,TributosMunicipaisaRecuperar,Contascorrespondentesatributosmunicipaisarecuperarnofinaldoperíododeapuração.,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050590,1.01.05.05.90,OutrosImpostoseContribuiçõesaRecuperar,Contascorrespondentesaoutrosimpostosarecuperarnofinaldoperíododeapuração.,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050600,1.01.05.06.00,CréditosporContribuiçõeseDoações,"Contasqueregistram,nasinstituiçõesimunesouisentas,créditosporcontribuiçõesoudoações.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101050700,1.01.05.07.00,Outras, ,account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101070100,1.01.07.01.00,DespesasdoExercícioSeguinte,"Contascorrespondentesapagamentosantecipados,cujosbenefíciosouprestaçãodeserviçosàpessoajurídicaocorrerãoduranteoexercícioseguinte.Sãovaloresrelativosadespesasqueefetivamentepertencemaoexercícioseguinte.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101070200,1.01.07.02.00,OutrasContas,"Incluir,dentreoutras,asomadascontas/subcontasdoCirculantequeregistram,dentreoutras,acorreçãomonetáriarelativaàdiferença,emrelaçãoaoanode1990,entreoIPCeoBTNFiscal,naformaestabelecidanosarts.32e33doDecretono332,de1991.",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101090101,1.01.09.01.01,(-)DuplicatasDescontadas,"Contasqueregistramparcelasaseremsubtraídasdocirculante,correspondentesavaloresdasduplicatasdescontadasqueretificamestegrupo",account.data_account_type_current_assets,,l10n_br_account_chart_template
account_template_101090103,1.01.09.01.03,(-)ProvisõesparaCréditosdeLiquidaçãoDuvidosa,"Contasqueregistramparcelasaseremsubtraídasdocirculante,correspondentesavaloresdasprovisõesparacréditosdeliquidaçãoduvidosaqueretificamestegrupo.",account.data_account_type_current_assets,,l10n_br_account_chart_template
