"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"chart1141_en","StockInHand","1141","account.data_account_type_current_assets","l10n_ca.ca_en_chart_template_en","False"
"chart1145_en","StockDeliveredButNotBilled","1145","account.data_account_type_current_assets","l10n_ca.ca_en_chart_template_en","True"
"chart1151_en","CustomersAccount","1151","account.data_account_type_receivable","l10n_ca.ca_en_chart_template_en","True"
"chart11511_en","CustomersAccount(PoS)","11511","account.data_account_type_receivable","l10n_ca.ca_en_chart_template_en","True"
"chart1181_en","GSTreceivable","1181","account.data_account_type_current_assets","l10n_ca.ca_en_chart_template_en","False"
"chart1182_en","PST/QSTreceivable","1182","account.data_account_type_current_assets","l10n_ca.ca_en_chart_template_en","False"
"chart11831_en","HSTreceivable-13%","11831","account.data_account_type_current_assets","l10n_ca.ca_en_chart_template_en","False"
"chart11832_en","HSTreceivable-14%","11832","account.data_account_type_current_assets","l10n_ca.ca_en_chart_template_en","False"
"chart11833_en","HSTreceivable-15%","11833","account.data_account_type_current_assets","l10n_ca.ca_en_chart_template_en","False"
"chart2111_en","VendorsAccount","2111","account.data_account_type_payable","l10n_ca.ca_en_chart_template_en","True"
"chart2131_en","GSTtopay","2131","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart2132_en","PST/QSTtopay","2132","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart21331_en","HSTtopay-13%","21331","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart21332_en","HSTtopay-14%","21332","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart21333_en","HSTtopay-15%","21333","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart2141_en","CANADAREVENUEAGENCY","2141","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart214111_en","EI-EmployeesContribution","214111","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart214112_en","EI-EmployerContribution","214112","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart21412_en","FederalIncomeTax","21412","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart214131_en","CPP-EmployeesContribution","214131","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart214132_en","CPP-EmployerContribution","214132","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart21421_en","HealthServicesFundtopay","21421","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart214221_en","ProvincialPensionPlan-EmployeesContribution","214221","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
"chart214222_en","ProvincialPensionPlan-EmployerContribution","214222","account.data_account_type_current_liabilities","l10n_ca.ca_en_chart_template_en","False"
