id,name,l10n_cl_sbif_code,country
bank_001_0,BancodeChile,001,Chile
bank_001_1,BancoEdwards,001,Chile
bank_001_2,Citi,001,Chile
bank_001_3,Atlas,001,Chile
bank_001_4,CrediChile,001,Chile
bank_009_0,BancoInternacional,009,Chile
bank_012_0,BancoEstado,012,Chile
bank_014_0,ScotiabankChile,014,Chile
bank_016_0,BancoDeCreditoeInversiones(BCI),016,Chile
bank_016_1,Tbanc,016,Chile
bank_016_2,BCINova,016,Chile
bank_027_0,Corpbanca,027,Chile
bank_027_1,BancoCondell,027,Chile
bank_028_0,BancoBice,028,Chile
bank_031_0,HsbcBank,031,Chile
bank_037_0,BancoSantander-Chile,037,Chile
bank_037_1,Banefe,037,Chile
bank_039_0,BancoItaúChile,039,Chile
bank_049_0,BancoSecurity,049,Chile
bank_051_0,BancoFalabella,051,Chile
bank_052_0,DeutscheBank,052,Chile
bank_053_0,BancoRipley,053,Chile
bank_054_0,RabobankChile(ExHnsBanco),054,Chile
bank_055_0,BancoConsorcio(ExBancoMonex),055,Chile
bank_056_0,BancoPenta,056,Chile
bank_057_0,BancoParis,057,Chile
bank_504_0,BancoBilbaoVizcayaArgentariaChile(BBVA),504,Chile
bank_504_1,BBVAExpress,504,Chile
bank_059_0,BancoBtgPactualChile,059,Chile
bank_017_0,BancoDoBrasilS.A.,017,Chile
bank_041_0,JpMorganChaseBank N.A.,041,Chile
bank_043_0,BancoDeLaNacionArgentina,043,Chile
