id,l10n_cl_currency_code,l10n_cl_short_name
base.AED,139,DIRHAM
base.ARS,1,PESO
base.AUD,36,DOLARAUST
base.BOB,4,BOLIVIANO
base.BRL,5,CRUZEIROREAL
base.CAD,6,DOLARCAN
base.CHF,82,FRANCOSZ
base.CLP,200,PESOCL
base.CNY,48,RENMINBI
base.COP,129,PESOCOL
base.ECS,130,SUCRE
base.EUR,142,EURO
base.GBP,102,LIBRAEST
base.HKD,127,DOLARHK
base.INR,137,RUPIA
base.JPY,72,YEN
base.MXN,132,PESOMEX
base.NOK,96,CORONANOR
base.NZD,97,DOLARNZ
base.PEN,24,NUEVOSOL
base.PYG,23,GUARANI
base.SEK,113,CORONASC
base.SGD,136,DOLARSIN
base.TWD,138,DOLARTAI
base.USD,13,DOLARUSA
base.UYU,26,PESOURUG
base.VEF,134,BOLIVAR
base.ZAR,128,RAND
