"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"l10n_cn_1012","OtherMonetaryFunds","1012","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1101","TransactionalFinancialAssets","1101","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1121","BillsReceivable","1121","account.data_account_type_receivable","l10n_cn.l10n_chart_china_small_business","True"
"l10n_cn_1122","AccountsReceivable","1122","account.data_account_type_receivable","l10n_cn.l10n_chart_china_small_business","True"
"l10n_cn_1123","AdvancePayment","1123","account.data_account_type_prepayments","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1124","AccountsReceivable(PoS)","1124","account.data_account_type_receivable","l10n_cn.l10n_chart_china_small_business","True"
"l10n_cn_1131","DividentReceivable","1131","account.data_account_type_receivable","l10n_cn.l10n_chart_china_small_business","True"
"l10n_cn_1132","InterestReceivable","1132","account.data_account_type_receivable","l10n_cn.l10n_chart_china_small_business","True"
"l10n_cn_1221","OtherReceivable","1221","account.data_account_type_receivable","l10n_cn.l10n_chart_china_small_business","True"
"l10n_cn_1231","BadDebtProvisions","1231","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1401","MaterialPurchasing","1401","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1402","Materialsintransit","1402","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1403","RawMaterial","1403","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1404","MaterialCostVariance","1404","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1405","MerchandiseInventory","1405","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1406","Goodsshippedintransit","1406","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1407","Differencesbetweenpurchasingandsellingprice","1407","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1408","Consignedprocessingmaterials","1408","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1471","Inventoryfallingpricereserves","1471","account.data_account_type_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1501","HeldtomaturityInvestment","1501","account.data_account_type_non_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1502","Provisionforimpairmentofinvestmentsheldtomaturity","1502","account.data_account_type_non_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1503","Availableforsalefinancialassets","1503","account.data_account_type_non_current_assets","l10n_cn.l10n_chart_china_small_business","False"
"l10n_cn_1511","Long-termequityinvestment","1511","account.data_account_type_non_current_assets","l10n_cn.l10n_chart_china_small_business","False"
