id,name

tax_group_cree_4,CREE4%
tax_group_cree_8,CREE8%
tax_group_cree_16,CREE16%
tax_group_inc_4,INC4%
tax_group_inc_8,INC8%
tax_group_inc_16,INC16%
tax_group_iva_0,IVA0%
tax_group_iva_075,IVA0.75%
tax_group_iva_204,IVA2.4%
tax_group_iva_2,IVA2%
tax_group_iva_4,IVA4%
tax_group_iva_5,IVA5%
tax_group_iva_8,IVA8%
tax_group_iva_16,IVA16%
tax_group_r_iva_24,RIVA2.4%
tax_group_r_iva_075,RIVA0.75%
tax_group_r_iva_16,RIVA16%
tax_group_ar_ren_0,ARREN0%
tax_group_r_ren_0,RREN0%
tax_group_r_ren_01,RREN0.1%
tax_group_r_ren_05,RREN0.5%
tax_group_r_ren_1,RREN1%
tax_group_r_ren_15,RREN1.5%
tax_group_r_ren_2,RREN2%
tax_group_r_ren_25,RREN2.5%
tax_group_r_ren_3,RREN3%
tax_group_r_ren_35,RREN3.5%
tax_group_r_ren_4,RREN4%
tax_group_r_ren_6,RREN6%
tax_group_r_ren_10,RREN10%
tax_group_r_ren_11,RREN11%
tax_group_r_ren_20,RREN20%
tax_group_r_ren_33,RREN33%
tax_group_covered_goods,BienesCubiertos
