"id","code_prefix_start","name","chart_template_id/id"
"chart_cz_0","0","Dlouhodobýmajetek","l10n_cz.cz_chart_template"
"chart_cz_01","01","Dlouhodobýnehmotnýmajetek","l10n_cz.cz_chart_template"
"chart_cz_012","012","Nehmotnévýsledkyvýzkumuavývoje","l10n_cz.cz_chart_template"
"chart_cz_013","013","Software","l10n_cz.cz_chart_template"
"chart_cz_014","014","Ostatníocenitelnápráva","l10n_cz.cz_chart_template"
"chart_cz_015","015","Goodwill","l10n_cz.cz_chart_template"
"chart_cz_016","016","Povolenkynaemise","l10n_cz.cz_chart_template"
"chart_cz_017","017","Preferenčnílimity","l10n_cz.cz_chart_template"
"chart_cz_019","019","Ostatnídlouhodobýnehmotnýmajetek","l10n_cz.cz_chart_template"
"chart_cz_02","02","Dlouhodobýhmotnýmajetek-odpisovaný","l10n_cz.cz_chart_template"
"chart_cz_021","021","Stavby","l10n_cz.cz_chart_template"
"chart_cz_022","022","Hmotnémovitévěciajejichsoubory","l10n_cz.cz_chart_template"
"chart_cz_025","025","Pěstitelskécelkytrvalýchporostů","l10n_cz.cz_chart_template"
"chart_cz_026","026","Dospělázvířataajejichskupiny","l10n_cz.cz_chart_template"
"chart_cz_027","027","Oceňovacírozdílknabytémumajetku","l10n_cz.cz_chart_template"
"chart_cz_029","029","Jinýdlouhodobýhmotnýmajetek","l10n_cz.cz_chart_template"
"chart_cz_03","03","Dlouhodobýhmotnýmajetek-neodpisovaný","l10n_cz.cz_chart_template"
"chart_cz_031","031","Pozemky","l10n_cz.cz_chart_template"
"chart_cz_032","032","Uměleckádílaasbírky","l10n_cz.cz_chart_template"
"chart_cz_04","04","Nedokončenýdlouhodobýnehmotnýahmotnýmajetek","l10n_cz.cz_chart_template"
"chart_cz_041","041","Pořízenídlouhodobéhonehmotnéhomajetku","l10n_cz.cz_chart_template"
"chart_cz_042","042","Pořízenídlouhodobéhohmotnéhomajetku","l10n_cz.cz_chart_template"
"chart_cz_043","043","Pořízenídlouhodobéhofinančníhomajetku","l10n_cz.cz_chart_template"
"chart_cz_05","05","Poskytnutézálohynadlouhodobýmajetek","l10n_cz.cz_chart_template"
"chart_cz_051","051","Poskytnutézálohynadlouhodobýnehmotnýmajetek","l10n_cz.cz_chart_template"
"chart_cz_052","052","Poskytnutézálohynadlouhodobýhmotnýmajetek","l10n_cz.cz_chart_template"
"chart_cz_055","055","Poskytnutézálohynadlouhodobýfinančnímajetek","l10n_cz.cz_chart_template"
