"id","name","code","user_type_id/id","tag_ids/id","chart_template_id/id","reconcile"
"a1010","Salgafvare,m/moms","1010","account.data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1011","Salgafydelser,m/moms","1011","account.data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1012","Salgafvare,u/moms","1012","account.data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1013","Salgafydelser,u/moms","1013","account.data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1020","Salgafvare,EU","1020","account.data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1021","Salgafydelser,EU","1021","account.data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1030","Salgafvare,3.lande","1030","account.data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a1031","Salgafydelser,3.lande","1031","account.data_account_type_revenue","account_tag_revenue","dk_chart_template","False"
"a2010","Direkteomkostningervare,m/moms","2010","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2011","Direkteomkostningerydelser,m/moms","2011","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2012","Direkteomkostningervare,u/moms","2012","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2013","Direkteomkostningerydelser,u/moms","2013","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2020","Direkteomkostningervare,EU","2020","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2021","Direkteomkostningerydelser,EU","2021","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2030","Direkteomkostningervare,3.lande","2030","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2031","Direkteomkostningerydelser,3.lande","2031","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2100","Vareforbrug,lagermodul","2100","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2110","Prisdifferencer","2110","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2600","Lager,primo","2600","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2605","Lager,ultimo","2605","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a2610","Lagerændring","2610","account.data_account_type_direct_costs","account_tag_direct_costs","dk_chart_template","False"
"a3010","Produktionsløn","3010","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3020","Gager","3020","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3610","Arbejdskadeforsikring","3610","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3620","Ansvarsforsikring","3620","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3630","Dagpengeforsikring","3630","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3640","Gruppelivsforsikring","3640","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3655","ATP-bidrag","3655","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3680","Kursusudgifter","3680","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3690","Personaleudgifter","3690","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3695","Fortæring","3695","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3700","Befordringsgodtgørelse","3700","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3710","Skattefriegodtgørelser","3710","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3740","Arbejdstøj","3740","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3810","Refunderetsygedagpenge","3810","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3820","Løntilskud","3820","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a3840","GodtgørelseATP","3840","account.data_account_type_expenses","account_tag_staff_costs","dk_chart_template","False"
"a4010","Restaurationsbesøg","4010","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4020","Andenrepræsentation","4020","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4036","Rejseudgifter","4036","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4040","Hotelophold","4040","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4060","Annoncer","4060","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4065","Erhvervsnetværk","4065","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4070","Dekoration/skilte","4070","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4071","Udstillinger","4071","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4073","Tryksager/brochurer","4073","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4074","Reklame-emballage","4074","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4076","Emballage,salgsomkostninger","4076","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4080","Fragt,porto","4080","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4081","Fragt,portou/moms","4081","account.data_account_type_expenses","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4102","Brændstofvare/lastbil","4102","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4103","Vægtafgiftvare/lastbil","4103","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4104","Forsikringvare/lastbil","4104","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4105","Vedligeholdelsevare/lastbil","4105","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4108","Redningskorpsvare/lastbil","4108","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4120","Lejevare/lastbil","4120","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4152","Brændstofpersonbil","4152","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4153","Vægtafgiftpersonbil","4153","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4154","Forsikringpersonbil","4154","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4155","Vedligeholdelsepersonbil","4155","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4158","Redningskorpspersonbil","4158","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4170","Lejeafpersonbil","4170","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4189","Privatandelafbil,driftafbiler","4189","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4190","Kørseliprivatbil","4190","account.data_account_type_expenses","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4205","Leje/leasingafdriftsmidler","4205","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4235","Vedligeholdelse,driftsmiddelomkostninger","4235","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4240","Småanskaffelser","4240","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4241","Småanskaffelsero/11.000","4241","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4255","Huslejem/moms","4255","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4256","Huslejeu/moms","4256","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4260","Lagerleje","4260","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4265","Garageleje","4265","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4271","Varme","4271","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4275","Elogvand","4275","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4276","Refunderetenergiafgift","4276","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4285","Privatandelel,vand","4285","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4291","Vedligeholdelse,lokaleomkostninger","4291","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4295","Rengøring","4295","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4296","Renovation","4296","account.data_account_type_expenses","account_tag_rooms_costs","dk_chart_template","False"
"a4302","Kontorartikler/tryksager","4302","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4307","Inkassoomkostninger","4307","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4308","Vedligeholdelseinventar","4308","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4310","EDB-udgifter","4310","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4311","Mail/Webhotel","4311","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4312","Løbendebackup","4312","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4316","Telefon","4316","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4322","Privatandeltelefon","4322","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4325","Internet","4325","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4327","Porto","4327","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4335","Regnskabsassistance","4335","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4338","Databehandling","4338","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4340","Advokathonorar","4340","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4343","Konsulentbistand","4343","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4350","Forsikringer","4350","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4351","Vagtværn/alarmsystem","4351","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4360","Faglitteratur/tidsskrifter","4360","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4370","Kontingenter","4370","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4381","Tabpådebitorer","4381","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4392","Øvrigekapacitetsudgifter","4392","account.data_account_type_expenses","account_tag_administration_costs","dk_chart_template","False"
"a4451","Driftsafskrivninger,grundeogbygninger","4451","account.data_account_type_depreciation","account_tag_depreciation","dk_chart_template","False"
"a4454","Driftsafskrivninger,andreanlæg,driftsmaterieloginventar","4454","account.data_account_type_depreciation","account_tag_depreciation","dk_chart_template","False"
"a4651","Renteindtægter,bank","4651","account.data_account_type_other_income","account_tag_financial_income","dk_chart_template","False"
"a4664","Renteindtægter,debitorer","4664","account.data_account_type_other_income","account_tag_financial_income","dk_chart_template","False"
"a4670","Kursgevinster","4670","account.data_account_type_other_income","account_tag_financial_income","dk_chart_template","False"
"a4680","Gebyrer,indtægter","4680","account.data_account_type_other_income","account_tag_financial_income","dk_chart_template","False"
"a4730","Renteudgifter,bank","4730","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4740","Renteudgifter,realkredit","4740","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4743","Renteudgifter,kreditorer","4743","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4744","Renteudgifter,kontrakter","4744","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4745","Renteudgifter,pantebreve","4745","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4746","Renteudgifter,ejfradrag","4746","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4750","Garantiprovision","4750","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4755","Gebyrer,udgifter","4755","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4760","Kasserabat","4760","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4766","Låneomkostninger","4766","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4770","Kurstab","4770","account.data_account_type_expenses","account_tag_financial_expenses","dk_chart_template","False"
"a4805","Fortjeneste,salganlæg","4805","account.data_account_type_other_income","account_tag_extraordinary_income","dk_chart_template","False"
"a4819","Indtægtervedr.tidl.år","4819","account.data_account_type_other_income","account_tag_extraordinary_income","dk_chart_template","False"
"a4847","Andreekstraordinæreindtægter","4847","account.data_account_type_other_income","account_tag_extraordinary_income","dk_chart_template","False"
"a4854","Tab,salganlæg","4854","account.data_account_type_expenses","account_tag_extraordinary_expenses","dk_chart_template","False"
"a4890","Udgiftervedr.tidl.år","4890","account.data_account_type_expenses","account_tag_extraordinary_expenses","dk_chart_template","False"
"a4895","Andreekstraordinæreudgifter","4895","account.data_account_type_expenses","account_tag_extraordinary_expenses","dk_chart_template","False"
"a5201","Kostpris,primo,goodwill,licensermm.","5201","account.data_account_type_non_current_assets","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5202","Tilgangiåretsløb,goodwill,licensermm.","5202","account.data_account_type_non_current_assets","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5203","Afgangiåretsløb,goodwill,licensermm.","5203","account.data_account_type_non_current_assets","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5204","Afskrivningerprimo,goodwill,licensermm.","5204","account.data_account_type_non_current_assets","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5205","Afskrivningerpåafgang,goodwill,licensermm.","5205","account.data_account_type_non_current_assets","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5206","Årsafskrivning,goodwill,licensermm.","5206","account.data_account_type_non_current_assets","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5511","Kostpris,primo,grundeogbygninger","5511","account.data_account_type_fixed_assets","account_tag_land_buildings","dk_chart_template","False"
"a5512","Tilgangiåretsløb,grundeogbygninger","5512","account.data_account_type_fixed_assets","account_tag_land_buildings","dk_chart_template","False"
"a5513","Afgangiåretsløb,grundeogbygninger","5513","account.data_account_type_fixed_assets","account_tag_land_buildings","dk_chart_template","False"
"a5514","Afskrivningerprimo,grundeogbygninger","5514","account.data_account_type_fixed_assets","account_tag_land_buildings","dk_chart_template","False"
"a5515","Afskrivningerpåafgang,grundeogbygninger","5515","account.data_account_type_fixed_assets","account_tag_land_buildings","dk_chart_template","False"
"a5516","Årsafskrivning,grundeogbygninger","5516","account.data_account_type_fixed_assets","account_tag_land_buildings","dk_chart_template","False"
"a5701","Kostpris,primo,andreanlæg,driftsmaterieloginventar","5701","account.data_account_type_fixed_assets","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5702","Tilgangiåretsløb,andreanlæg,driftsmaterieloginventar","5702","account.data_account_type_fixed_assets","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5703","Afgangiåretsløb,andreanlæg,driftsmaterieloginventar","5703","account.data_account_type_fixed_assets","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5704","Afskrivningerprimo,andreanlæg,driftsmaterieloginventar","5704","account.data_account_type_fixed_assets","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5705","Afskrivningerpåafgang,andreanlæg,driftsmaterieloginventar","5705","account.data_account_type_fixed_assets","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5706","Årsafskrivning,andreanlæg,driftsmaterieloginventar","5706","account.data_account_type_fixed_assets","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a6510","Råvarer","6510","account.data_account_type_current_assets","account_tag_inventories","dk_chart_template","False"
"a6520","Varerunderfremstilling","6520","account.data_account_type_current_assets","account_tag_inventories","dk_chart_template","False"
"a6525","Fremstilledefærdigvarer","6525","account.data_account_type_current_assets","account_tag_inventories","dk_chart_template","False"
"a6530","Varelager","6530","account.data_account_type_current_assets","account_tag_inventories","dk_chart_template","False"
"a6540","Igangværendearbejder","6540","account.data_account_type_current_assets","account_tag_work_in_progress","dk_chart_template","False"
"a6580","Forudbetalingforvarer","6580","account.data_account_type_prepayments","account_tag_prepayments","dk_chart_template","False"
"a6610","Debitorer","6610","account.data_account_type_receivable","account_tag_receivable","dk_chart_template","True"
"a6611","Debitorer(PoS)","6611","account.data_account_type_receivable","account_tag_receivable","dk_chart_template","True"
"a6640","Andretilgodehavender","6640","account.data_account_type_current_assets","account_tag_other_receivables","dk_chart_template","False"
"a6650","Kundekort/Kreditkort","6650","account.data_account_type_current_assets","account_tag_other_receivables","dk_chart_template","False"
"a6655","Depositum","6655","account.data_account_type_non_current_assets","account_tag_other_receivables","dk_chart_template","False"
"a6670","Varerleveret,fakturaikkesendt","6670","account.data_account_type_current_assets","account_tag_other_receivables","dk_chart_template","True"
"a6680","Periodeafgrænsningsposter,tilgodehavender","6680","account.data_account_type_current_assets","account_tag_other_receivables","dk_chart_template","True"
"a6860","Bundnelikvider","6860","account.data_account_type_liquidity","account_tag_liquidity","dk_chart_template","True"
"a7210","Egenkapital,primo","7210","account.data_account_type_equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7220","Indskud","7220","account.data_account_type_equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7230","Hævetprivat","7230","account.data_account_type_equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7240","B-skatterogAM-bidrag","7240","account.data_account_type_equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7245","Restskatogoverskydendeskat","7245","account.data_account_type_equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7250","Forbrugafegnevarer,egenkapital","7250","account.data_account_type_equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
