id,name,code,user_type_id/id,chart_template_id/id,reconcile
pcg_10111,Capitalsouscritnonappelé,10111,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_10112,Capitalsouscrit-appelénonversé,10112,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_10113,"Capitalsouscritappelé,versé",10113,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1012,Fondsdedotation,1012,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1013,Fondsd'exploitation,1013,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1018,Autresfondspropres,1018,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1031,Primed’émission,1031,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1032,Primedefusion,1032,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1033,Primed’apports,1033,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1034,Primedeconversiond’obligationsenactions,1034,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1035,Bonsdesouscriptiond’actions(BSA),1035,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_104,Ecartd’évaluation,104,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1051,Ecartderéévaluationsurimmobilisationscorporelles,1051,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1059,Ecartderéévaluationrapportéaurésultatdel’exercice,1059,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1061,Réservelégale,1061,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_10621,Réservesréglementées:Bénéficetaxéautauxréduit,10621,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_10622,Réservesréglementées:Plusvaluedecessionàréinvestir,10622,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1063,Réservesstatutairesoucontractuelles,1063,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1064,Réservesordinaires,1064,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1065,RéservesSpécialesconsécutiveàl’octroid’avantages,1065,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1066,Réservesfacultatives,1066,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_1068,Autresréserves,1068,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_107,Écartsd'équivalence,107,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_108,Comptedel'exploitant,108,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_109,Actionnaires:capitalsouscrit-nonappelé,109,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_110,Reportànouveau(bénéfice),110,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1151,Impactd'ajustementpositif(plusvalue),1151,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1159,Impactd'ajustementnégatif(moinsvalue),1159,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1171,Impactd'assainissementcomptableetfinancier:positif,1171,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1175,Ajustementrésultantdecorrectiond'estimation,1175,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1176,Ajustementrésultantdecorrectiond'erreurscomptables,1176,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1179,Impactd'assainissementcomptableetfinancier:négatif,1179,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_118,Acomptesurdividendes,118,account.data_account_type_equity,l10n_dz_pcg_chart_template,False
pcg_119,Reportànouveau(Déficit),119,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_120,Résultatnetdel’exercice–(BENEFICE),120,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_121,Margecommerciale,121,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_122,Productiondel’exercice,122,account.data_account_type_direct_costs,l10n_dz_pcg_chart_template,False
pcg_123,ValeurAjoutéed’exploitation,123,account.data_account_type_direct_costs,l10n_dz_pcg_chart_template,False
pcg_124,Excédent(ouinsuffisance)brutd’exploitation(EBE)–EBITDA,124,account.data_account_type_direct_costs,l10n_dz_pcg_chart_template,False
pcg_125,Résultatopérationnel,125,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_126,Résultatordinaireavantimpôts,126,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_127,Résultatextraordinaire,127,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_128,Résultatbrutdel’exercice,128,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_129,Résultatnetdel’exercice–(DEFICIT),129,account.data_account_type_revenue,l10n_dz_pcg_chart_template,False
pcg_1311,Subventionsd’équipements:Financementdel'Etat,1311,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1312,Subventionsd’équipements:Financementd'autresorganismes,1312,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1313,Transfertgratuitd’immobilisations,1313,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1319,Subventionsinscritesaucomptederésultat,1319,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1321,Subventionsd’investissement,1321,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1322,Subventionspourfinancementd'activitésàlongterme,1322,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1329,Autressubventionsinscritesaucomptederésultat,1329,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_133,Impôtsdifférésactif,133,account.data_account_type_current_assets,l10n_dz_pcg_chart_template,False
pcg_134,Impôtsdifféréspassif,134,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1386,Chargesdifférées–Passifnoncourant,1386,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1387,Produitsdifférés–Passifnoncourant,1387,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1531,Provisionspouravantagesaupersonnel(IDR–IFC),1531,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1551,Provisionpourrappeld'impôtsetamendesfiscales,1551,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_156,Provisionspourrenouvellementdesimmobilisations(concession),156,account.data_account_type_fixed_assets,l10n_dz_pcg_chart_template,False
pcg_1581,Provisionspourremiseenl’étatoudedémantèlement,1581,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1582,Provisionpourperteàterminaison(contratsdéficitaires),1582,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1583,Provisionpourprocèsetlitiges(au-delàde12mois),1583,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1584,Provisionpourgarantiedonnéesauxclients(au-delàde12mois),1584,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1588,Autresprovisionsrésultantd’obligationlégaleouimplicite,1588,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1611,EmpruntPrincipal(Titres),1611,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1618,Intérêtscourusetnonéchus(Titres),1618,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1621,EmpruntPrincipal(obligatairesconvertibles),1621,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1628,Intérêtscourusetnonéchus(obligatairesconvertibles),1628,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1631,EmpruntPrincipal(Autresempruntsobligataires),1631,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1638,Intérêtscourusetnonéchus(Autresempruntsobligataires),1638,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1641,Emprunts àCourt Terme,1641,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1642,EmpruntsàMoyenTerme,1642,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1643,EmpruntsàLongTerme,1643,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1646,Intérêtsintercalaires,1646,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1648,Intérêtscourusetnonéchus,1648,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1651,Dépôtsreçus,1651,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1655,Cautionnementsreçus,1655,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
pcg_1658,Intérêtscourusetnonéchus,1658,account.data_account_type_current_liabilities,l10n_dz_pcg_chart_template,False
