"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"11010101","Accionesyparticipaciones","11.01.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010102","Cuotasdefondoscolectivos","11.01.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010103","Valoresde titularizacióndeparticipación","11.01.01.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010104","Otros","11.01.01.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010201","Avales","11.01.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010202","BonosdelEstado","11.01.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010203","BonosdePrenda","11.01.02.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010204","CédulasHipotecarias","11.01.02.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010205","CertificadosFinancieros","11.01.02.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010206","CertificadosdeInversión","11.01.02.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010207","CertificadosdeTesorería","11.01.02.07","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010208","CertificadosdeDepósito","11.01.02.08","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010209","Cupones","11.01.02.09","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010210","DepósitosaPlazo","11.01.02.10","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010211","LetrasdeCambio","11.01.02.11","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010212","NotasdeCrédito","11.01.02.12","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010213","Obligaciones","11.01.02.13","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010214","FacturasComercialesNegociables","11.01.02.14","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010215","Overnights","11.01.02.15","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010216","ObligacionesConvertiblesenacciones","11.01.02.16","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010217","PapelComercial","11.01.02.17","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010218","Pagarés","11.01.02.18","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010219","PólizasdeAcumulación","11.01.02.19","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010220","TítulosdelBancoCentral","11.01.02.20","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010221","ValoresdeTitularización","11.01.02.21","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010222","Otros","11.01.02.22","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010301","Forward","11.01.03.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010302","Futuros","11.01.03.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010303","Opciones","11.01.03.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010304","Otros","11.01.03.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"110104","Inversionesenelexterior","11.01.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020101","Avales","11.02.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020102","BonosdelEstado","11.02.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020103","BonosdePrenda","11.02.01.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020104","CédulasHipotecarias","11.02.01.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020105","CertificadosFinancieros","11.02.01.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020106","CertificadosdeInversión","11.02.01.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020107","CertificadosdeTesorería","11.02.01.07","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020108","CertificadosdeDepósito","11.02.01.08","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020109","Cupones","11.02.01.09","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020110","DepósitosaPlazo","11.02.01.10","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020111","LetrasdeCambio","11.02.01.11","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020112","NotasdeCrédito","11.02.01.12","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020113","Obligaciones","11.02.01.13","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020114","FacturasComercialesNegociables","11.02.01.14","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020115","Overnights","11.02.01.15","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020116","ObligacionesConvertiblesenacciones","11.02.01.16","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020117","PapelComercial","11.02.01.17","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020118","Pagarés","11.02.01.18","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020119","PólizasdeAcumulación","11.02.01.19","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020120","TítulosdelBancoCentral","11.02.01.20","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020121","ValoresdeTitularización","11.02.01.21","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020201","Accionesyparticipaciones","11.02.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020301","Inversionesenelexterior","11.02.03.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11030101","Cuentasporcobraraloriginador","11.03.01.01","account.data_account_type_receivable","l10n_ec.ec_chart_template","True"
"11030110","Cuentasporcobraraloriginador(PoS)","11.03.01.10","account.data_account_type_receivable","l10n_ec.ec_chart_template","True"
"11030302","Cuentasporcobraraterceros","11.03.03.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11030303","Cuentasporcobraraccionistas","11.03.03.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11030304","Otros","11.03.03.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040101","Accionesyparticipaciones","11.04.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040102","Cuotasdefondoscolectivos","11.04.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040103","Unidadesdeparticipación","11.04.01.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040104","Valoresde titularizacióndeparticipación","11.04.01.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040105","Otros","11.04.01.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040106","Inversionesenelexterior","11.04.01.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040201","Avales","11.04.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040202","BonosdelEstado","11.04.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040203","BonosdePrenda","11.04.02.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040204","CédulasHipotecarias","11.04.02.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040205","CertificadosFinancieros","11.04.02.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040206","CertificadosdeInversión","11.04.02.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040207","CertificadosdeTesorería","11.04.02.07","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040208","CertificadosdeDepósito","11.04.02.08","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040209","Cupones","11.04.02.09","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040210","DepósitosaPlazo","11.04.02.10","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040211","LetrasdeCambio","11.04.02.11","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040212","NotasdeCrédito","11.04.02.12","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040213","Obligaciones","11.04.02.13","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040214","FacturasComercialesNegociables","11.04.02.14","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040215","Overnights","11.04.02.15","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040216","ObligacionesConvertiblesenacciones","11.04.02.16","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040217","PapelComercial","11.04.02.17","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040218","Pagarés","11.04.02.18","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040219","PólizasdeAcumulación","11.04.02.19","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040220","TítulosdelBancoCentral","11.04.02.20","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040221","ValoresdeTitularización","11.04.02.21","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040222","Otros","11.04.02.22","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040223","Inversionesenelexterior","11.04.02.23","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"110501","Inversionesmantenidashastaelvencimiento","11.05.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"110502","Préstamosypartidasacobrar","11.05.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120101","ATerceros","12.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120102","AlOriginador","12.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120201","ATerceros","12.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120202","APersonal","12.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120203","Otros","12.02.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030101","Operaciones Bursátiles","12.03.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
