"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_assoc_100","Dotaciónfundacional","100","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_1030","Fundadores,partenodesembolsadaenfundaciones","1030","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_1034","Asociados,partenodesembolsadaenasociaciones","1034","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_1040","Fundadores,poraportacionesnodinerariaspendientes,enfundaciones","1040","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_1044","Asociados,poraportacionesnodinerariaspendientes,enasociaciones","1044","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_120","Remanente","120","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_121","Resultadosnegativosdeejerciciosanteriores","121","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_129","Resultadodelejercicio","129","account.data_unaffected_earnings","l10n_es.account_chart_template_assoc","False"
"account_assoc_1300","SubvencionesdelEstado","1300","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_1301","SubvencionesdeotrasAdministracionesPúblicas","1301","account.data_account_type_equity","l10n_es.account_chart_template_assoc","False"
"account_assoc_1320","Otrassubvenciones","1320","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_assoc","False"
"account_assoc_1321","Otrasdonacionesylegados","1321","account.data_account_type_equity","l10n_es.account_chart_template_assoc","False"
"account_assoc_207","Derechossobreactivoscedidosenuso","207","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
"account_assoc_2400","Monumentos","2400","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
"account_assoc_2401","Jardineshistóricos","2401","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
"account_assoc_2402","Conjuntoshistóricos","2402","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
"account_assoc_2403","Sitioshistóricos","2403","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
"account_assoc_2404","Zonasarqueológicas","2404","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
"account_assoc_2490","AnticipossobrebienesinmueblesdelPatrimonioHistórico","2490","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
"account_assoc_2491","AnticipossobrearchivosdelPatrimonioHistórico","2491","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
"account_assoc_2492","AnticipossobrebibliotecasdelPatrimonioHistórico","2492","account.data_account_type_fixed_assets","l10n_es.account_chart_template_assoc","False"
