"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_common_101","Fondosocial","101","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_102","Capital","102","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_108","Accionesoparticipacionespropiasensituacionesespeciales","108","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_109","Accionesoparticipacionespropiasparareduccióndecapital","109","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_110","Primadeemisiónoasunción","110","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_112","Reservalegal","112","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_113","Reservasvoluntarias","113","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1140","Reservasparaaccionesoparticipacionesdelasociedaddominante","1140","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1141","Reservasestatutarias","1141","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1142","Reservaporcapitalamortizado","1142","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1144","Reservasporaccionespropiasaceptadasengarantía","1144","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_118","Aportacionesdesociosopropietarios","118","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_119","Diferenciasporajustedelcapitalaeuros","119","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_131","Donacionesylegadosdecapital","131","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1370","Ingresosfiscalespordiferenciaspermanentesadistribuirenvariosejercicios","1370","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1371","Ingresosfiscalespordeduccionesybonificacionesadistribuirenvariosejercicios","1371","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_141","Provisiónparaimpuestos","141","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","True"
"account_common_142","Provisiónparaotrasresponsabilidades","142","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","True"
"account_common_143","Provisiónpordesmantelamiento,retiroorehabilitacióndelinmovilizado","143","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","True"
"account_common_145","Provisiónparaactuacionesmedioambientales","145","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","True"
"account_common_150","Accionesoparticipacionesconsideradascomopasivosfinancieros","150","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1533","Desembolsosnoexigidos,empresasdelgrupo","1533","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1534","Desembolsosnoexigidos,empresasasociadas","1534","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1535","Desembolsosnoexigidos,otraspartesvinculadas","1535","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1536","Otrosdesembolsosnoexigidos","1536","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1543","Aportacionesnodinerariaspendientes,empresasdelgrupo","1543","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1544","Aportacionesnodinerariaspendientes,empresasasociadas","1544","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1545","Aportacionesnodinerariaspendientes,otraspartesvinculadas","1545","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1546","Otrasaportacionesnodinerariaspendientes","1546","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1603","Deudasconentidadesdecréditovinculadas,empresasdelgrupo","1603","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1604","Deudasconentidadesdecréditovinculadas,empresasasociadas","1604","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1605","Deudasconotrasentidadesdecréditovinculadas","1605","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1613","Proveedoresdeinmovilizado,empresasdelgrupo","1613","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1614","Proveedoresdeinmovilizado,empresasasociadas","1614","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1615","Proveedoresdeinmovilizado,otraspartesvinculadas","1615","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1623","Acreedoresporarrendamientofinanciero,empresasdegrupo","1623","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1624","Acreedoresporarrendamientofinanciero,empresasasociadas","1624","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1625","Acreedoresporarrendamientofinanciero,otraspartesvinculadas","1625","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1633","Otrasdeudas,empresasdelgrupo","1633","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1634","Otrasdeudas,empresasasociadas","1634","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
"account_common_1635","Otrasdeudas,conotraspartesvinculadas","1635","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_common","False"
