"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_full_100","Capitalsocial","100","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_1030","Sociospordesembolsosnoexigidos,capitalsocial","1030","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_1034","Sociospordesembolsosnoexigidos,capitalpendientedeinscripción","1034","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_1040","Sociosporaportacionesnodinerariaspendientes,capitalsocial","1040","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_1044","Sociosporaportacionesnodinerariaspendientes,capitalpendientedeinscripción","1044","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_1110","Patrimonionetoporemisiondeinstrumentosfinancieroscompuestos","1110","account.data_account_type_equity","l10n_es.account_chart_template_full","False"
"account_full_1111","Restodeinstrumentosdepatrimonioneto","111100","account.data_account_type_equity","l10n_es.account_chart_template_full","False"
"account_full_1143","Reservaporfondodecomercio","1143","account.data_account_type_equity","l10n_es.account_chart_template_full","False"
"account_full_115","Reservasporpérdidasygananciasactuarialesyotrosajustes","115","account.data_account_type_equity","l10n_es.account_chart_template_full","False"
"account_full_120","Remanente","120","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_121","Resultadosnegativosdeejerciciosanteriores","121","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_129","Resultadodelejercicio","129","account.data_unaffected_earnings","l10n_es.account_chart_template_full","False"
"account_full_130","Subvencionesoficialesdecapital","130","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_132","Otrassubvenciones,donacionesylegados","132","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_full","False"
"account_full_133","Ajustesporvaloraciónenactivosfinancierosdisponiblesparalaventa","133","account.data_account_type_equity","l10n_es.account_chart_template_full","False"
"account_full_1340","Coberturadeflujosdeefectivo","1340","account.data_account_type_equity","l10n_es.account_chart_template_full","False"
"account_full_1341","Coberturadeunainversiónnetaenunnegocioenelextranjero","1341","account.data_account_type_equity","l10n_es.account_chart_template_full","False"
"account_full_135","Diferenciasdeconversión","135","account.data_account_type_equity","l10n_es.account_chart_template_full","False"
