"id","name","code","user_type_id/id","chart_template_id/id"
"account_pymes_100","Capitalsocial","100","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_1030","Sociospordesembolsosnoexigidos,capitalsocial","1030","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_1034","Sociospordesembolsosnoexigidos,capitalpendientedeinscripción","1034","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_1040","Sociosporaportacionesnodinerariaspendientes,capitalsocial","1040","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_1044","Sociosporaportacionesnodinerariaspendientes,capitalpendientedeinscripción","1044","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_120","Remanente","120","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_121","Resultadosnegativosdeejerciciosanteriores","121","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_129","Resultadodelejercicio","129","account.data_unaffected_earnings","l10n_es.account_chart_template_pymes"
"account_pymes_130","Subvencionesoficialesdecapital","130","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_132","Otrassubvenciones,donacionesylegados","132","account.data_account_type_non_current_liabilities","l10n_es.account_chart_template_pymes"
"account_pymes_2403","Participacionesenempresasdelgrupo","2403","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"account_pymes_2404","Participacionesenempresasasociadas","2404","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"account_pymes_2405","Participacionesenotraspartesvinculadas","2405","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"account_pymes_2493","Desembolsospendientessobreparticipacionesenempresasdelgrupo","2493","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"account_pymes_2494","Desembolsospendientessobreparticipacionesenempresasasociadas","2494","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"account_pymes_2495","Desembolsospendientessobreparticipacionesenotraspartesvinculadas","2495","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"account_pymes_255","Activosporderivadosfinancieros","255","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"account_pymes_2935","Deteriorodevalordeparticipacionesalargoplazoenotraspartesvinculadas","2935","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"account_pymes_296","Deteriorode valordeparticipacionesenelpatrimonionetoalargoplazo","296","account.data_account_type_fixed_assets","l10n_es.account_chart_template_pymes"
"pgc_pyme_490","Deteriorodevalordecréditosporoperacionescomerciales","490","account.data_account_type_current_liabilities","l10n_es.account_chart_template_pymes"
"pgc_pyme_551","Cuentacorrienteconsociosyadministradores","551","account.data_account_type_current_assets","l10n_es.account_chart_template_pymes"
"account_pymes_5935","Deteriorodevalordeparticipacionesacortoplazoenotraspartesvinculadas","5935","account.data_account_type_current_assets","l10n_es.account_chart_template_pymes"
"account_pymes_596","Deteriorodevalordeparticipacionesacortoplazo","596","account.data_account_type_current_assets","l10n_es.account_chart_template_pymes"
"account_pymes_650","Pérdidasdecréditoscomercialesincobrables","650","account.data_account_type_expenses","l10n_es.account_chart_template_pymes"
"account_pymes_6510","Beneficiotransferido(gestor)","6510","account.data_account_type_expenses","l10n_es.account_chart_template_pymes"
"account_pymes_6511","Pérdidasoportada(partícipeoasociadonogestor)","6511","account.data_account_type_expenses","l10n_es.account_chart_template_pymes"
"account_pymes_659","Otraspérdidasengestióncorriente","659","account.data_account_type_expenses","l10n_es.account_chart_template_pymes"
"account_pymes_663","Pérdidasporvaloracióndeinstrumentosfinancierosporsuvalorrazonable","663","account.data_account_type_expenses","l10n_es.account_chart_template_pymes"
"account_pymes_671","Pérdidasprocedentesdelinmovilizadomaterial","671","account.data_account_type_expenses","l10n_es.account_chart_template_pymes"
"account_pymes_691","Pérdidaspordeteriorodelinmovilizadomaterial","691","account.data_account_type_expenses","l10n_es.account_chart_template_pymes"
"account_pymes_694","Pérdidaspordeteriorodecréditosporoperacionescomerciales","694","account.data_account_type_expenses","l10n_es.account_chart_template_pymes"
"account_pymes_763","Beneficiosporvaloracióndeinstrumentosfinancierosporsuvalorrazonable","763","account.data_account_type_revenue","l10n_es.account_chart_template_pymes"
"account_pymes_791","Reversióndeldeteriorodelinmovilizadomaterial","791","account.data_account_type_revenue","l10n_es.account_chart_template_pymes"
"account_pymes_794","Reversióndeldeteriorodecréditosporoperacionescomerciales","794","account.data_account_type_revenue","l10n_es.account_chart_template_pymes"
"account_pymes_7962","Reversióndeldeteriorodeparticipacioneseninstrumentosdepatrimonionetoalargoplazo,otraspartesvinculadas","7962","account.data_account_type_revenue","l10n_es.account_chart_template_pymes"
"account_pymes_7963","Reversióndeldeteriorodeparticipacioneseninstrumentosdepatrimonionetoalargoplazo,otrasempresas","7963","account.data_account_type_revenue","l10n_es.account_chart_template_pymes"
