"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"l10n_et1100","1100","SalesofGoodsandServices","account.data_account_type_revenue","",l10n_et.l10n_et
"l10n_et2102","2102","Cashatbankinforeighcurrency","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2104","2104","LetterofCreditrestrictedaccount","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2201","2201","Suspense","account.data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2202","2202","Cashshortage","account.data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2203","2203","Advancetostaff","account.data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2204","2204","CashRegisters","account.data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2211","2211","TradeDebtors","account.data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2212","2212","VATReceivableonPurchases","account.data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et2213","2213","WithholdingReceivableonSales","account.data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et2214","2214","VATWithholdingReceivableonSales","account.data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et2215","2215","TradeDebtors(PoS)","account.data_account_type_receivable","True",l10n_et.l10n_et
"l10n_et2251","2251","Advancetocontractors","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2252","2252","Advancetoconsultant","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2253","2253","Advancetosupplier","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2274","2254","OtherDebtors","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2301","2301","GoodsinTransit","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2351","2351","Stock","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2411","2411","WorkinProgress","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2412","2412","FinishedGoods","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et2501","2501","Constructionofbuildings","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2503","2503","Constructionofinfrastructure","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2521","2521","Vehiclesandothervehiculartransport","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2522","2522","Aircraft,etc","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2523","2523","Plantmachineryandequipment","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2525","2525","Buildings","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2527","2527","Infrastructure","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2529","2529","Furnishingsandfixtures","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et2530","2530","Livestockandtansportanimals","account.data_account_type_fixed_assets","",l10n_et.l10n_et
"l10n_et3001","3001","Graceperiodpayables","account.data_account_type_payable","True",l10n_et.l10n_et
"l10n_et3002","3002","TradeCreditors","account.data_account_type_payable","True",l10n_et.l10n_et
"l10n_et3003","3003","Pensioncontributionpayable","account.data_account_type_payable","True",l10n_et.l10n_et
"l10n_et3004","3004","Salarypayable","account.data_account_type_payable","True",l10n_et.l10n_et
"l10n_et3006","3006","WitholdingPayable","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et3007","3007","VATPayable","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et3008","3008","FederalIncomeTax","account.data_account_type_current_assets","",l10n_et.l10n_et
"l10n_et3054","3054","Otherdeposits","account.data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et3061","3061","Retentiononcontract","account.data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et3103","3103","CommercialLoan","account.data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et3153","3153","CommercialLoan","account.data_account_type_current_liabilities","",l10n_et.l10n_et
"l10n_et4001","4010","Sharecapital/equity","account.data_account_type_equity","",l10n_et.l10n_et
"l10n_et4004","4020","Reserves","account.data_account_type_equity","",l10n_et.l10n_et
"l10n_et5111","5111","CostofGoodsandServices","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et5901","5901","InventoryAdjustments","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et5911","5911","PurchaseReturnsandAllowances","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et5921","5921","Other","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6111","6111","Salariestopermanentstaff","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6113","6113","Wagestocontractstaff","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6114","6114","Wagestocasualstaff","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6115","6115","Wagestoexternalcontractstaff","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6116","6116","Miscellaneouspaymentstostaff","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6121","6121","Allowancestopermanentstaff","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6123","6123","Allowancestocontractstaff","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6124","6124","Allowancestoexternalcontractstaff","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6131","6131","Contributiontopermanentstaffpensions","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6211","6211","Uniforms,bedding","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6212","6212","Officesupplies","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6213","6213","Printing","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6214","6214","Medicalsupplies","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6215","6215","Educationalsupplies","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6216","6216","Food","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6217","6217","Fuelandlubricants","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6218","6218","Othermaterialandsupplies","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6219","6219","Miscellaneousequipment","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6221","6221","Agriculture,forestryandmarineinputs","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6222","6222","Veterinarysuppliesanddrugs","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6223","6223","Researchanddevelopmentsupplies","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6231","6231","Perdiem","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6232","6232","Transportfees","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6233","6233","Officialentertainment","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6241","6241","Maintenanceandrepairofvehiclesandothertransport","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6243","6243","Maintenanceandrepairofplant,andequipment","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6244","6244","Maintenanceandrepairofbuildings,furnishingsandfixtures","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6245","6245","Maintenanceandrepairofinfrastructure","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6251","6251","Contractedprofessionalservices","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6252","6252","Rent","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6253","6253","Advertising","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6254","6254","Insurance","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6255","6255","Freight","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6256","6256","Feesandcharges","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6257","6257","Electricitycharges","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6258","6258","Telecommunicationcharges","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6259","6259","Waterandotherutilities","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6271","6271","Localtraining","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6272","6272","Externaltraining","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6311","6311","Depreciationofvehiclesandothervehiculartransport","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6313","6313","Depreciationofplant,machineryandequipment","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6314","6314","Depreciationofbuildings,furnishingsandfixtures","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6315","6315","Depreciationoflivestockandtransportanimals","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6321","6321","Pre-constructionactivities","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6322","6322","Constructionofbuildings","account.data_account_type_expenses","",l10n_et.l10n_et
"l10n_et6324","6324","Constructionofinfrastructure","account.data_account_type_expenses","",l10n_et.l10n_et
