"id","code","name","user_type_id/id","chart_template_id/id","reconcile","tag_ids/id"
"account_1020","1020","Kehittämismenot","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_development_costs"
"account_1030","1030","Aineettomatoikeudet","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_immaterial_rights"
"account_1050","1050","Liikearvo","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_goodwill"
"account_1060","1060","Konserniliikearvo","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_goodwill"
"account_1070","1070","Muutpitkävaikutteisetmenot","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_long_term_expenses"
"account_1090","1090","Ennakkomaksutaineettomistahyödykkeistä","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_advance_payments_intangible"
"account_1100","1100","Maa-javesialueet","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_land_and_water_areas_owned"
"account_1120","1120","Rakennuksetjarakennelmat","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_buildings_owned"
"account_1160","1160","Koneetjakalusto","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_machines_and_hardware"
"account_1300","1300","Muutaineellisethyödykkeet","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_tangible_assets"
"account_1380","1380","Ennakkomaksutjakeskeneräisethankinnat","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_payments_on_account_tangible"
"account_1400","1400","Osuudetsamankonserninyrityksissä","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_shares_in_group_companies"
"account_1410","1410","Saamisetsamankonserninyrityksiltä","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_receivables_from_group_long-term"
"account_1420","1420","Osuudetomistusyhteysyrityksissä","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_shares_in_associated_companies"
"account_1430","1430","Pitkäaikaisetsaamisetomistusyhteysyrityksiltä","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_receivables_from_associated_companies_non-current"
"account_1440","1440","Muutosakkeetjaosuudet","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_shares_and_participations"
"account_1470","1470","Muutpitkäaikaisetsaamiset","account.data_account_type_non_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_long-term_receivables"
"account_1500","1500","Aineetjatarvikkeet","account.data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_materials_and_supplies_inventories"
"account_1510","1510","Keskeneräisettuotteet","account.data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_work_in_progress"
"account_1520","1520","Valmiittuotteet","account.data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_finished_goods_inventories"
"account_1530","1530","Tavarat","account.data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_goods_in_transit"
"account_1540","1540","Muuvaihto-omaisuus","account.data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_other_current_assets"
"account_1550","1550","Ennakkomaksutvaihto-omaisuudesta","account.data_account_type_current_assets","l10n_fi.fi_chart_template","False","l10n_fi.account_tag_advance_payments_for_property"
"account_1600","1600","Pitkäaikaisetmyyntisaamiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_trade_receivables_long-term"
"account_1630","1630","Saamisetsamankonserninyrityksiltä,pitkäaikaiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_receivables_from_group_long-term"
"account_1640","1640","Saamisetomistusyhteysyrityksiltä,pitkäaikaiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_receivables_from_associated_companies_non-current"
"account_1650","1650","Lainasaamiset,pitkäaikaiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_loan_receivables_long-term"
"account_1660","1660","Muutsaamiset,pitkäaikaiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_other_long-term_receivables"
"account_1670","1670","Pitkäaikaisetmaksamattomatosakkeet/osuudet","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_unpaid_shares_of_long-term"
"account_1680","1680","Pitkäaikaisetsiirtosaamiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_prepaid_expenses_and_long-term"
"account_1690","1690","Pitkäaikaisetlaskennallisetverosaamiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_deferred_tax_assets_are_long-term"
"account_1700","1700","Myyntisaamiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_receivable"
"account_1701","1701","Myyntisaamiset(myyntipiste)","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_receivable"
"account_1710","1710","Myyntisaamisetvanhajärjestelmä","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_receivable"
"account_1720","1720","Korttisaamiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_accounts_receivable"
"account_1730","1730","Saamisetsamankonserninyrityksiltä,lyhytaikaiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_receivables_from_group"
"account_1740","1740","Saamisetomistusyhteysyrityksiltä,lyhytaikaiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_receivables_from_associated_companies"
"account_1750","1750","Lainasaamiset,lyhytaikaiset","account.data_account_type_receivable","l10n_fi.fi_chart_template","True","l10n_fi.account_tag_loans"
