"id","code_prefix_start","name","chart_template_id/id"
"pcg_10","10","Capitaletréserves","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_101","101","Capital","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_104","104","Primesliéesaucapitalsocial","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_105","105","Ecartsderéévaluation","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_106","106","Réserves","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_13","13","Subventionsd'investissement","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_131","131","Subventionsd'équipement","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_139","139","Subventionsd'investissementinscritesaucomptederésultat","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_1391","1391","Subventionsd'équipement","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_14","14","Provisionsréglementées","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_142","142","Provisionsréglementéesrelativesauximmobilisations","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_143","143","Provisionsréglementéesrelativesauxstocks","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_15","15","Provisions","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_151","151","Provisionspourrisques","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_158","158","Autresprovisionspourcharges","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_16","16","Empruntsetdettesassimilées","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_165","165","Dépôtsetcautionnementsreçus","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_166","166","Participationdessalariésauxrésultats","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_167","167","Empruntsetdettesassortisdeconditionsparticulières","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_168","168","Autresempruntsetdettesassimilées","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_17","17","Dettesrattachéesàdesparticipations","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_178","178","Dettesrattachéesàdessociétésenparticipation","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_18","18","Comptesdeliaisondesétablissementsetsociétésenparticipation","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_20","20","Immobilisationsincorporelles","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_201","201","Fraisd'établissement","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_21","21","Immobilisationscorporelles","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_211","211","Terrains","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_213","213","Constructions","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_21318","21318","Autresensemblesimmobiliers","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_21358","21358","Autresensemblesimmobiliers","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_2138","2138","Ouvragesd'infrastructure","l10n_fr.l10n_fr_pcg_chart_template"
"pcg_215","215","Installationstechniques,matérielsetoutillageindustriels","l10n_fr.l10n_fr_pcg_chart_template"
