"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"current_assets","CurrentAssets","1010","account.data_account_type_current_assets","l10n_generic_coa.configurable_chart_template","","False"
"stock_valuation","StockValuation","1101","account.data_account_type_current_assets","l10n_generic_coa.configurable_chart_template","","False"
"stock_in","StockInterim(Received)","1102","account.data_account_type_current_assets","l10n_generic_coa.configurable_chart_template","","True"
"stock_out","StockInterim(Delivered)","1103","account.data_account_type_current_assets","l10n_generic_coa.configurable_chart_template","","True"
"receivable","AccountReceivable","1210","account.data_account_type_receivable","l10n_generic_coa.configurable_chart_template","","True"
"to_receive_rec","Productstoreceive","1211","account.data_account_type_current_assets","l10n_generic_coa.configurable_chart_template","","True"
"tax_paid","TaxPaid","1310","account.data_account_type_current_assets","l10n_generic_coa.configurable_chart_template","","False"
"tax_receivable","TaxReceivable","1320","account.data_account_type_current_assets","l10n_generic_coa.configurable_chart_template","","False"
"prepayments","Prepayments","1410","account.data_account_type_prepayments","l10n_generic_coa.configurable_chart_template","","False"
"fixed_assets","FixedAsset","1510","account.data_account_type_fixed_assets","l10n_generic_coa.configurable_chart_template","","False"
"non_current_assets","Non-currentassets","1910","account.data_account_type_non_current_assets","l10n_generic_coa.configurable_chart_template","","False"
"current_liabilities","CurrentLiabilities","2010","account.data_account_type_current_liabilities","l10n_generic_coa.configurable_chart_template","","False"
"payable","AccountPayable","2110","account.data_account_type_payable","l10n_generic_coa.configurable_chart_template","","True"
"to_receive_pay","Billstoreceive","2111","account.data_account_type_current_liabilities","l10n_generic_coa.configurable_chart_template","","True"
"tax_received","TaxReceived","2510","account.data_account_type_current_liabilities","l10n_generic_coa.configurable_chart_template","","False"
"tax_payable","TaxPayable","2520","account.data_account_type_current_liabilities","l10n_generic_coa.configurable_chart_template","","False"
"non_current_liabilities","Non-currentLiabilities","2910","account.data_account_type_non_current_liabilities","l10n_generic_coa.configurable_chart_template","","False"
"capital","Capital","3010","account.data_account_type_equity","l10n_generic_coa.configurable_chart_template","","False"
"dividends","Dividends","3020","account.data_account_type_equity","l10n_generic_coa.configurable_chart_template","","False"
"income","ProductSales","4000","account.data_account_type_revenue","l10n_generic_coa.configurable_chart_template","account.account_tag_operating","False"
"income_currency_exchange","ForeignExchangeGain","4410","account.data_account_type_revenue","l10n_generic_coa.configurable_chart_template","account.account_tag_financing","False"
"cash_diff_income","CashDifferenceGain","4420","account.data_account_type_revenue","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"other_income","OtherIncome","4500","account.data_account_type_other_income","l10n_generic_coa.configurable_chart_template","","False"
"cost_of_goods_sold","CostofGoodsSold","5000","account.data_account_type_direct_costs","l10n_generic_coa.configurable_chart_template","account.account_tag_operating","False"
"expense","Expenses","6000","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_operating","False"
"expense_invest","PurchaseofEquipments","6110","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"expense_rent","Rent","6120","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"expense_finance","BankFees","6200","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_financing","False"
"expense_salary","SalaryExpenses","6300","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_operating","False"
"expense_currency_exchange","ForeignExchangeLoss","6410","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_financing","False"
"cash_diff_expense","CashDifferenceLoss","6420","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"expense_rd","RDExpenses","9610","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"expense_sales","SalesExpenses","9620","account.data_account_type_expenses","l10n_generic_coa.configurable_chart_template","account.account_tag_investing","False"
"pos_receivable","AccountReceivable(PoS)","1013","account.data_account_type_receivable","l10n_generic_coa.configurable_chart_template","","True"
