"id","name","code","user_type_id/id","note","chart_template_id/id","nocreate","reconcile"
"chartgr_10_00","Γήπεδα-Οικόπεδα","10.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_01","Ορυχεία","10.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_02","Μεταλλεία","10.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_03","Λατομεία","10.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_04","Αγροί","10.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_05","Φυτείες","10.05","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_06","Δάση","10.06","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_10","Γήπεδα-Οικόπεδαεκτόςεκμετάλλευσης","10.10","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_11","Ορυχείαεκτόςεκμετάλλευσης","10.11","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_12","Μεταλλεία εκτόςεκμετάλλευσης","10.12","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_13","Λατομεία εκτόςεκμετάλλευσης","10.13","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_14","Αγροί εκτόςεκμετάλλευσης","10.14","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_15","Φυτείες εκτόςεκμετάλλευσης","10.15","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_16","Δάσηεκτόςεκμετάλλευσης","10.16","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_99","Αποσβεσμένεςεδαφικέςεκτάσεις","10.99","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_00","Κτίρια-ΕγκαταστάσειςΚτιρίων","11.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_01","Τεχνικάέργαεξυπηρετήσειςμεταφορών","11.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_02","Λοιπάτεχνικάέργα","11.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_03","Υποκείμενεςσεαπόσβεσηδιαμορφώσειςγηπέδων","11.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_07","Κτίρια-ΕγκαταστάσειςΚτιρίωνσεακίνητατρίτων","11.07","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_08","Τεχνικάέργαεξυπηρετήσειςμεταφορώνσεακίνητατρίτων","11.08","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_09","Λοιπάτεχνικάέργασεακίνητατρίτων","11.09","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_10","Υποκείμενεςσεαπόσβεσηδιαμορφώσειςγηπέδωντρίτων","11.10","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_14","Κτίρια-Εγκαταστάσειςκτιρίωνεκτόςεκμετάλλευσης","11.14","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_15","Τεχνικάέργαεξυπηρέτησηςμεταφορώνεκτόςεκμετάλλευσης","11.15","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_16","Λοιπάέργαεκτόςεκμετάλλευσης","11.16","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_17","Υποκείμενεςσεαπόσβεσηδιαμορφώσειςγηπέδωνεκτόςεκμετάλλευσης","11.17","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_21","Κτίρια-ΕγκαταστάσειςΚτιρίωνσεακίνητατρίτωνεκτόςεκμετάλλευσης","11.21","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_22","Τεχνικάέργαεξυπηρέτησηςμεταφορώνσεακίνητατρίτωνεκτόςεκμετ/σης","11.22","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_23","Λοιπάτεχνικάέργασεακίνητατρίτωνεκτόςεκμετάλλευσης","11.23","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_24","Υποκείμενεςσεαπόσβεσηδιαμορφώσειςγηπέδωντρίτωνεκτόςεκμετ/σης","11.24","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
