"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"l10n_hk_11","FixedAssets","11","account.data_account_type_fixed_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1110","FurnitureandFixtures","1110","account.data_account_type_non_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1130","Equipment","1130","account.data_account_type_non_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1140","Decoration","1140","account.data_account_type_non_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1160","Investments","1160","account.data_account_type_non_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_12","CurrentAssets","12","account.data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1240","AccountReceivable","1240","account.data_account_type_receivable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_1241","Utility&RentalDeposit","1241","account.data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_1242","SupplierPrepayments","1242","account.data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1243","AccountReceivable(PoS)","1243","account.data_account_type_receivable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_1245","SundryDeposits","1245","account.data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1246","OtherReceivable","1246","account.data_account_type_receivable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_1250","StockInterimAccount(Received)","1250","account.data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1260","StockInterimAccount(Delivered)","1260","account.data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_1270","StockValuationAccount","1270","account.data_account_type_current_assets","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_21","Non-currentLiabilities","21","account.data_account_type_non_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_22","CurrentLiabilities","22","account.data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2210","Accruals","2210","account.data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2211","AccountPayable","2211","account.data_account_type_payable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_2212","ReceiptinAdvance(CustomerPrepayments)","2212","account.data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2214","ProvisionforTaxation","2214","account.data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2215","ProposedDividend","2215","account.data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_2216","OtherPayable","2216","account.data_account_type_payable","l10n_hk.l10n_hk_chart_template","","True"
"l10n_hk_31","PaidCapital","31","account.data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_32","AccumulatedProfit&Loss","32","account.data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_33","Profit&LossAccount","33","account.data_account_type_current_liabilities","l10n_hk.l10n_hk_chart_template","","False"
"l10n_hk_41","TradeIncome","41","account.data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_42","OtherIncomeandGains","42","account.data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_4210","SundryIncome","4210","account.data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_4220","ExchangeAdjustment","4220","account.data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_4230","BankInterestIncome","4230","account.data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_4240","ForeignExchangeGain","4240","account.data_account_type_revenue","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_51","Costs","51","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5101","TradeCosts","5101","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5105","Misc.Costs","5105","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5106","CostsofTransportation","5106","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5111","DeclarationFees","5111","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5112","PackingFees","5112","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_52","Expenses","52","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5201","BankCharges","5201","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5202","Entertainment","5202","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5203","Electricity&WaterFees","5203","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5205","Postage&Stamps","5205","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5206","Printing&Stationery","5206","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5207","Rent&Rates","5207","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5208","SundryExpenses","5208","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5209","TelecommunicationExpenses","5209","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5210","TrafficFees","5210","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5211","ITExpenses","5211","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5214","Insurance","5214","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5215","SalesCommission","5215","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5216","OverseasTraveling","5216","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5217","MPFContribution","5217","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5218","Wages&Salaries","5218","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5219","BonusPayment","5219","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5221","Taxation","5221","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5222","LocalDelivery","5222","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5223","ManagementFees","5223","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5224","Depreciation","5224","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5225","AuditFees","5225","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5226","BadDebts","5226","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5228","Legal&ProfessionalFees","5228","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5229","Dividend","5229","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5231","Disposal","5231","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5234","RepairandMaintenance","5234","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5235","Advertising","5235","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
"l10n_hk_5240","ForeignExchangeLoss","5240","account.data_account_type_expenses","l10n_hk.l10n_hk_chart_template","account.account_tag_operating","False"
