"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"cta110201","CuentasporCobrarGenerales","1.1.02.01","account.data_account_type_receivable","l10n_hn.cuentas_plantilla","True"
"cta110205","CuentasporCobrarGenerales(PoS)","1.1.02.05","account.data_account_type_receivable","l10n_hn.cuentas_plantilla","True"
"cta110202","CuentasporCobrarEmpresasAfilidas","1.1.02.02","account.data_account_type_receivable","l10n_hn.cuentas_plantilla","True"
"cta110203","PrestamosalPersonal","1.1.02.03","account.data_account_type_receivable","l10n_hn.cuentas_plantilla","True"
"cta110204","OtrasCuentasporCobrar","1.1.02.04","account.data_account_type_receivable","l10n_hn.cuentas_plantilla","True"
"cta110301","ISVporCobrar","1.1.03.01","account.data_account_type_current_assets","l10n_hn.cuentas_plantilla","False"
"cta110302","RetencionesdeISVrecibidas","1.1.03.02","account.data_account_type_current_assets","l10n_hn.cuentas_plantilla","False"
"cta120101","Propiedad,PlantayEquipo","1.2.01.01","account.data_account_type_current_assets","l10n_hn.cuentas_plantilla","False"
"cta120201","DepreciacionesAcumuladas","1.2.02.01","account.data_account_type_current_assets","l10n_hn.cuentas_plantilla","False"
"cta130101","GastosporAmortizar","1.3.01.01","account.data_account_type_current_assets","l10n_hn.cuentas_plantilla","False"
"cta130201","GastosAnticipados","1.3.02.01","account.data_account_type_current_assets","l10n_hn.cuentas_plantilla","False"
"cta130501","GastosdeOrganización","1.3.03.01","account.data_account_type_current_assets","l10n_hn.cuentas_plantilla","False"
"cta130601","OtrosActivos","1.3.04.01","account.data_account_type_current_assets","l10n_hn.cuentas_plantilla","False"
"cta210101","CuentasyDocumentosporPagar","2.1.01.01","account.data_account_type_payable","l10n_hn.cuentas_plantilla","True"
"cta210201","ISVporPagar","2.1.02.01","account.data_account_type_current_liabilities","l10n_hn.cuentas_plantilla","False"
"cta210301","Impuestos","2.1.03.01","account.data_account_type_current_liabilities","l10n_hn.cuentas_plantilla","False"
"cta220101","ProvisiónparaIndemnizaciones","2.2.01.01","account.data_account_type_current_liabilities","l10n_hn.cuentas_plantilla","False"
"cta230101","Anticipos","2.3.01.01","account.data_account_type_current_liabilities","l10n_hn.cuentas_plantilla","False"
"cta310101","CapitalAutorizado,SuscrítoyPagado","3.1.01.01","account.data_account_type_equity","l10n_hn.cuentas_plantilla","False"
"cta310102","Reservas","3.1.01.02","account.data_account_type_equity","l10n_hn.cuentas_plantilla","False"
"cta310103","PerdidasyGanancias","3.1.01.03","account.data_account_type_equity","l10n_hn.cuentas_plantilla","False"
"cta410101","Ventas","4.1.01.01","account.data_account_type_revenue","l10n_hn.cuentas_plantilla","False"
"cta410102","DescuentosSobreVentas","4.1.01.02","account.data_account_type_revenue","l10n_hn.cuentas_plantilla","False"
"cta410103","Ganarcuenta","4.1.01.03","account.data_account_type_other_income","l10n_hn.cuentas_plantilla","False"
"cta420101","OtrosIngresos","4.2.01.01","account.data_account_type_revenue","l10n_hn.cuentas_plantilla","False"
"cta510101","CostosdeVentas","5.1.01.01","account.data_account_type_expenses","l10n_hn.cuentas_plantilla","False"
"cta610101","GastosdeVentas","6.1.01.01","account.data_account_type_expenses","l10n_hn.cuentas_plantilla","False"
"cta620101","GastosdeAdministración","6.2.01.01","account.data_account_type_expenses","l10n_hn.cuentas_plantilla","False"
"cta620201","OtrosGastosdeOperación","6.2.02.01","account.data_account_type_expenses","l10n_hn.cuentas_plantilla","False"
"cta630101","GastosnoDeducibles","6.3.01.01","account.data_account_type_expenses","l10n_hn.cuentas_plantilla","False"
"cta710101","OtrosGastosFinancieros","7.1.01.01","account.data_account_type_expenses","l10n_hn.cuentas_plantilla","False"
"cta710102","Intereses","7.1.01.02","account.data_account_type_expenses","l10n_hn.cuentas_plantilla","False"
