"id","display_detail","style_overwrite","account_type_ids/id","account_ids/id","parent_id/id","sign","name","account_report_id/id","sequence","type"
"l10n_hu.account_financial_report_pl_hu","Displaychildrenflat","MainTitle1(bold,underlined)",,,,"Reversebalancesign","Eredménykimutatás–HU",,30,"View"
"l10n_hu.account_financial_report_pl_hu_G","Displaychildrenflat","MainTitle1(bold,underlined)",,,"l10n_hu.account_financial_report_pl_hu","Reversebalancesign","Mérlegszerintieredmény",,10,"View"
"l10n_hu.account_financial_report_pl_hu_F","Displaychildrenflat","MainTitle1(bold,underlined)",,,"l10n_hu.account_financial_report_pl_hu_G","Reversebalancesign","Adózotteredmény",,12,"View"
"l10n_hu.account_financial_report_pl_hu_XIII","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_XIII",,"l10n_hu.account_financial_report_pl_hu_G","Reversebalancesign","Osztalék",,11,"AccountType"
"l10n_hu.account_financial_report_pl_hu_E","Displaychildrenflat","MainTitle1(bold,underlined)",,,"l10n_hu.account_financial_report_pl_hu_F","Reversebalancesign","Adózáselőttieredmény",,14,"View"
"l10n_hu.account_financial_report_pl_hu_XII","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_XII",,"l10n_hu.account_financial_report_pl_hu_F","Reversebalancesign","Adófizetésikötelezettség",,13,"AccountType"
"l10n_hu.account_financial_report_pl_hu_D","Displaychildrenflat","Title2(bold)",,,"l10n_hu.account_financial_report_pl_hu_E","Reversebalancesign","Rendkívülieredmény",,15,"View"
"l10n_hu.account_financial_report_pl_hu_X","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_X",,"l10n_hu.account_financial_report_pl_hu_D","Reversebalancesign","Rendkívülibevételek",,17,"AccountType"
"l10n_hu.account_financial_report_pl_hu_XI","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_XI",,"l10n_hu.account_financial_report_pl_hu_D","Reversebalancesign","Rendkivüliráfordítások",,16,"AccountType"
"l10n_hu.account_financial_report_pl_hu_C","Displaychildrenflat","MainTitle1(bold,underlined)",,,"l10n_hu.account_financial_report_pl_hu_E","Reversebalancesign","Szokásosvállalkozásieredmény",,18,"View"
"l10n_hu.account_financial_report_pl_hu_A","Displaychildrenflat","MainTitle1(bold,underlined)",,,"l10n_hu.account_financial_report_pl_hu_C","Reversebalancesign","Üzemi(üzleti)tevékenységeredménye",,22,"View"
"l10n_hu.account_financial_report_pl_hu_B","Displaychildrenflat","Title2(bold)",,,"l10n_hu.account_financial_report_pl_hu_C","Reversebalancesign","Pénzügyiműveletekeredménye",,19,"View"
"l10n_hu.account_financial_report_pl_hu_VIII","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_VIII",,"l10n_hu.account_financial_report_pl_hu_B","Reversebalancesign","Pénzügyiműveletekbevételei",,21,"AccountType"
"l10n_hu.account_financial_report_pl_hu_IX","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_IX",,"l10n_hu.account_financial_report_pl_hu_B","Reversebalancesign","Pénzügyiműveletekráfordításai",,20,"AccountType"
"l10n_hu.account_financial_report_pl_hu_I","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_I",,"l10n_hu.account_financial_report_pl_hu_A","Reversebalancesign","Értékesítésnettóárbevétele",,1,"AccountType"
