"id","name","bic","country/id","zip","city","street","email","phone"
"BKCHHUHBXXX","BankofChina(Hungária)HitelintézetRt.","BKCHHUHBXXX","base.hu",1051,"Budapest","JózsefNádortér7.","service_hu@bank-of-china.com","+3614299200"
"BNPAHUHX","BNPParibasHungáriaBankRt.","BNPAHUHX","base.hu",1051,"Budapest","SzéchenyiIstván tér7-8.",
"BUDAHUHB","BudapestHitel-ésFejlesztésiBankRt.","BUDAHUHB","base.hu",1138,"Budapest","Váciút188.","info@budapestbank.hu","+3614506060"
"CIBHHUHB","CIBKözép-EurópaiNemzetköziBankZrt.","CIBHHUHB","base.hu",1027,"Budapest","Medveutca4-14.","cib@cib.hu","+3614231000"
"CITIHUHX","CitibankRt.","CITIHUHX","base.hu",1051,"Budapest","Szabadságtér7.",,"+3613745000"
"COBAHUHX","CommerzbankZártkörűenMűködőRt.","COBAHUHX","base.hu",1054,"Budapest","Széchenyi rakpart8.","info.budapest@commerzbank.com","+3613748100"
"DEUTHU2B","DeutscheBankZártkörűenMűködőRt.","DEUTHU2B","base.hu",1054,"Budapest","Holdutca27.","db.hungary@db.com","+3613013700"
"GIBAHUHB","ERSTEBankHungaryZrt.","GIBAHUHB","base.hu",1138,"Budapest","Népfürdőu.24-26.","erste@erstebank.hu","+3640222221",
"FHKBHUHB","FHBKereskedelmiBankZrt.","FHKBHUHB","base.hu",1082,"Budapest","Üllőiút48.","info@fhb.hu","+3614529100"
"GNBAHUHB","GránitBankZrt.","GNBAHUHB","base.hu",1095,"Budapest","LechnerÖdönfasor8.","info@granitbank.hu","+3640100777"
"INCNHUHB","ICBankRt.","INCNHUHB","base.hu",1088,"Budapest","Rákóczi út1-3.","level@bancopopolare.hu","+3640200515",
"INGBHUHB","INGBankN.V.MagyarországiFióktelepe","INGBHUHB","base.hu",1068,"Budapest","DózsaGyörgy út84.","communications.hu@ingbank.com","+362680140"
"OKHBHUHB","K&HBankZrt.","OKHBHUHB","base.hu",1095,"Budapest","LechnerÖdönfasor9.","bank@kh.hu","+3613289000"
"HBWEHUHB","MagNetMagyarKözösségiBankZrt.","HBWEHUHB","base.hu",1062,"Budapest","Andrássyutca98.","info@magnetbank.hu","+3614288888"
"MANEHUHB","MagyarNemzetiBank","MANEHUHB","base.hu",1054,"Budapest","Szabadságtér8-9.","info@mnb.hu","+3614282600"
"MKKBHUHB","MKBBankZrt.","MKKBHUHB","base.hu",1056,"Budapest","Váciutca38.","telebankar@mkb.hu","+3613278600"
"OTPVHUHB","OTPBankNyrt.","OTPVHUHB","base.hu",1051,"Budapest","Nádorutca16.",,"+3614735000"
"UBRTHUHB","RAIFFEISENBankZrt.","UBRTHUHB","base.hu",1054,"Budapest","Akadémiautca6.","+3640484848",
"MAVOHUHB","SberbankMagyarországZrt.","MAVOHUHB","base.hu",1088,"Budapest","Rákóczi út7.","info@sberbank.hu","+3614114200"
"TAKBHUHB","TakarékBankZrt.","TAKBHUHB","base.hu",1122,"Budapest","Pethényi köz10.","info@tbank.hu"
"BACXHUHB","UniCreditBankHungaryZrt.","BACXHUHB","base.hu",1054,"Budapest","Szabadságtér5-6.","info@unicreditgroup.hu","+3613011271"
