id,code,name,user_type_id:id,reconcile,chart_template_id:id
a_1_111001,1111001,PettyCash,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_111002,1111002,CashinHand,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_112001,1112001,PersonalMandiri,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_112002,1112002,BusinessMandiri,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_112003,1112003,Muamalat,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_112004,1112004,BNI,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_112005,1112005,BCA,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_112006,1112006,BNIGiro,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_112007,1112007,MandiriGiro,account.data_account_type_liquidity,TRUE,l10n_id_chart
a_1_121001,1121001,AccountReceivable,account.data_account_type_receivable,TRUE,l10n_id_chart
a_1_1210011,11210011,AccountReceivable(PoS),account.data_account_type_receivable,TRUE,l10n_id_chart
a_1_121002,1121002,EmployeeLiabilities,account.data_account_type_current_assets,TRUE,l10n_id_chart
a_1_130001,1130001,"MeatInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130002,1130002,"FishInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130003,1130003,"VegetablesInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130004,1130004,"DriedGoodsInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130005,1130005,"FruitInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130006,1130006,"FreshDrinkInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130007,1130007,"CigaretteInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130008,1130008,"FoodInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130009,1130009,"DrinkInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
a_1_130010,1130010,"ProcessedFoodInventory",account.data_account_type_current_assets,FALSE,l10n_id_chart
