id,code,name,user_type_id:id,reconcile,chart_template_id:id
l10n_ie_a10,10,Software,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a11,11,SoftwareDepreciation,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a20,20,Patents&Trademarks,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a21,21,Patents&TrademarksDepreciation,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a30,30,Fixturesandfittings,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a31,31,FixturesandfittingsDepreciation,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a40,40,Landandbuildings,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a41,41,LandandbuildingsDepreciation,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a50,50,Motorvehicles,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a51,51,MotorvehiclesDepreciation,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a60,60,Officeequipment(inccomputerequipment),account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a61,61,Officeequipment(inccomputerequipment)Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a70,70,Plantandmachinery,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a71,71,PlantandmachineryDepreciation,account.data_account_type_fixed_assets,FALSE,l10n_ie
l10n_ie_a1001,1001,Stock,account.data_account_type_current_assets,TRUE,l10n_ie
l10n_ie_a1002,1002,WorkinProgress,account.data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a1003,1003,FinishedGoods,account.data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a9999,9999,DebtorsControlAccount,account.data_account_type_receivable,TRUE,l10n_ie
l10n_ie_a9990,9990,DebtorsControlAccount(PoS),account.data_account_type_receivable,TRUE,l10n_ie
l10n_ie_a1101,1101,SundryDebtors,account.data_account_type_receivable,TRUE,l10n_ie
l10n_ie_a1102,1102,OtherDebtors,account.data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a1240,1240,CompanyCreditCard,account.data_account_type_current_assets,TRUE,l10n_ie
l10n_ie_a1103,1103,Prepayments,account.data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a9998,9998,CreditorsControlAccount,account.data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2101,2101,SundryCreditors,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2102,2102,OtherCreditors,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2200,2200,SalesTaxControlAccount,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2201,2201,PurchaseTaxControlAccount,account.data_account_type_current_assets,FALSE,l10n_ie
l10n_ie_a2202,2202,RevenueVATAccount,account.data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2204,2204,ManualAdjustmentsﾖVAT,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2210,2210,PAYE,account.data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2220,2220,NetWages,account.data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2230,2230,PensionFund,account.data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2150,2150,Baddebtprovision,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2109,2109,Accruals,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2320,2320,CorporationTax,account.data_account_type_payable,TRUE,l10n_ie
l10n_ie_a2300,2300,Loans,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2310,2310,HirePurchase,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a2330,2330,Mortgages,account.data_account_type_current_liabilities,FALSE,l10n_ie
l10n_ie_a9997,9997,Calledupsharecapital,account.data_account_type_equity,FALSE,l10n_ie
l10n_ie_a3010,3010,Sharepremiumaccount,account.data_account_type_equity,FALSE,l10n_ie
l10n_ie_a3020,3020,Revaluationreserve,account.data_account_type_equity,FALSE,l10n_ie
l10n_ie_a3030,3030,Otherreserves,account.data_account_type_equity,FALSE,l10n_ie
l10n_ie_a9996,9996,Salescategory1,account.data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4001,4001,Salescategory2,account.data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4002,4002,Salescategory3,account.data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4003,4003,Salescategory4,account.data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a9995,9995,Costofsales1,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a5001,5001,Costofsales2,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a5002,5002,Costofsales3,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a5003,5003,Costofsales4,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a9994,9994,"Marketing,POS",account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6001,6001,Exhibitionsandevents,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6002,6002,PR,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6010,6010,Distributionvehicles,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6020,6020,Distributionsalariesandwages,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a6030,6030,Shipping,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a9993,9993,Directorspension,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7001,7001,Directorsremuneration,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7010,7010,Admingrosssalaries,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7011,7011,Managementgrosssalaries,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7012,7012,EmployersNIC,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7020,7020,Subcontractorspayments,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7610,7610,Consultancy,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7620,7620,Legalandprofessionalcharges,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7601,7601,Accounting,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7602,7602,Auditing,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7110,7110,"Light,heatandpower",account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a9992,9992,Rentandrates,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7120,7120,"Repairs,renewalsandmaintenance",account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7300,7300,Carhire,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7301,7301,Carfuel,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7302,7302,Carmaintenance,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7502,7502,Telephone,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7503,7503,Internet&hosting,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7504,7504,Mobiles,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7505,7505,Stationery,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7506,7506,Officeconsumables,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7507,7507,PostageandCarriage,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7508,7508,Books,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7509,7509,Networkcosts,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7510,7510,Softwareexpenses,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7511,7511,Othercomputercosts,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7512,7512,Recruitmentfees,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7513,7513,Otheradminexpenses,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7700,7700,Exchangegains/losses,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7710,7710,Othersundryexpenses,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7850,7850,Baddebts,account.data_account_type_expenses,FALSE,l10n_ie
