id,code,name,user_type_id/id,reconcile,tag_ids/id,chart_template_id:id
il_account_100100,100100,Landandbuildings,account.data_account_type_fixed_assets,FALSE,,il_chart_template
il_account_100200,100200,Machineryandequipment,account.data_account_type_fixed_assets,FALSE,,il_chart_template
il_account_100300,100300,Vehicles,account.data_account_type_fixed_assets,FALSE,,il_chart_template
il_account_100400,100400,Otherproperty,account.data_account_type_fixed_assets,FALSE,,il_chart_template
il_account_101110,101110,StockValuationaccount,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101120,101120,StockInterimAccount(Received),account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101130,101130,StockInterimAccount(Delivered),account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101140,101140,Inventory-Rawmaterials,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101150,101150,Inventory-Workinprogress,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101160,101160,Inventory-Finishedgoods,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101200,101200,AccountReceivable,account.data_account_type_receivable,TRUE,,il_chart_template
il_account_101201,101201,AccountReceivable(POS),account.data_account_type_receivable,TRUE,,il_chart_template
il_account_101250,101250,Allowanceforcreditlosses,account.data_account_type_current_assets,TRUE,,il_chart_template
il_account_101300,101300,Incometaxwithheld-customers,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101410,101410,BankDeposit,account.data_account_type_liquidity,FALSE,,il_chart_template
il_account_101420,101420,Cheques,account.data_account_type_liquidity,FALSE,,il_chart_template
il_account_101430,101430,FinancialAssets,account.data_account_type_liquidity,FALSE,,il_chart_template
il_account_101440,101440,PettyCash,account.data_account_type_liquidity,FALSE,,il_chart_template
il_account_101800,101800,VAT-Inputs,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101810,101810,VAT-FixedAssets,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101820,101820,VAT-ImportTransactions,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_101830,101830,VAT-PAImportTransactions,account.data_account_type_current_assets,FALSE,,il_chart_template
il_account_102110,102110,Landandbuildingsdepreciation,account.data_account_type_non_current_assets,FALSE,,il_chart_template
il_account_102120,102120,Machineryandequipmentdepreciation,account.data_account_type_non_current_assets,FALSE,,il_chart_template
