"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"p10031","Inventories","10031","account.data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p10040","Debtors","10040","account.data_account_type_receivable","l10n_in.indian_chart_template_standard","","True"
"p10041","Debtors(PoS)","10041","account.data_account_type_receivable","l10n_in.indian_chart_template_standard","","True"
"p10051","SGSTReceivable","10051","account.data_account_type_current_assets","l10n_in.indian_chart_template_standard","l10n_in.sgst_tag_account","False"
"p10052","CGSTReceivable","10052","account.data_account_type_current_assets","l10n_in.indian_chart_template_standard","l10n_in.cgst_tag_account","False"
"p10053","IGSTReceivable","10053","account.data_account_type_current_assets","l10n_in.indian_chart_template_standard","l10n_in.igst_tag_account","False"
"p10057","ReverseChargeTaxReceivable","10057","account.data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p10054","TDSReceivable","10058","account.data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p10061","DepositAccount","10061","account.data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p10071","PrepaidInsurance","10071","account.data_account_type_current_assets","l10n_in.indian_chart_template_standard","","False"
"p1011","Buildings","1011","account.data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1012","Land","1012","account.data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1013","Equipments","1013","account.data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1014","Vehicle","1014","account.data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1015","Computer/Laptops(Assets)","1015","account.data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1016","Furniture","1016","account.data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1017","AirConditionar","1017","account.data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1018","MiscAssets","1018","account.data_account_type_fixed_assets","l10n_in.indian_chart_template_standard","","False"
"p1111","CapitalAccount","1111","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p1112","ReserveAndSurplusAccount","1112","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11211","Creditors","11211","account.data_account_type_payable","l10n_in.indian_chart_template_standard","","True"
"p11221","BankODAccount","11221","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11222","SecuredLoanAccount","11222","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11223","UnsecuredLoanAccount","11223","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11231","TDSPayable","11231","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11232","SGSTPayable","11232","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","l10n_in.sgst_tag_account","False"
"p11233","CGSTPayable","11233","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","l10n_in.cgst_tag_account","False"
"p11234","IGSTPayable","11234","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","l10n_in.igst_tag_account","False"
"p11241","WagesPayable","11241","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
"p11242","InterestPayable","11242","account.data_account_type_current_liabilities","l10n_in.indian_chart_template_standard","","False"
