id,code_prefix_start,code_prefix_end,name,chart_template_id/id
account_group_1,1,,"EQUITY,PROVISIONSANDFINANCIALLIABILITIESACCOUNTS",l10n_lu.lu_2011_chart_1
account_group_10,10,,"Subscribedcapitalorbranches'assignedcapitalandowner'saccount",l10n_lu.lu_2011_chart_1
account_group_101,101,,"Subscribedcapital",l10n_lu.lu_2011_chart_1
account_group_102,102,,"Subscribedcapitalnotcalled",l10n_lu.lu_2011_chart_1
account_group_103,103,,"Subscribedcapitalcalledbutunpaid",l10n_lu.lu_2011_chart_1
account_group_104,104,,"Capitalofindividualcompanies,corporatepartnershipsandsimilar",l10n_lu.lu_2011_chart_1
account_group_105,105,,"Endowmentofbranches",l10n_lu.lu_2011_chart_1
account_group_106,106,,"Accountoftheownerortheco-owners",l10n_lu.lu_2011_chart_1
account_group_11,11,,"Sharepremiumandsimilarpremiums",l10n_lu.lu_2011_chart_1
account_group_111,111,,"Sharepremium",l10n_lu.lu_2011_chart_1
account_group_112,112,,"Mergerpremium",l10n_lu.lu_2011_chart_1
account_group_113,113,,"Contributionpremium",l10n_lu.lu_2011_chart_1
account_group_114,114,,"Premiumsonconversionofbondsintoshares",l10n_lu.lu_2011_chart_1
account_group_115,115,,"Capitalcontributionwithoutissueofshares",l10n_lu.lu_2011_chart_1
account_group_12,12,,"Revaluationreserves",l10n_lu.lu_2011_chart_1
account_group_122,122,,"Reservesinapplicationoftheequitymethod",l10n_lu.lu_2011_chart_1
account_group_123,123,,"Temporarilynottaxablecurrencytranslationadjustments",l10n_lu.lu_2011_chart_1
account_group_128,128,,"Otherrevaluationreserves",l10n_lu.lu_2011_chart_1
account_group_13,13,,"Reserves",l10n_lu.lu_2011_chart_1
account_group_131,131,,"Legalreserve",l10n_lu.lu_2011_chart_1
account_group_132,132,,"Reservesforownsharesorowncorporateunits",l10n_lu.lu_2011_chart_1
account_group_133,133,,"Reservesprovidedforbythearticlesofassociation",l10n_lu.lu_2011_chart_1
account_group_138,138,,"Otherreserves,includingfair-valuereserve",l10n_lu.lu_2011_chart_1
account_group_1381,1381,,"Otherreservesavailablefordistribution",l10n_lu.lu_2011_chart_1
account_group_1382,1382,,"Otherreservesnotavailablefordistribution",l10n_lu.lu_2011_chart_1
account_group_13821,13821,,"Reservefornetwealthtax(NWT)",l10n_lu.lu_2011_chart_1
account_group_13822,13822,,"Reservesinapplicationoffairvalue",l10n_lu.lu_2011_chart_1
account_group_13823,13823,,"Temporarilynottaxablecapitalgains",l10n_lu.lu_2011_chart_1
account_group_138231,138231,,"Temporarilynottaxablecapitalgainstoreinvest",l10n_lu.lu_2011_chart_1
account_group_138232,138232,,"Temporarilynottaxablecapitalgainsreinvested",l10n_lu.lu_2011_chart_1
account_group_13828,13828,,"Reservesnotavailablefordistributionnotmentionedabove",l10n_lu.lu_2011_chart_1
account_group_14,14,,"Resultforthefinancialyearandresultsbroughtforward",l10n_lu.lu_2011_chart_1
account_group_141,141,,"Resultsbroughtforward",l10n_lu.lu_2011_chart_1
account_group_1411,1411,,"Resultsbroughtforwardintheprocessofassignment",l10n_lu.lu_2011_chart_1
account_group_1412,1412,,"Resultsbroughtforward(assigned)",l10n_lu.lu_2011_chart_1
account_group_142,142,,"Resultforthefinancialyear",l10n_lu.lu_2011_chart_1
account_group_15,15,,"Interimdividends",l10n_lu.lu_2011_chart_1
account_group_16,16,,"Capitalinvestmentsubsidies",l10n_lu.lu_2011_chart_1
account_group_161,161,,"Subsidiesonintangiblefixedassets",l10n_lu.lu_2011_chart_1
account_group_1611,1611,,"Developmentcosts",l10n_lu.lu_2011_chart_1
account_group_1612,1612,,"Concessions,patents,licences,trademarksandsimilarrightsandassets",l10n_lu.lu_2011_chart_1
account_group_16121,16121,,"acquiredagainstpayment(exceptGoodwill)",l10n_lu.lu_2011_chart_1
account_group_16122,16122,,"createdbytheundertakingitself",l10n_lu.lu_2011_chart_1
account_group_1613,1613,,"Goodwillacquiredforconsideration",l10n_lu.lu_2011_chart_1
account_group_162,162,,"Subsidiesontangiblefixedassets",l10n_lu.lu_2011_chart_1
account_group_1621,1621,,"Subsidiesonland,fitting-outsandbuildings",l10n_lu.lu_2011_chart_1
account_group_1622,1622,,"Subsidiesonplantandmachinery",l10n_lu.lu_2011_chart_1
account_group_1623,1623,,"Subsidiesonotherfixtures,fittings,toolsandequipment(includingrollingstock)",l10n_lu.lu_2011_chart_1
account_group_168,168,,"Othercapitalinvestmentsubsidies",l10n_lu.lu_2011_chart_1
account_group_18,18,,"Provisions",l10n_lu.lu_2011_chart_1
account_group_181,181,,"Provisionsforpensionsandsimilarobligations",l10n_lu.lu_2011_chart_1
account_group_182,182,,"Provisionsfortaxation",l10n_lu.lu_2011_chart_1
account_group_183,183,,"Deferredtaxprovisions",l10n_lu.lu_2011_chart_1
account_group_188,188,,"Otherprovisions",l10n_lu.lu_2011_chart_1
account_group_1881,1881,,"Operatingprovisions",l10n_lu.lu_2011_chart_1
account_group_1882,1882,,"Financialprovisions",l10n_lu.lu_2011_chart_1
account_group_19,19,,"Debentureloansandamountsowedtocreditinstitutions",l10n_lu.lu_2011_chart_1
account_group_192,192,,"Convertibledebentureloans",l10n_lu.lu_2011_chart_1
account_group_1921,1921,,"dueandpayablewithinoneyear",l10n_lu.lu_2011_chart_1
account_group_1922,1922,,"dueandpayableaftermorethanoneyear",l10n_lu.lu_2011_chart_1
account_group_193,193,,"Non-convertibledebentureloans",l10n_lu.lu_2011_chart_1
account_group_1931,1931,,"dueandpayablewithinoneyear",l10n_lu.lu_2011_chart_1
account_group_1932,1932,,"dueandpayableaftermorethanoneyear",l10n_lu.lu_2011_chart_1
account_group_194,194,,"Amountsowedtocreditinstitutions",l10n_lu.lu_2011_chart_1
account_group_1941,1941,,"dueandpayablewithinoneyear",l10n_lu.lu_2011_chart_1
account_group_1942,1942,,"dueandpayableaftermorethanoneyear",l10n_lu.lu_2011_chart_1
account_group_2,2,,"FORMATIONEXPENSESANDFIXEDASSETSACCOUNTS",l10n_lu.lu_2011_chart_1
account_group_20,20,,"Formationexpensesandsimilarexpenses",l10n_lu.lu_2011_chart_1
account_group_201,201,,"Set-upandstart-upcosts",l10n_lu.lu_2011_chart_1
account_group_203,203,,"Expensesforincreasesincapitalandforvariousoperations(merger,demerger,changeoflegalform)",l10n_lu.lu_2011_chart_1
account_group_204,204,,"Loanissuancesexpenses",l10n_lu.lu_2011_chart_1
account_group_208,208,,"Othersimilarexpenses",l10n_lu.lu_2011_chart_1
account_group_21,21,,"Intangiblefixedassets",l10n_lu.lu_2011_chart_1
account_group_211,211,,"Developmentcosts",l10n_lu.lu_2011_chart_1
account_group_212,212,,"Concessions,patents,licences,trademarksandsimilarrightsandassets",l10n_lu.lu_2011_chart_1
account_group_2121,2121,,"acquiredforconsideration(exceptGoodwill)",l10n_lu.lu_2011_chart_1
account_group_21211,21211,,"Concessions",l10n_lu.lu_2011_chart_1
account_group_21212,21212,,"Patents",l10n_lu.lu_2011_chart_1
account_group_21213,21213,,"Softwarelicences",l10n_lu.lu_2011_chart_1
account_group_21214,21214,,"Trademarksandfranchises",l10n_lu.lu_2011_chart_1
account_group_21215,21215,,"Similarrightsandassets",l10n_lu.lu_2011_chart_1
account_group_212151,212151,,"Copyrightsandreproductionrights",l10n_lu.lu_2011_chart_1
account_group_212152,212152,,"Greenhousgasandsimilaremissionquotas",l10n_lu.lu_2011_chart_1
account_group_212158,212158,,"Othersimilarrightsandassetsacquiredforconsideration",l10n_lu.lu_2011_chart_1
account_group_2122,2122,,"createdbytheundertakingitself",l10n_lu.lu_2011_chart_1
account_group_21221,21221,,"Concessions",l10n_lu.lu_2011_chart_1
account_group_21222,21222,,"Patents",l10n_lu.lu_2011_chart_1
account_group_21223,21223,,"Softwarelicences",l10n_lu.lu_2011_chart_1
