id,name,applicability,country_id:id
account.account_tag_operating,CF:Үндсэн:Бусад,accounts,
account.account_tag_financing,CF:Хөрөнгөоруулалт:БусадУртхугацаатхөрөнгө,accounts,
account.account_tag_investing,CF:Санхүү:Ногдолашиг,accounts,
account_tag_operating_product,CF:Үндсэн:Барааүйлчилгээ,accounts,
account_tag_operating_loyalty,CF:Үндсэн:Эрхийншимтгэлхураамж,accounts,
account_tag_operating_insurance,CF:Үндсэн:НийгмийнДаатгал,accounts,
account_tag_operating_insurance2,CF:Үндсэн:БусадДаатгал,accounts,
account_tag_operating_taxrefund,CF:Үндсэн:Татвар,accounts,
account_tag_operating_funding,CF:Үндсэн:Татаассанхүүжилт,accounts,
account_tag_operating_employee,CF:Үндсэн:Ажилчид,accounts,
account_tag_operating_cost,CF:Үндсэн:Ашиглалтынзардал,accounts,
account_tag_operating_transport,CF:Үндсэн:Түлштээвэрсэлбэг,accounts,
account_tag_operating_interest,CF:Үндсэн:Зээлийнхүү,accounts,
account_tag_investing_fasset,CF:Хөрөнгөоруулалт:Үндсэнхөрөнгө,accounts,
account_tag_investing_iasset,CF:Хөрөнгөоруулалт:Биетбусхөрөнгө,accounts,
account_tag_investing_invest,CF:Хөрөнгөоруулалт:Хөрөнгөоруулалт,accounts,
account_tag_investing_loan,CF:Хөрөнгөоруулалт:Зээлурьдчилгаа,accounts,
account_tag_investing_interest,CF:Хөрөнгөоруулалт:Зээлийнхүү,accounts,
account_tag_investing_dividends,CF:Хөрөнгөоруулалт:Ногдолашиг,accounts,
account_tag_financing_loan,"CF:Санхүү:Зээл,өрийнүнэтцаас",accounts,
account_tag_financing_rental,CF:Санхүү:Санхүүгийнтүрээс,accounts,
account_tag_financing_stock,CF:Санхүү:Хувьцааөмчийнбусадүнэтцаас,accounts,
account_tag_financing_donation,CF:Санхүү:Хандив,accounts,
account_tag_exchange,CF:Валютынханшийнзөрүү,accounts,
vat_report_tag2,ТТ3а:НӨАТ-аасчөлөөлөгдөхборлуулалтынорлого(2),taxes,base.mn
vat_report_tag5,ТТ3a:Дотоодынзахзээлдборлуулсанбарааныборлуулалтынорлого(5),taxes,base.mn
vat_report_tag6,ТТ3a:Бусадбарааныборлуулалтынорлого(6),taxes,base.mn
vat_report_tag7,ТТ3a:Эрхборлуулсныорлого(7),taxes,base.mn
vat_report_tag8,ТТ3a:Татанбуугдахүедүлдсэнбарааныорлого(8),taxes,base.mn
vat_report_tag9,ТТ3a:Өрийнтөлбөртшилжүүлсэнбарааныорлого(9),taxes,base.mn
vat_report_tag11,ТТ3a:Наториатынүйлчилгээнийорлого(11),taxes,base.mn
vat_report_tag12,ТТ3a:Өрийнтөлбөрттооцсонажилүйлчилгээнийорлого(12),taxes,base.mn
vat_report_tag13,"ТТ3a:Цахилгаан, дулаан,ус,шуудан,холбооныүйлчилгээүзүүлснийорлого(13)",taxes,base.mn
vat_report_tag14,"ТТ3a:Бараатүрээслүүлэх,эзэмшүүлэх,ашиглуулахүйлчилгээнийорлого(14)",taxes,base.mn
vat_report_tag15,"ТТ3a:Байртүрээслүүлэх,эзэмшүүлэх,ашиглуулахүйлчилгээнийорлого(15)",taxes,base.mn
vat_report_tag16,"ТТ3a:Үлхөдлөх,хөдлөххөрөнгөтүрээслүүлэх,эзэмшүүлэхашиглуулахүйлчилгээийорлого(16)",taxes,base.mn
vat_report_tag17,"ТТ3a:Шинэбүтээл,загвар,зохиогчийнэрх,бараанытэмдэгхудалдсаныорлого(17)",taxes,base.mn
vat_report_tag18,"ТТ3a:Хонжвортсугалаа,төлбөрттаавар,бооцооттоглоомынорлого(18)",taxes,base.mn
vat_report_tag19,ТТ3a:Зуучлалынүйлчилгээнийорлого(19),taxes,base.mn
vat_report_tag20,"ТТ3a:Бусдаасавсанхүү,торгууль,алдангийнорлого(20)",taxes,base.mn
vat_report_tag21,ТТ3a:Хөрөнгийнүнэлгээнийүйлчилгээнийорлого(21),taxes,base.mn
vat_report_tag22,"ТТ3a:Төсвийнсанхүүжилт,татаас,урамшууллынорлого(22)",taxes,base.mn
vat_report_tag23,"ТТ3a:Өмгөөлөл,хуульзүйнүйлчилгээнийорлого(23)",taxes,base.mn
vat_report_tag24,"ТТ3a:Үсчин,гоосайхан,засварүйлчилгээ,угаалга,химицэвэрлэгээнийүйлчилгээнийорлого(24)",taxes,base.mn
vat_report_tag25,ТТ3a:Хуулийн13-тзааснаасбусадүйлчилгээнийорлого(25),taxes,base.mn
vat_report_tag28,ТТ3a:Экспортондгаргасанбарааныборлуулалтынорлого(28),taxes,base.mn
vat_report_tag29,ТТ3a:Экспортолсонүйлчилгээнийборлуулалтынорлого(29),taxes,base.mn
vat_report_tag33,"ТТ3а:Худалданавсаннийтбараа,ажилүйлчилгээ(33)",taxes,base.mn
vat_report_tag35,"ТТ3a:НӨАТ-тэйавсанИмпортынбараа,ажилүйлчилгээнийхудалданавалт(35)",taxes,base.mn
vat_report_tag36,"ТТ3a:ДотоодынзахзээлээсНӨАТ-тэйавсанбараа,ажил,үйлчилгээ(36)",taxes,base.mn
vat_report_tag37,"ТТ3a:СуутгантөлөгчөөрбүртгүүлэхүедНӨАТ-тэйавсанбараа,үйлчилгээ(37)",taxes,base.mn
vat_report_tag38,"ТТ3a:Малажахуй,тариаланэрхлэгчээсНӨАТ-тэйавсанбараа,үйлчилгээ(38)",taxes,base.mn
vat_report_tag41,"ТТ3а:Суудлынавтомашин,түүнийэдангисэлбэгттөлсөн НӨАТ(41)",taxes,base.mn
vat_report_tag42,"ТТ3а:Ажлынхэрэгцээндзориулжавсанбараа,үйлчилгээндтөлсөнНӨАТ(42)",taxes,base.mn
vat_report_tag43,"ТТ3а:Үндсэнхөрөнгөбэлтгэхэдзориулжимпортооравсанбараа,үйлчилгээндтөлсөн НӨАТ(43)",taxes,base.mn
