id,name,applicability,country_id/id,color,nature
account_tag_100_01,100.01Activoacortoplazo,accounts,,1,D
account_tag_101,101Caja,accounts,,4,D
account_tag_101_01,101.01Cajayefectivo,accounts,,4,D
account_tag_102,102Bancos,accounts,,4,D
account_tag_102_01,102.01Bancosnacionales,accounts,,4,D
account_tag_102_02,102.02Bancosextranjeros,accounts,,4,D
account_tag_103,103Inversiones,accounts,,4,D
account_tag_103_01,103.01Inversionestemporales,accounts,,4,D
account_tag_103_02,103.02Inversionesenfideicomisos,accounts,,4,D
account_tag_103_03,103.03Otrasinversiones,accounts,,4,D
account_tag_104,104Otrosinstrumentosfinancieros,accounts,,4,D
account_tag_104_01,104.01Otrosinstrumentosfinancieros,accounts,,4,D
account_tag_105,105Clientes,accounts,,4,D
account_tag_105_01,105.01Clientesnacionales,accounts,,4,D
account_tag_105_02,105.02Clientesextranjeros,accounts,,4,D
account_tag_105_03,105.03Clientesnacionalesparterelacionada,accounts,,4,D
account_tag_105_04,105.04Clientesextranjerosparterelacionada,accounts,,4,D
account_tag_106,106Cuentasydocumentosporcobraracortoplazo,accounts,,4,D
account_tag_106_01,106.01Cuentasydocumentosporcobraracortoplazonacional,accounts,,4,D
account_tag_106_02,106.02Cuentasydocumentosporcobraracortoplazoextranjero,accounts,,4,D
account_tag_106_03,106.03Cuentasydocumentosporcobraracortoplazonacionalparterelacionada,accounts,,4,D
account_tag_106_04,106.04Cuentasydocumentosporcobraracortoplazoextranjeroparterelacionada,accounts,,4,D
account_tag_106_05,106.05Interesesporcobraracortoplazonacional,accounts,,4,D
account_tag_106_06,106.06Interesesporcobraracortoplazoextranjero,accounts,,4,D
account_tag_106_07,106.07Interesesporcobraracortoplazonacionalparterelacionada,accounts,,4,D
account_tag_106_08,106.08Interesesporcobraracortoplazoextranjeroparterelacionada,accounts,,4,D
account_tag_106_09,106.09Otrascuentasydocumentosporcobraracortoplazo,accounts,,4,D
account_tag_106_10,106.10Otrascuentasydocumentosporcobraracortoplazoparterelacionada,accounts,,4,D
account_tag_107,107Deudoresdiversos,accounts,,4,D
account_tag_107_01,107.01Funcionariosyempleados,accounts,,4,D
account_tag_107_02,107.02Sociosyaccionistas,accounts,,4,D
account_tag_107_03,107.03Partesrelacionadasnacionales,accounts,,4,D
account_tag_107_04,107.04Partesrelacionadasextranjeros,accounts,,4,D
account_tag_107_05,107.05Otrosdeudoresdiversos,accounts,,4,D
account_tag_108,108Estimacióndecuentasincobrables,accounts,,4,D
account_tag_108_01,108.01Estimacióndecuentasincobrablesnacional,accounts,,4,D
account_tag_108_02,108.02Estimacióndecuentasincobrablesextranjero,accounts,,4,D
account_tag_108_03,108.03Estimacióndecuentasincobrablesnacionalparterelacionada,accounts,,4,D
account_tag_108_04,108.04Estimacióndecuentasincobrablesextranjeroparterelacionada,accounts,,4,D
account_tag_109,109Pagosanticipados,accounts,,4,D
account_tag_109_01,109.01Segurosyfianzaspagadosporanticipadonacional,accounts,,4,D
account_tag_109_02,109.02Segurosyfianzaspagadosporanticipadoextranjero,accounts,,4,D
account_tag_109_03,109.03Segurosyfianzaspagadosporanticipadonacionalparterelacionada,accounts,,4,D
account_tag_109_04,109.04Segurosyfianzaspagadosporanticipadoextranjeroparterelacionada,accounts,,4,D
account_tag_109_05,109.05Rentaspagadosporanticipadonacional,accounts,,4,D
account_tag_109_06,109.06Rentaspagadosporanticipadoextranjero,accounts,,4,D
account_tag_109_07,109.07Rentaspagadosporanticipadonacionalparterelacionada,accounts,,4,D
account_tag_109_08,109.08Rentaspagadosporanticipadoextranjeroparterelacionada,accounts,,4,D
account_tag_109_09,109.09Interesespagadosporanticipadonacional,accounts,,4,D
account_tag_109_10,109.10Interesespagadosporanticipadoextranjero,accounts,,4,D
account_tag_109_11,109.11Interesespagadosporanticipadonacionalparterelacionada,accounts,,4,D
account_tag_109_12,109.12Interesespagadosporanticipadoextranjeroparterelacionada,accounts,,4,D
account_tag_109_13,109.13Factorajefinancieropagadosporanticipadonacional,accounts,,4,D
account_tag_109_14,109.14Factorajefinancieropagadosporanticipadoextranjero,accounts,,4,D
account_tag_109_15,109.15Factorajefinancieropagadosporanticipadonacionalparterelacionada,accounts,,4,D
account_tag_109_16,109.16Factorajefinancieropagadosporanticipadoextranjeroparterelacionada,accounts,,4,D
account_tag_109_17,109.17Arrendamientofinancieropagadosporanticipadonacional,accounts,,4,D
account_tag_109_18,109.18Arrendamientofinancieropagadosporanticipadoextranjero,accounts,,4,D
account_tag_109_19,109.19Arrendamientofinancieropagadosporanticipadonacionalparterelacionada,accounts,,4,D
account_tag_109_20,109.20Arrendamientofinancieropagadosporanticipadoextranjeroparterelacionada,accounts,,4,D
account_tag_109_21,109.21Pérdidapordeteriorodepagosanticipados,accounts,,4,D
account_tag_109_22,109.22Derechosfiduciarios,accounts,,4,D
account_tag_109_23,109.23Otrospagosanticipados,accounts,,4,D
account_tag_110,110Subsidioalempleoporaplicar,accounts,,4,D
account_tag_110_01,110.01Subsidioalempleoporaplicar,accounts,,4,D
account_tag_111,111Créditoaldieselporacreditar,accounts,,4,D
account_tag_111_01,111.01Créditoaldieselporacreditar,accounts,,4,D
account_tag_112,112Otrosestímulos,accounts,,4,D
account_tag_112_01,112.01Otrosestímulos,accounts,,4,D
account_tag_113,113Impuestosafavor,accounts,,4,D
account_tag_113_01,113.01IVAafavor,accounts,,4,D
account_tag_113_02,113.02ISRafavor,accounts,,4,D
account_tag_113_03,113.03IETUafavor,accounts,,4,D
account_tag_113_04,113.04IDEafavor,accounts,,4,D
account_tag_113_05,113.05IAafavor,accounts,,4,D
account_tag_113_06,113.06Subsidioalempleo,accounts,,4,D
account_tag_113_07,113.07Pagodeloindebido,accounts,,4,D
account_tag_113_08,113.08Otrosimpuestosafavor,accounts,,4,D
account_tag_114,114Pagosprovisionales,accounts,,4,D
account_tag_114_01,114.01PagosprovisionalesdeISR,accounts,,4,D
account_tag_115,115Inventario,accounts,,4,D
account_tag_115_01,115.01Inventario,accounts,,4,D
account_tag_115_02,115.02Materiaprimaymateriales,accounts,,4,D
account_tag_115_03,115.03Producciónenproceso,accounts,,4,D
account_tag_115_04,115.04Productosterminados,accounts,,4,D
account_tag_115_05,115.05Mercancíasentránsito,accounts,,4,D
account_tag_115_06,115.06Mercancíasenpoderdeterceros,accounts,,4,D
account_tag_115_07,115.07Otros,accounts,,4,D
account_tag_116,116Estimacióndeinventariosobsoletosydelentomovimiento,accounts,,4,D
account_tag_116_01,116.01Estimacióndeinventariosobsoletosydelentomovimiento,accounts,,4,D
account_tag_117,117Obrasenprocesodeinmuebles,accounts,,4,D
account_tag_117_01,117.01Obrasenprocesodeinmuebles,accounts,,4,D
account_tag_118,118Impuestosacreditablespagados,accounts,,4,D
account_tag_118_01,118.01IVAacreditablepagado,accounts,,4,D
account_tag_118_02,118.02IVAacreditabledeimportaciónpagado,accounts,,4,D
account_tag_118_03,118.03IEPSacreditablepagado,accounts,,4,D
account_tag_118_04,118.04IEPSpagadoenimportación,accounts,,4,D
account_tag_119,119Impuestosacreditablesporpagar,accounts,,4,D
account_tag_119_01,119.01IVApendientedepago,accounts,,4,D
account_tag_119_02,119.02IVAdeimportaciónpendientedepago,accounts,,4,D
account_tag_119_03,119.03IEPSpendientedepago,accounts,,4,D
account_tag_119_04,119.04IEPSpendientedepagoenimportación,accounts,,4,D
account_tag_120,120Anticipoaproveedores,accounts,,4,D
account_tag_120_01,120.01Anticipoaproveedoresnacional,accounts,,4,D
account_tag_120_02,120.02Anticipoaproveedoresextranjero,accounts,,4,D
account_tag_120_03,120.03Anticipoaproveedoresnacionalparterelacionada,accounts,,4,D
account_tag_120_04,120.04Anticipoaproveedoresextranjeroparterelacionada,accounts,,4,D
account_tag_121,121Otrosactivosacortoplazo,accounts,,4,D
account_tag_121_01,121.01Otrosactivosacortoplazo,accounts,,4,D
account_tag_100_02,100.02Activoalargoplazo,accounts,,1,D
account_tag_151,151Terrenos,accounts,,4,D
account_tag_151_01,151.01Terrenos,accounts,,4,D
account_tag_152,152Edificios,accounts,,4,D
account_tag_152_01,152.01Edificios,accounts,,4,D
account_tag_153,153Maquinariayequipo,accounts,,4,D
account_tag_153_01,153.01Maquinariayequipo,accounts,,4,D
account_tag_154,"154Automóviles,autobuses,camionesdecarga,tractocamiones,montacargasyremolques",accounts,,4,D
account_tag_154_01,"154.01Automóviles,autobuses,camionesdecarga,tractocamiones,montacargasyremolques",accounts,,4,D
account_tag_155,155Mobiliarioyequipodeoficina,accounts,,4,D
account_tag_155_01,155.01Mobiliarioyequipodeoficina,accounts,,4,D
account_tag_156,156Equipodecómputo,accounts,,4,D
account_tag_156_01,156.01Equipodecómputo,accounts,,4,D
account_tag_157,157Equipodecomunicación,accounts,,4,D
account_tag_157_01,157.01Equipodecomunicación,accounts,,4,D
account_tag_158,"158Activosbiológicos,vegetalesysemovientes",accounts,,4,D
account_tag_158_01,"158.01Activosbiológicos,vegetalesysemovientes",accounts,,4,D
account_tag_159,159Obrasenprocesodeactivosfijos,accounts,,4,D
account_tag_159_01,159.01Obrasenprocesodeactivosfijos,accounts,,4,D
account_tag_160,160Otrosactivosfijos,accounts,,4,D
account_tag_160_01,160.01Otrosactivosfijos,accounts,,4,D
account_tag_161,161Ferrocarriles,accounts,,4,D
account_tag_161_01,161.01Ferrocarriles,accounts,,4,D
account_tag_162,162Embarcaciones,accounts,,4,D
account_tag_162_01,162.01Embarcaciones,accounts,,4,D
account_tag_163,163Aviones,accounts,,4,D
account_tag_163_01,163.01Aviones,accounts,,4,D
account_tag_164,"164Troqueles,moldes,matricesyherramental",accounts,,4,D
account_tag_164_01,"164.01Troqueles,moldes,matricesyherramental",accounts,,4,D
account_tag_165,165Equipodecomunicacionestelefónicas,accounts,,4,D
account_tag_165_01,165.01Equipodecomunicacionestelefónicas,accounts,,4,D
account_tag_166,166Equipodecomunicaciónsatelital,accounts,,4,D
account_tag_166_01,166.01Equipodecomunicaciónsatelital,accounts,,4,D
account_tag_167,167Equipodeadaptacionesparapersonasconcapacidadesdiferentes,accounts,,4,D
account_tag_167_01,167.01Equipodeadaptacionesparapersonasconcapacidadesdiferentes,accounts,,4,D
account_tag_168,168Maquinariayequipodegeneracióndeenergíadefuentesrenovablesodesistemasdecogeneracióndeelectricidadeficiente,accounts,,4,D
account_tag_168_01,168.01Maquinariayequipodegeneracióndeenergíadefuentesrenovablesodesistemasdecogeneracióndeelectricidadeficiente,accounts,,4,D
account_tag_169,169Otramaquinariayequipo,accounts,,4,D
account_tag_169_01,169.01Otramaquinariayequipo,accounts,,4,D
account_tag_170,170Adaptacionesymejoras,accounts,,4,D
account_tag_170_01,170.01Adaptacionesymejoras,accounts,,4,D
account_tag_171,171Depreciaciónacumuladadeactivosfijos,accounts,,4,A
account_tag_171_01,171.01Depreciaciónacumuladadeedificios,accounts,,4,A
account_tag_171_02,171.02Depreciaciónacumuladademaquinariayequipo,accounts,,4,A
account_tag_171_03,"171.03Depreciaciónacumuladadeautomóviles,autobuses,camionesdecarga,tractocamiones,montacargasyremolques",accounts,,4,A
account_tag_171_04,171.04Depreciaciónacumuladademobiliarioyequipodeoficina,accounts,,4,A
account_tag_171_05,171.05Depreciaciónacumuladadeequipodecómputo,accounts,,4,A
account_tag_171_06,171.06Depreciaciónacumuladadeequipodecomunicación,accounts,,4,A
account_tag_171_07,"171.07Depreciaciónacumuladadeactivosbiológicos,vegetalesysemovientes",accounts,,4,A
account_tag_171_08,171.08Depreciaciónacumuladadeotrosactivosfijos,accounts,,4,A
account_tag_171_09,171.09Depreciaciónacumuladadeferrocarriles,accounts,,4,A
account_tag_171_10,171.10Depreciaciónacumuladadeembarcaciones,accounts,,4,A
account_tag_171_11,171.11Depreciaciónacumuladadeaviones,accounts,,4,A
account_tag_171_12,"171.12Depreciaciónacumuladadetroqueles,moldes,matricesyherramental",accounts,,4,A
account_tag_171_13,171.13Depreciaciónacumuladadeequipodecomunicacionestelefónicas,accounts,,4,A
account_tag_171_14,171.14Depreciaciónacumuladadeequipodecomunicaciónsatelital,accounts,,4,A
account_tag_171_15,171.15Depreciaciónacumuladadeequipodeadaptacionesparapersonasconcapacidadesdiferentes,accounts,,4,A
account_tag_171_16,171.16Depreciaciónacumuladademaquinariayequipodegeneracióndeenergíadefuentesrenovablesodesistemasdecogeneracióndeelectricidadeficiente,accounts,,4,A
account_tag_171_17,171.17Depreciaciónacumuladadeadaptacionesymejoras,accounts,,4,A
account_tag_171_18,171.18Depreciaciónacumuladadeotramaquinariayequipo,accounts,,4,A
account_tag_172,172Pérdidapordeterioroacumuladodeactivosfijos,accounts,,4,D
account_tag_172_01,172.01Pérdidapordeterioroacumuladodeedificios,accounts,,4,D
account_tag_172_02,172.02Pérdidapordeterioroacumuladodemaquinariayequipo,accounts,,4,D
account_tag_172_03,"172.03Pérdidapordeterioroacumuladodeautomóviles,autobuses,camionesdecarga,tractocamiones,montacargasyremolques",accounts,,4,D
account_tag_172_04,172.04Pérdidapordeterioroacumuladodemobiliarioyequipodeoficina,accounts,,4,D
account_tag_172_05,172.05Pérdidapordeterioroacumuladodeequipodecómputo,accounts,,4,D
account_tag_172_06,172.06Pérdidapordeterioroacumuladodeequipodecomunicación,accounts,,4,D
account_tag_172_07,"172.07Pérdidapordeterioroacumuladodeactivosbiológicos,vegetalesysemovientes",accounts,,4,D
account_tag_172_08,172.08Pérdidapordeterioroacumuladodeotrosactivosfijos,accounts,,4,D
account_tag_172_09,172.09Pérdidapordeterioroacumuladodeferrocarriles,accounts,,4,D
account_tag_172_10,172.10Pérdidapordeterioroacumuladodeembarcaciones,accounts,,4,D
account_tag_172_11,172.11Pérdidapordeterioroacumuladodeaviones,accounts,,4,D
account_tag_172_12,"172.12Pérdidapordeterioroacumuladodetroqueles,moldes,matricesyherramental",accounts,,4,D
account_tag_172_13,172.13Pérdidapordeterioroacumuladodeequipodecomunicacionestelefónicas,accounts,,4,D
account_tag_172_14,172.14Pérdidapordeterioroacumuladodeequipodecomunicaciónsatelital,accounts,,4,D
account_tag_172_15,172.15Pérdidapordeterioroacumuladodeequipodeadaptacionesparapersonasconcapacidadesdiferentes,accounts,,4,D
account_tag_172_16,172.16Pérdidapordeterioroacumuladodemaquinariayequipodegeneracióndeenergíadefuentesrenovablesodesistemasdecogeneracióndeelectricidadeficiente,accounts,,4,D
account_tag_172_17,172.17Pérdidapordeterioroacumuladodeadaptacionesymejoras,accounts,,4,D
account_tag_172_18,172.18Pérdidapordeterioroacumuladodeotramaquinariayequipo,accounts,,4,D
account_tag_173,173Gastosdiferidos,accounts,,4,D
account_tag_173_01,173.01Gastosdiferidos,accounts,,4,D
account_tag_174,174Gastospreoperativos,accounts,,4,D
account_tag_174_01,174.01Gastospreoperativos,accounts,,4,D
account_tag_175,"175Regalías,asistenciatécnicayotrosgastosdiferidos",accounts,,4,D
account_tag_175_01,"175.01Regalías,asistenciatécnicayotrosgastosdiferidos",accounts,,4,D
account_tag_176,176Activosintangibles,accounts,,4,D
account_tag_176_01,176.01Activosintangibles,accounts,,4,D
account_tag_177,177Gastosdeorganización,accounts,,4,D
account_tag_177_01,177.01Gastosdeorganización,accounts,,4,D
account_tag_178,178Investigaciónydesarrollodemercado,accounts,,4,D
account_tag_178_01,178.01Investigaciónydesarrollodemercado,accounts,,4,D
account_tag_179,179Marcasypatentes,accounts,,4,D
account_tag_179_01,179.01Marcasypatentes,accounts,,4,D
account_tag_180,180Créditomercantil,accounts,,4,D
account_tag_180_01,180.01Créditomercantil,accounts,,4,D
account_tag_181,181Gastosdeinstalación,accounts,,4,D
account_tag_181_01,181.01Gastosdeinstalación,accounts,,4,D
account_tag_182,182Otrosactivosdiferidos,accounts,,4,D
account_tag_182_01,182.01Otrosactivosdiferidos,accounts,,4,D
account_tag_183,183Amortizaciónacumuladadeactivosdiferidos,accounts,,4,A
account_tag_183_01,183.01Amortizaciónacumuladadegastosdiferidos,accounts,,4,A
account_tag_183_02,183.02Amortizaciónacumuladadegastospreoperativos,accounts,,4,A
account_tag_183_03,"183.03Amortizaciónacumuladaderegalías,asistenciatécnicayotrosgastosdiferidos",accounts,,4,A
account_tag_183_04,183.04Amortizaciónacumuladadeactivosintangibles,accounts,,4,A
account_tag_183_05,183.05Amortizaciónacumuladadegastosdeorganización,accounts,,4,A
account_tag_183_06,183.06Amortizaciónacumuladadeinvestigaciónydesarrollodemercado,accounts,,4,A
account_tag_183_07,183.07Amortizaciónacumuladademarcasypatentes,accounts,,4,A
account_tag_183_08,183.08Amortizaciónacumuladadecréditomercantil,accounts,,4,A
account_tag_183_09,183.09Amortizaciónacumuladadegastosdeinstalación,accounts,,4,A
account_tag_183_10,183.10Amortizaciónacumuladadeotrosactivosdiferidos,accounts,,4,A
account_tag_184,184Depósitosengarantía,accounts,,4,D
account_tag_184_01,184.01Depósitosdefianzas,accounts,,4,D
account_tag_184_02,184.02Depósitosdearrendamientodebienesinmuebles,accounts,,4,D
account_tag_184_03,184.03Otrosdepósitosengarantía,accounts,,4,D
account_tag_185,185Impuestosdiferidos,accounts,,4,D
account_tag_185_01,185.01ImpuestosdiferidosISR,accounts,,4,D
account_tag_186,186Cuentasydocumentosporcobraralargoplazo,accounts,,4,D
account_tag_186_01,186.01Cuentasydocumentosporcobraralargoplazonacional,accounts,,4,D
account_tag_186_02,186.02Cuentasydocumentosporcobraralargoplazoextranjero,accounts,,4,D
account_tag_186_03,186.03Cuentasydocumentosporcobraralargoplazonacionalparterelacionada,accounts,,4,D
account_tag_186_04,186.04Cuentasydocumentosporcobraralargoplazoextranjeroparterelacionada,accounts,,4,D
account_tag_186_05,186.05Interesesporcobraralargoplazonacional,accounts,,4,D
account_tag_186_06,186.06Interesesporcobraralargoplazoextranjero,accounts,,4,D
account_tag_186_07,186.07Interesesporcobraralargoplazonacionalparterelacionada,accounts,,4,D
account_tag_186_08,186.08Interesesporcobraralargoplazoextranjeroparterelacionada,accounts,,4,D
account_tag_186_09,186.09Otrascuentasydocumentosporcobraralargoplazo,accounts,,4,D
account_tag_186_10,186.10Otrascuentasydocumentosporcobraralargoplazoparterelacionada,accounts,,4,D
account_tag_187,187Participacióndelostrabajadoresenlasutilidadesdiferidas,accounts,,4,D
account_tag_187_01,187.01Participacióndelostrabajadoresenlasutilidadesdiferidas,accounts,,4,D
account_tag_188,188Inversionespermanentesenacciones,accounts,,4,D
account_tag_188_01,188.01Inversionesalargoplazoensubsidiarias,accounts,,4,D
account_tag_188_02,188.02Inversionesalargoplazoenasociadas,accounts,,4,D
account_tag_188_03,188.03Otrasinversionespermanentesenacciones,accounts,,4,D
account_tag_189,189Estimaciónpordeteriorodeinversionespermanentesenacciones,accounts,,4,D
account_tag_189_01,189.01Estimaciónpordeteriorodeinversionespermanentesenacciones,accounts,,4,D
account_tag_190,190Otrosinstrumentosfinancieros,accounts,,4,D
account_tag_190_01,190.01Otrosinstrumentosfinancieros,accounts,,4,D
account_tag_191,191Otrosactivosalargoplazo,accounts,,4,D
account_tag_191_01,191.01Otrosactivosalargoplazo,accounts,,4,D
account_tag_200_01,200.01Pasivoacortoplazo,accounts,,1,A
account_tag_201,201Proveedores,accounts,,4,A
account_tag_201_01,201.01Proveedoresnacionales,accounts,,4,A
account_tag_201_02,201.02Proveedoresextranjeros,accounts,,4,A
account_tag_201_03,201.03Proveedoresnacionalesparterelacionada,accounts,,4,A
account_tag_201_04,201.04Proveedoresextranjerosparterelacionada,accounts,,4,A
account_tag_202,202Cuentasporpagaracortoplazo,accounts,,4,A
account_tag_202_01,202.01Documentosporpagarbancarioyfinancieronacional,accounts,,4,A
account_tag_202_02,202.02Documentosporpagarbancarioyfinancieroextranjero,accounts,,4,A
account_tag_202_03,202.03Documentosycuentasporpagaracortoplazonacional,accounts,,4,A
account_tag_202_04,202.04Documentosycuentasporpagaracortoplazoextranjero,accounts,,4,A
account_tag_202_05,202.05Documentosycuentasporpagaracortoplazonacionalparterelacionada,accounts,,4,A
account_tag_202_06,202.06Documentosycuentasporpagaracortoplazoextranjeroparterelacionada,accounts,,4,A
account_tag_202_07,202.07Interesesporpagaracortoplazonacional,accounts,,4,A
account_tag_202_08,202.08Interesesporpagaracortoplazoextranjero,accounts,,4,A
account_tag_202_09,202.09Interesesporpagaracortoplazonacionalparterelacionada,accounts,,4,A
account_tag_202_10,202.10Interesesporpagaracortoplazoextranjeroparterelacionada,accounts,,4,A
account_tag_202_11,202.11Dividendoporpagarnacional,accounts,,4,A
account_tag_202_12,202.12Dividendoporpagarextranjero,accounts,,4,A
account_tag_203,203Cobrosanticipadosacortoplazo,accounts,,4,A
account_tag_203_01,203.01Rentascobradasporanticipadoacortoplazonacional,accounts,,4,A
account_tag_203_02,203.02Rentascobradasporanticipadoacortoplazoextranjero,accounts,,4,A
account_tag_203_03,203.03Rentascobradasporanticipadoacortoplazonacionalparterelacionada,accounts,,4,A
account_tag_203_04,203.04Rentascobradasporanticipadoacortoplazoextranjeroparterelacionada,accounts,,4,A
account_tag_203_05,203.05Interesescobradosporanticipadoacortoplazonacional,accounts,,4,A
account_tag_203_06,203.06Interesescobradosporanticipadoacortoplazoextranjero,accounts,,4,A
account_tag_203_07,203.07Interesescobradosporanticipadoacortoplazonacionalparterelacionada,accounts,,4,A
account_tag_203_08,203.08Interesescobradosporanticipadoacortoplazoextranjeroparterelacionada,accounts,,4,A
account_tag_203_09,203.09Factorajefinancierocobradosporanticipadoacortoplazonacional,accounts,,4,A
account_tag_203_10,203.10Factorajefinancierocobradosporanticipadoacortoplazoextranjero,accounts,,4,A
account_tag_203_11,203.11Factorajefinancierocobradosporanticipadoacortoplazonacionalparterelacionada,accounts,,4,A
account_tag_203_12,203.12Factorajefinancierocobradosporanticipadoacortoplazoextranjeroparterelacionada,accounts,,4,A
account_tag_203_13,203.13Arrendamientofinancierocobradosporanticipadoacortoplazonacional,accounts,,4,A
account_tag_203_14,203.14Arrendamientofinancierocobradosporanticipadoacortoplazoextranjero,accounts,,4,A
account_tag_203_15,203.15Arrendamientofinancierocobradosporanticipadoacortoplazonacionalparterelacionada,accounts,,4,A
account_tag_203_16,203.16Arrendamientofinancierocobradosporanticipadoacortoplazoextranjeroparterelacionada,accounts,,4,A
account_tag_203_17,203.17Derechosfiduciarios,accounts,,4,D
account_tag_203_18,203.18Otroscobrosanticipados,accounts,,4,A
account_tag_204,204Instrumentosfinancierosacortoplazo,accounts,,4,A
account_tag_204_01,204.01Instrumentosfinancierosacortoplazo,accounts,,4,A
account_tag_205,205Acreedoresdiversosacortoplazo,accounts,,4,A
account_tag_205_01,"205.01Socios,accionistasorepresentantelegal",accounts,,4,A
account_tag_205_02,205.02Acreedoresdiversosacortoplazonacional,accounts,,4,A
account_tag_205_03,205.03Acreedoresdiversosacortoplazoextranjero,accounts,,4,A
account_tag_205_04,205.04Acreedoresdiversosacortoplazonacionalparterelacionada,accounts,,4,A
account_tag_205_05,205.05Acreedoresdiversosacortoplazoextranjeroparterelacionada,accounts,,4,A
account_tag_205_06,205.06Otrosacreedoresdiversosacortoplazo,accounts,,4,A
account_tag_206,206Anticipodecliente,accounts,,4,A
account_tag_206_01,206.01Anticipodeclientenacional,accounts,,4,A
account_tag_206_02,206.02Anticipodeclienteextranjero,accounts,,4,A
account_tag_206_03,206.03Anticipodeclientenacionalparterelacionada,accounts,,4,A
account_tag_206_04,206.04Anticipodeclienteextranjeroparterelacionada,accounts,,4,A
account_tag_206_05,206.05Otrosanticiposdeclientes,accounts,,4,A
account_tag_207,207Impuestostrasladados,accounts,,4,A
account_tag_207_01,207.01IVAtrasladado,accounts,,4,A
account_tag_207_02,207.02IEPStrasladado,accounts,,4,A
account_tag_208,208Impuestostrasladadoscobrados,accounts,,4,A
account_tag_208_01,208.01IVAtrasladadocobrado,accounts,,4,A
account_tag_208_02,208.02IEPStrasladadocobrado,accounts,,4,A
account_tag_209,209Impuestostrasladadosnocobrados,accounts,,4,A
account_tag_209_01,209.01IVAtrasladadonocobrado,accounts,,4,A
account_tag_209_02,209.02IEPStrasladadonocobrado,accounts,,4,A
account_tag_210,210Provisióndesueldosysalariosporpagar,accounts,,4,A
account_tag_210_01,210.01Provisióndesueldosysalariosporpagar,accounts,,4,A
account_tag_210_02,210.02Provisióndevacacionesporpagar,accounts,,4,A
account_tag_210_03,210.03Provisióndeaguinaldoporpagar,accounts,,4,A
account_tag_210_04,210.04Provisióndefondodeahorroporpagar,accounts,,4,A
account_tag_210_05,210.05Provisióndeasimiladosasalariosporpagar,accounts,,4,A
account_tag_210_06,210.06Provisióndeanticiposoremanentespordistribuir,accounts,,4,A
account_tag_210_07,210.07Provisióndeotrossueldosysalariosporpagar,accounts,,4,A
account_tag_211,211Provisióndecontribucionesdeseguridadsocialporpagar,accounts,,4,A
account_tag_211_01,211.01ProvisióndeIMSSpatronalporpagar,accounts,,4,A
account_tag_211_02,211.02ProvisióndeSARporpagar,accounts,,4,A
account_tag_211_03,211.03Provisióndeinfonavitporpagar,accounts,,4,A
account_tag_212,212Provisióndeimpuestoestatalsobrenóminaporpagar,accounts,,4,A
account_tag_212_01,212.01Provisióndeimpuestoestatalsobrenóminaporpagar,accounts,,4,A
account_tag_213,213Impuestosyderechosporpagar,accounts,,4,A
account_tag_213_01,213.01IVAporpagar,accounts,,4,A
account_tag_213_02,213.02IEPSporpagar,accounts,,4,A
account_tag_213_03,213.03ISRporpagar,accounts,,4,A
account_tag_213_04,213.04Impuestoestatalsobrenóminaporpagar,accounts,,4,A
account_tag_213_05,213.05Impuestoestatalymunicipalporpagar,accounts,,4,A
account_tag_213_06,213.06Derechosporpagar,accounts,,4,A
account_tag_213_07,213.07Otrosimpuestosporpagar,accounts,,4,A
account_tag_214,214Dividendosporpagar,accounts,,4,A
account_tag_214_01,214.01Dividendosporpagar,accounts,,4,A
account_tag_215,215PTUporpagar,accounts,,4,A
account_tag_215_01,215.01PTUporpagar,accounts,,4,A
account_tag_215_02,215.02PTUporpagardeejerciciosanteriores,accounts,,4,A
account_tag_215_03,215.03ProvisióndePTUporpagar,accounts,,4,A
account_tag_216,216Impuestosretenidos,accounts,,4,A
account_tag_216_01,216.01ImpuestosretenidosdeISRporsueldosysalarios,accounts,,4,A
account_tag_216_02,216.02ImpuestosretenidosdeISRporasimiladosasalarios,accounts,,4,A
account_tag_216_03,216.03ImpuestosretenidosdeISRporarrendamiento,accounts,,4,A
account_tag_216_04,216.04ImpuestosretenidosdeISRporserviciosprofesionales,accounts,,4,A
account_tag_216_05,216.05ImpuestosretenidosdeISRpordividendos,accounts,,4,A
account_tag_216_06,216.06ImpuestosretenidosdeISRporintereses,accounts,,4,A
account_tag_216_07,216.07ImpuestosretenidosdeISRporpagosalextranjero,accounts,,4,A
account_tag_216_08,216.08ImpuestosretenidosdeISRporventadeacciones,accounts,,4,A
account_tag_216_09,216.09ImpuestosretenidosdeISRporventadepartessociales,accounts,,4,A
account_tag_216_10,216.10ImpuestosretenidosdeIVA,accounts,,4,A
account_tag_216_11,216.11RetencionesdeIMSSalostrabajadores,accounts,,4,A
account_tag_216_12,216.12Otrasimpuestosretenidos,accounts,,4,A
account_tag_217,217Pagosrealizadosporcuentadeterceros,accounts,,4,A
account_tag_217_01,217.01Pagosrealizadosporcuentadeterceros,accounts,,4,A
account_tag_218,218Otrospasivosacortoplazo,accounts,,4,A
account_tag_218_01,218.01Otrospasivosacortoplazo,accounts,,4,A
account_tag_200_02,200.02Pasivoalargoplazo,accounts,,1,A
account_tag_251,251Acreedoresdiversosalargoplazo,accounts,,4,A
account_tag_251_01,"251.01Socios,accionistasorepresentantelegal",accounts,,4,A
