"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"0010","AanschafwaardeGoodwill","0010","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_22","False"
"0019","AfschrijvingGoodwill","0019","account.data_account_type_non_current_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_17","False"
"0020","Aanschafwaardeoverigeimmaterielevasteactiva","0020","account.data_account_type_non_current_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_17","False"
"0029","Afschrijvingoverigeimmaterielevasteactiva","0029","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_22","False"
"0101","AanschafwaardeGrond","0101","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0110","AanschafwaardeGebouwen","0110","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0119","AfschrijvingGebouwen","0119","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0120","AanschafwaardeWinkels","0120","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0129","AfschrijvingWinkels","0129","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0130","AanschafwaardeVerbouwingen","0130","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0139","AfschrijvingVerbouwingen","0139","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0210","AanschafwaardeMachines1","0210","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0219","AfschrijvingMachines1","0219","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0220","AanschafwaardeMachines2","0220","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0229","AfschrijvingMachines2","0229","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0310","AanschafwaardeBedrijfsinventaris","0310","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0319","AfschrijvingBedrijfsinventaris","0319","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0320","AanschafwaardeMagazijninventaris","0320","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0329","AfschrijvingMagazijninventaris","0329","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0330","AanschafwaardeFabrieksinventaris","0330","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0339","AfschrijvingFabrieksinventaris","0339","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0340","AanschafwaardeGereedschappen","0340","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0349","AfschrijvingGereedschappen","0349","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0350","AanschafwaardeKantoorinventaris","0350","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0359","AfschrijvingKantoorinventaris","0359","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0360","AanschafwaardeKantoormachines","0360","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0369","AfschrijvingKantoormachines","0369","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0370","AanschafwaardeKantine-inventaris","0370","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0379","AfschrijvingKantine-inventaris","0379","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0410","AanschafwaardePersonenauto's","0410","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0419","AfschrijvingPersonenauto's","0419","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0420","Aanschafwaardeoverigevervoersmiddelen","0420","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0429","Afschrijvingoverigevervoersmiddelen","0429","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0430","AanschafwaardeVrachtauto's","0430","account.data_account_type_fixed_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_23","False"
"0439","AfschrijvingVrachtauto's","0439","account.data_account_type_depreciation","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_21","False"
"0510","Deelneming1","0510","account.data_account_type_current_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_3","False"
"0520","Deelneming2","0520","account.data_account_type_current_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_3","False"
"0530","Deelneming3","0530","account.data_account_type_current_assets","l10n_nl.l10nnl_chart_template","l10n_nl.account_tag_3","False"
