id,name,code,user_type_id/id,chart_template_id/id,reconcile
l10n_ph_100000,BankSuspenseAccount,100000,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110000,AccountsReceivable,110000,account.data_account_type_receivable,l10n_ph_chart_template,True
l10n_ph_110003,AccountsReceivable(POS),110003,account.data_account_type_receivable,l10n_ph_chart_template,True
l10n_ph_110100,AdvancestoSuppliers,110100,account.data_account_type_prepayments,l10n_ph_chart_template,False
l10n_ph_110101,Deposits,110101,account.data_account_type_prepayments,l10n_ph_chart_template,False
l10n_ph_110102,EmployeesReceivable-CashAdvance,110102,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110103,EmployeesReceivable-Loan,110103,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110104,ER-Others,110104,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110105,PrepaidInsurance,110105,account.data_account_type_prepayments,l10n_ph_chart_template,False
l10n_ph_110106,PrepaidPension-contribution,110106,account.data_account_type_prepayments,l10n_ph_chart_template,False
l10n_ph_110200,PrepaidTax-TaxCreditCertificate,110200,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110201,InputVAT12%,110201,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110202,DeferredInputVAT12%,110202,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110203,DeferredTaxAsset,110203,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110205,CreditableIncomeTax,110205,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110206,TaxWithheldbyCustomer,110206,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110207,DeferredTaxWithheldbyCustomer,110207,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110300,Inventory,110300,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110301,Purchases,110301,account.data_account_type_current_assets,l10n_ph_chart_template,False
l10n_ph_110302,StockInterim(Received),110302,account.data_account_type_current_assets,l10n_ph_chart_template,True
l10n_ph_110303,StockInterim(Delivered),110303,account.data_account_type_current_assets,l10n_ph_chart_template,True
l10n_ph_110304,StockInterim(Production),110304,account.data_account_type_current_assets,l10n_ph_chart_template,True
l10n_ph_110400,OtherNon-currentAsset,110400,account.data_account_type_non_current_assets,l10n_ph_chart_template,False
l10n_ph_110500,BuildingandLeaseholdImprovements,110500,account.data_account_type_fixed_assets,l10n_ph_chart_template,False
l10n_ph_110501,"Furniture,FixturesandEquipment",110501,account.data_account_type_fixed_assets,l10n_ph_chart_template,False
l10n_ph_110502,Vehicles,110502,account.data_account_type_fixed_assets,l10n_ph_chart_template,False
l10n_ph_110503,Computers,110503,account.data_account_type_fixed_assets,l10n_ph_chart_template,False
l10n_ph_110504,AccumDepreciation-Bldg&LeaseholdImp,110504,account.data_account_type_fixed_assets,l10n_ph_chart_template,False
