"id","name","code","chart_template_id/id","user_type_id/id","reconcile"
"chart01010000","Gruntywłasneiprawawieczystegoużytkowaniagruntów","01-010-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart01020000","Budynki,lokaleiobiektyinżynieriilądowejiwodnej","01-020-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart01030000","Urządzeniatechniczneimaszyny","01-030-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart01040000","Środkitransportu","01-040-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart01050000","Inneśrodkitrwałe","01-050-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart02010000","Kosztyzakończonychpracrozwojowych","02-010-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart02020000","Nabytawartośćfirmy","02-020-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart02080000","Innewartościniematerialneiprawne","02-080-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart02090000","Zaliczkinawartościniematerialneiprawne","02-090-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03010100","Udziałylubakcje","03-010-100","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03010200","Innepapierywartościowe","03-010-200","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03010300","Udzielonepożyczki","03-010-300","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03010400","Innedługoterminoweaktywafinansowe","03-010-400","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03020100","Udziałylubakcje","03-020-100","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03020200","Innepapierywartościowe","03-020-200","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03020300","Udzielonepożyczki","03-020-300","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03020400","Innedługoterminoweaktywafinansowe","03-020-400","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03050100","Udziałylubakcje","03-050-100","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03050200","Innepapierywartościowe","03-050-200","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03050300","Udzielonepożyczki","03-050-300","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03050400","Innedługoterminoweaktywafinansowe","03-050-400","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart03090100","Innerodzajedługoterminowychaktywówfinansowych","03-090-100","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart04010000","Nieruchomości","04-010-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart04020000","Wartościniematerialneiprawne","04-020-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart05010000","Aktywaztytułuodroczonegopodatkudochodowego","05-010-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart05020000","Innerozliczeniamiędzyokresowe","05-020-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart06010000","Odjednostekpowiązanych","06-010-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart06020000","Odpozostałychjednostek","06-020-000","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart07010100","Odpisyumorzeniowewartościgruntówiprawawieczystegoużytkowaniagruntów","07-010-100","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
"chart07010200","Odpisyumorzeniowebudynków,lokaliiobiektówinżynieriilądowejiwodnej","07-010-200","l10n_pl.pl_chart_template","account.data_account_type_current_assets","False"
