"id","name","code_prefix_start","code_prefix_end","chart_template_id/id","parent_id/id"
"account_group_all","CLASELE1-7","","","ro_chart_template",""
"account_group_cls_15","CLASELE1-5","","","ro_chart_template","account_group_all"
"account_group_cls_67","CLASELE6-7","","","ro_chart_template","account_group_all"
"account_group_1","CONTURIDECAPITALURI,PROVIZIOANE,ÎMPRUMUTURIȘIDATORIIASIMILATE","1","","ro_chart_template","account_group_cls_15"
"account_group_10","Capitalșirezerve","10","","ro_chart_template","account_group_1"
"account_group_101","Capital","101","","ro_chart_template","account_group_10"
"account_group_103","Alteelementedecapitaluriproprii","103","","ro_chart_template","account_group_10"
"account_group_104","Primedecapital","104","","ro_chart_template","account_group_10"
"account_group_106","Rezerve","106","","ro_chart_template","account_group_10"
"account_group_108","Interesecarenucontrolează","108","","ro_chart_template","account_group_10"
"account_group_109","Acțiuniproprii","109","","ro_chart_template","account_group_10"
"account_group_11","Rezultatulreportat","11","","ro_chart_template","account_group_1"
"account_group_117","Acțiuniproprii","117","","ro_chart_template","account_group_11"
"account_group_12","Rezultatulexercițiuluifinanciar","12","","ro_chart_template","account_group_1"
"account_group_14","Câștigurisaupierderilegatedeemiterea,răscumpărarea,vânzarea,cedareacutitlugratuitsauanulareainstrumentelordecapitaluriproprii","14","","ro_chart_template","account_group_1"
"account_group_141","Câștigurilegatedevânzareasauanulareainstrumentelordecapitaluriproprii","141","","ro_chart_template","account_group_14"
"account_group_149","Pierderilegatedeemiterea,răscumpărarea,vânzarea,cedareacutitlugratuitsauanulareainstrumentelordecapitaluriproprii","149","","ro_chart_template","account_group_14"
"account_group_15","Provizioane","15","","ro_chart_template","account_group_1"
"account_group_151","Provizioane","151","","ro_chart_template","account_group_15"
"account_group_16","Împrumuturișidatoriiasimilate","16","","ro_chart_template","account_group_1"
"account_group_161","Împrumuturidinemisiunideobligațiuni","161","","ro_chart_template","account_group_16"
"account_group_162","Creditebancarepetermenlung","162","","ro_chart_template","account_group_16"
"account_group_166","Datoriicareprivescimobilizărilefinanciare","166","","ro_chart_template","account_group_16"
"account_group_168","Dobânziaferenteîmprumuturilorșidatoriilorasimilate","168","","ro_chart_template","account_group_16"
"account_group_169","Primeprivindrambursareaobligațiunilorșiaaltordatorii","169","","ro_chart_template","account_group_16"
"account_group_2","CONTURIDEIMOBILIZĂRI","2","","ro_chart_template","account_group_cls_15"
"account_group_20","Imobilizărinecorporale","20","","ro_chart_template","account_group_2"
"account_group_207","Fondcomercial","207","","ro_chart_template","account_group_20"
"account_group_21","Imobilizăricorporale","21","","ro_chart_template","account_group_2"
"account_group_211","Terenurișiamenajărideterenuri","211","","ro_chart_template","account_group_21"
"account_group_213","Instalațiitehniceșimijloacedetransport","213","","ro_chart_template","account_group_21"
"account_group_22","Imobilizăricorporaleîncursdeaprovizionare","22","","ro_chart_template","account_group_2"
"account_group_23","Imobilizăriîncurs","23","","ro_chart_template","account_group_2"
"account_group_26","Imobilizărifinanciare","26","","ro_chart_template","account_group_2"
"account_group_267","Creanțeimobilizate","267","","ro_chart_template","account_group_26"
"account_group_269","Vărsămintedeefectuatpentruimobilizărifinanciare","269","","ro_chart_template","account_group_26"
"account_group_28","Amortizăriprivindimobilizările","28","","ro_chart_template","account_group_2"
"account_group_280","Amortizăriprivindimobilizărilenecorporale","280","","ro_chart_template","account_group_28"
"account_group_281","Amortizăriprivindimobilizărilecorporale","281","","ro_chart_template","account_group_28"
"account_group_29","Ajustăripentrudepreciereasaupierdereadevaloareaimobilizărilor","29","","ro_chart_template","account_group_2"
"account_group_290","Ajustăripentrudepreciereaimobilizărilornecorporale","290","","ro_chart_template","account_group_29"
"account_group_291","Ajustăripentrudepreciereaimobilizărilorcorporale","291","","ro_chart_template","account_group_29"
"account_group_293","Ajustăripentrudepreciereaimobilizărilorîncursdeexecuție","293","","ro_chart_template","account_group_29"
"account_group_296","Ajustăripentrupierdereadevaloareaimobilizărilorfinanciare","296","","ro_chart_template","account_group_29"
"account_group_3","CONTURIDESTOCURIșIPRODUCțIEÎNCURSDEEXECUțIE","3","","ro_chart_template","account_group_cls_15"
"account_group_30","Stocuridemateriiprimeșimateriale","30","","ro_chart_template","account_group_3"
"account_group_302","Materialeconsumabile","302","","ro_chart_template","account_group_30"
"account_group_32","Stocuriîncursdeaprovizionare","32","","ro_chart_template","account_group_3"
"account_group_33","Producțieîncursdeexecuție","33","","ro_chart_template","account_group_3"
"account_group_34","Produse","34","","ro_chart_template","account_group_3"
"account_group_35","Stocuriaflatelaterți","35","","ro_chart_template","account_group_3"
"account_group_36","Activebiologicedenaturastocurilor","36","","ro_chart_template","account_group_3"
"account_group_37","Mărfuri","37","","ro_chart_template","account_group_3"
"account_group_38","Ambalaje","38","","ro_chart_template","account_group_3"
"account_group_39","Ajustăripentrudepreciereastocurilorșiproducțieiîncursdeexecuție","39","","ro_chart_template","account_group_3"
"account_group_392","Ajustăripentrudepreciereamaterialelor","392","","ro_chart_template","account_group_39"
"account_group_393","Ajustăripentrudepreciereaproducțieiîncursdeexecuție","393","","ro_chart_template","account_group_39"
"account_group_394","Ajustăripentrudepreciereaproduselor","394","","ro_chart_template","account_group_39"
"account_group_395","Ajustăripentrudepreciereastocuriloraflatelaterți","395","","ro_chart_template","account_group_39"
"account_group_4","CONTURIDETERȚI","4","","ro_chart_template","account_group_cls_15"
"account_group_40","Furnizorișiconturiasimilate","40","","ro_chart_template","account_group_4"
"account_group_409","Furnizori-debitori","409","","ro_chart_template","account_group_40"
"account_group_41","Cliențișiconturiasimilate","41","","ro_chart_template","account_group_4"
"account_group_411","Clienți","411","","ro_chart_template","account_group_41"
"account_group_42","Personalșiconturiasimilate","42","","ro_chart_template","account_group_4"
"account_group_428","Altedatoriișicreanțeînlegăturăcupersonalul","428","","ro_chart_template","account_group_42"
"account_group_43","Asigurărisociale,protecțiasocialășiconturiasimilate","43","","ro_chart_template","account_group_4"
"account_group_431","Asigurărisociale","431","","ro_chart_template","account_group_43"
"account_group_437","Ajutordeșomaj","437","","ro_chart_template","account_group_43"
"account_group_438","Altedatoriișicreanțesociale","438","","ro_chart_template","account_group_43"
"account_group_44","Bugetulstatului,fondurispecialeșiconturiasimilate","44","","ro_chart_template","account_group_4"
"account_group_441","Impozitulpeprofit/venit","441","","ro_chart_template","account_group_44"
"account_group_442","Taxapevaloareaadăugată","442","","ro_chart_template","account_group_44"
"account_group_4428","TVAneexigibilă","4428","","ro_chart_template","account_group_442"
"account_group_445","Subvenții","445","","ro_chart_template","account_group_44"
"account_group_448","Altedatoriișicreanțecubugetulstatului","448","","ro_chart_template","account_group_44"
"account_group_45","Grupșiacționari/asociați","45","","ro_chart_template","account_group_4"
"account_group_451","Decontăriîntreentitățileafiliate","451","","ro_chart_template","account_group_45"
"account_group_453","Decontăricuentitățileasociateșientitățilecontrolateîncomun","453","","ro_chart_template","account_group_45"
"account_group_455","Sumedatorateacționarilor/asociaților","455","","ro_chart_template","account_group_45"
"account_group_458","Decontăridinoperațiuniînparticipație","458","","ro_chart_template","account_group_45"
"account_group_46","Debitorișicreditoridiverși","46","","ro_chart_template","account_group_4"
"account_group_466","Decontăridinoperațiunidefiducie","466","","ro_chart_template","account_group_46"
"account_group_47","Conturidesubvenții,regularizareșiasimilate","47","","ro_chart_template","account_group_4"
"account_group_475","Subvențiipentruinvestiții","475","","ro_chart_template","account_group_47"
"account_group_48","Decontăriîncadrulunității","48","","ro_chart_template","account_group_4"
"account_group_49","Ajustăripentrudepreciereacreanțelor","49","","ro_chart_template","account_group_4"
"account_group_5","CONTURIDETREZORERIE","5","","ro_chart_template","account_group_cls_15"
