"id","name","code","chart_template_id/id","user_type_id/id","reconcile"
"chart_sk_012000","Aktivovanénákladynavývoj","012000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_013000","Softvér","013000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_014000","Oceniteľnépráva","014000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_015000","Goodwill","015000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_019000","Ostatnýdlhodobýnehmotnýmajetok","019000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_021000","Stavby","021000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_022000","Samostatnéhnuteľnéveciasúboryhnuteľnýchvecí","022000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_025000","Pestovateľskécelkytrvalýchporastov","025000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_026000","Základnéstádoaťažnézvieratá","026000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_029000","Ostatnýdlhodobýhmotnýmajetok","029000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_031000","Pozemky","031000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_032000","Umeleckédielaazbierky","032000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_041000","Obstaraniedlhodobéhonehmotnéhomajetku","041000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_042000","Obstaraniedlhodobéhohmotnéhomajetku","042000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_043000","Obstaraniedlhodobéhofinančnéhomajetku","043000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_051000","Poskytnutépreddavkynadlhodobýnehmotnýmajetok","051000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_052000","Poskytnutépreddavkynadlhodobýhmotnýmajetok","052000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_055000","Poskytnutépreddavkynadlhodobýfinančnýmajetok","055000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_061000","Podielovécennépapiereapodielyvdcérskejúčtovnejjednotke","061000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_062000","Podielovécennépapiereapodielyvspoločnostialebodružstvespodielovouúčasťou","062000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_063000","Realizovateľnécennépapiereapodiely","063000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_065000","Dlhovécennépapieredržanédosplatnosti","065000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_066000","Pôžičkyprepojenýmúčtovnýmjednotkámaúčtovnýmjednotkámvrámcipodielovejúčasti","066000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_067000","Ostatnépôžičky","067000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_069000","Ostatnýdlhodobýfinančnýmajetok","069000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_072000","Oprávkykaktivovanýmnákladomnavývoj","072000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_073000","Oprávkyksoftvéru","073000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_074000","Oprávkykoceniteľnýmprávam","074000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_075000","Oprávkykugoodwilu","075000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_079000","Opravkykostatnémudlhodobémunehmotnémumajetku","079000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_081000","Oprávkykstavbám","081000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_082000","Oprávkyksamostatnýmhnuteľnýmveciamaksúboruhnuteľnýchvecí","082000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_085000","Oprávkykpestovateľskýmcelkomtrvalýchporastov","085000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_086000","Oprávkykzákladnémustáduaťažnýmzvieratám","086000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_089000","Oprávkykostatnémudlhodobémuhmotnémumajetku","089000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_091000","Opravnépoložkykdlhodobémunehmotnémumajetku","091000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_092000","Opravnépoložkykdlhodobémuhmotnémumajetku","092000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_093000","Opravnépoložkyknedokončenémudlhodobémunehmotnémumajetku","093000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_094000","Opravnépoložkyknedokončenémudlhodobémuhmotnémumajetku","094000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_095000","Opravnépoložkykposkytnutýmpreddavkomnadlhodobýmajetok","095000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_096000","Opravnépoložkykdlhodobémufinančnémumajetku","096000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_097000","Opravnépoložkyknadobudnutémumajetku","097000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_098000","Oprávkykopravnejpoložkeknadobudnutémumajetku","098000","l10n_sk.sk_chart_template","account.data_account_type_non_current_assets","False"
"chart_sk_111000","Obstaraniemateriálu","111000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_112000","Materiálnasklade","112000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_119000","Materiálnaceste","119000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_121000","Nedokončenávýroba","121000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_122000","Polotovaryvlastnejvýroby","122000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_123000","Výrobky","123000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_124000","Zvieratá","124000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_131000","Obstaranietovaru","131000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_132000","Tovarnaskladeavpredajniach","132000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_133000","Nehnuteľnosťnapredaj","133000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_139000","Tovarnaceste","139000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_191000","Opravnépoložkykmateriálu","191000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_192000","Opravnépoložkyknedokončenejvýrobe","192000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_193000","Opravnépoložkykpolotovaromvlastnejvýroby","193000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_194000","Opravnépoložkykvýrobkom","194000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_195000","Opravnépoložkykzvieratám","195000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_196000","Opravnépoložkyktovaru","196000","l10n_sk.sk_chart_template","account.data_account_type_current_assets","False"
"chart_sk_211000","Pokladnica","211000","l10n_sk.sk_chart_template","account.data_account_type_liquidity","False"
