"id","code_prefix_start","name","chart_template_id/id"
"chart_sk_0","0","Dlhodobýmajetok","l10n_sk.sk_chart_template"
"chart_sk_01","01","Dlhodobýnehmotnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_012","012","Aktivovanénákladynavývoj","l10n_sk.sk_chart_template"
"chart_sk_013","013","Softvér","l10n_sk.sk_chart_template"
"chart_sk_014","014","Oceniteľnépráva","l10n_sk.sk_chart_template"
"chart_sk_015","015","Goodwill","l10n_sk.sk_chart_template"
"chart_sk_019","019","Ostatnýdlhodobýnehmotnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_02","02","Dlhodobýhmotnýmajetok-odpisovaný","l10n_sk.sk_chart_template"
"chart_sk_021","021","Stavby","l10n_sk.sk_chart_template"
"chart_sk_022","022","Samostatnéhnuteľnéveciasúboryhnuteľnýchvecí","l10n_sk.sk_chart_template"
"chart_sk_025","025","Pestovateľskécelkytrvalýchporastov","l10n_sk.sk_chart_template"
"chart_sk_026","026","Základnéstádoaťažnézvieratá","l10n_sk.sk_chart_template"
"chart_sk_029","029","Ostatnýdlhodobýhmotnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_03","03","Dlhodobýhmotnýmajetok-neodpisovaný","l10n_sk.sk_chart_template"
"chart_sk_031","031","Pozemky","l10n_sk.sk_chart_template"
"chart_sk_032","032","Umeleckédielaazbierky","l10n_sk.sk_chart_template"
"chart_sk_04","04","Obstaraniedlhodobéhomajetku","l10n_sk.sk_chart_template"
"chart_sk_041","041","Obstaraniedlhodobéhonehmotnéhomajetku","l10n_sk.sk_chart_template"
"chart_sk_042","042","Obstaraniedlhodobéhohmotnéhomajetku","l10n_sk.sk_chart_template"
"chart_sk_043","043","Obstaraniedlhodobéhofinančnéhomajetku","l10n_sk.sk_chart_template"
"chart_sk_05","05","Poskytnutépreddavkynadlhodobýmajetok","l10n_sk.sk_chart_template"
"chart_sk_051","051","Poskytnutépreddavkynadlhodobýnehmotnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_052","052","Poskytnutépreddavkynadlhodobýhmotnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_055","055","Poskytnutépreddavkynadlhodobýfinančnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_06","06","Dlhodobýfinančnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_061","061","Podielovécennépapiereapodielyvdcérskejúčtovnejjednotke","l10n_sk.sk_chart_template"
"chart_sk_062","062","Podielovécennépapiereapodielyvspoločnostialebodružstvespodielovouúčasťou","l10n_sk.sk_chart_template"
"chart_sk_063","063","Realizovateľnécennépapiereapodiely","l10n_sk.sk_chart_template"
"chart_sk_065","065","Dlhovécennépapieredržanédosplatnosti","l10n_sk.sk_chart_template"
"chart_sk_066","066","Pôžičkyprepojenýmúčtovnýmjednotkámaúčtovnýmjednotkámvrámcipodielovejúčasti","l10n_sk.sk_chart_template"
"chart_sk_067","067","Ostatnépôžičky","l10n_sk.sk_chart_template"
"chart_sk_069","069","Ostatnýdlhodobýfinančnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_07","07","Oprávkykdlhodobémunehmotnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_072","072","Oprávkykaktivovanýmnákladomnavývoj","l10n_sk.sk_chart_template"
"chart_sk_073","073","Oprávkyksoftvéru","l10n_sk.sk_chart_template"
"chart_sk_074","074","Oprávkykoceniteľnýmprávam","l10n_sk.sk_chart_template"
"chart_sk_075","075","Oprávkykugoodwilu","l10n_sk.sk_chart_template"
"chart_sk_079","079","Opravkykostatnémudlhodobémunehmotnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_08","08","Oprávkykdlhodobémuhmotnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_081","081","Oprávkykstavbám","l10n_sk.sk_chart_template"
"chart_sk_082","082","Oprávkyksamostatnýmhnuteľnýmveciamaksúboruhnuteľnýchvecí","l10n_sk.sk_chart_template"
"chart_sk_085","085","Oprávkykpestovateľskýmcelkomtrvalýchporastov","l10n_sk.sk_chart_template"
"chart_sk_086","086","Oprávkykzákladnémustáduaťažnýmzvieratám","l10n_sk.sk_chart_template"
"chart_sk_089","089","Oprávkykostatnémudlhodobémuhmotnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_09","09","Opravnépoložkykdlhodobémumajetku","l10n_sk.sk_chart_template"
"chart_sk_091","091","Opravnépoložkykdlhodobémunehmotnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_092","092","Opravnépoložkykdlhodobémuhmotnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_093","093","Opravnépoložkyknedokončenémudlhodobémunehmotnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_094","094","Opravnépoložkyknedokončenémudlhodobémuhmotnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_095","095","Opravnépoložkykposkytnutýmpreddavkomnadlhodobýmajetok","l10n_sk.sk_chart_template"
"chart_sk_096","096","Opravnépoložkykdlhodobémufinančnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_097","097","Opravnépoložkyknadobudnutémumajetku","l10n_sk.sk_chart_template"
"chart_sk_098","098","Oprávkykopravnejpoložkeknadobudnutémumajetku","l10n_sk.sk_chart_template"
"chart_sk_1","1","Zásoby","l10n_sk.sk_chart_template"
"chart_sk_11","11","Materiál","l10n_sk.sk_chart_template"
"chart_sk_111","111","Obstaraniemateriálu","l10n_sk.sk_chart_template"
"chart_sk_112","112","Materiálnasklade","l10n_sk.sk_chart_template"
"chart_sk_119","119","Materiálnaceste","l10n_sk.sk_chart_template"
"chart_sk_12","12","Zásobyvlastnejvýroby","l10n_sk.sk_chart_template"
"chart_sk_121","121","Nedokončenávýroba","l10n_sk.sk_chart_template"
"chart_sk_122","122","Polotovaryvlastnejvýroby","l10n_sk.sk_chart_template"
"chart_sk_123","123","Výrobky","l10n_sk.sk_chart_template"
"chart_sk_124","124","Zvieratá","l10n_sk.sk_chart_template"
"chart_sk_13","13","Tovar","l10n_sk.sk_chart_template"
"chart_sk_131","131","Obstaranietovaru","l10n_sk.sk_chart_template"
"chart_sk_132","132","Tovarnaskladeavpredajniach","l10n_sk.sk_chart_template"
"chart_sk_133","133","Nehnuteľnosťnapredaj","l10n_sk.sk_chart_template"
"chart_sk_139","139","Tovarnaceste","l10n_sk.sk_chart_template"
"chart_sk_19","19","Opravnépoložkykzásobám","l10n_sk.sk_chart_template"
"chart_sk_191","191","Opravnépoložkykmateriálu","l10n_sk.sk_chart_template"
"chart_sk_192","192","Opravnépoložkyknedokončenejvýrobe","l10n_sk.sk_chart_template"
"chart_sk_193","193","Opravnépoložkykpolotovaromvlastnejvýroby","l10n_sk.sk_chart_template"
"chart_sk_194","194","Opravnépoložkykvýrobkom","l10n_sk.sk_chart_template"
"chart_sk_195","195","Opravnépoložkykzvieratám","l10n_sk.sk_chart_template"
"chart_sk_196","196","Opravnépoložkyktovaru","l10n_sk.sk_chart_template"
"chart_sk_2","2","Finančnéúčty","l10n_sk.sk_chart_template"
"chart_sk_21","21","Peniaze","l10n_sk.sk_chart_template"
"chart_sk_211","211","Pokladnica","l10n_sk.sk_chart_template"
"chart_sk_213","213","Ceniny","l10n_sk.sk_chart_template"
"chart_sk_22","22","Účtyvbankách","l10n_sk.sk_chart_template"
"chart_sk_221","221","Bankovéúčty","l10n_sk.sk_chart_template"
"chart_sk_23","23","Bežnébankovéúvery","l10n_sk.sk_chart_template"
"chart_sk_231","231","Krátkodobébankovéúvery","l10n_sk.sk_chart_template"
"chart_sk_232","232","Eskontnéúvery","l10n_sk.sk_chart_template"
"chart_sk_24","24","Inékrátkodobéfinančnévýpomoci","l10n_sk.sk_chart_template"
"chart_sk_241","241","Vydanékrátkodobédlhopisy","l10n_sk.sk_chart_template"
"chart_sk_249","249","Ostatnékrátkodobéfinančnévýpomoci","l10n_sk.sk_chart_template"
"chart_sk_25","25","Krátkodobýfinančnýmajetok","l10n_sk.sk_chart_template"
"chart_sk_251","251","Majetkovécennépapierenaobchodovanie","l10n_sk.sk_chart_template"
"chart_sk_252","252","Vlastnéakcieavlastnéobchodnépodiely","l10n_sk.sk_chart_template"
"chart_sk_253","253","Dlhovécennépapierenaobchodovanie","l10n_sk.sk_chart_template"
"chart_sk_255","255","Vlastnédlhopisy","l10n_sk.sk_chart_template"
"chart_sk_256","256","Dlhovécennépapieresosplatnosťoudojednéhorokadržanédosplatnosti","l10n_sk.sk_chart_template"
"chart_sk_257","257","Ostatnérealizovateľnécennépapiere","l10n_sk.sk_chart_template"
"chart_sk_259","259","Obstaraniekrátkodobéhofinančnéhomajetku","l10n_sk.sk_chart_template"
"chart_sk_26","26","Prevodymedzifinančnýmiúčtami","l10n_sk.sk_chart_template"
"chart_sk_261","261","Peniazenaceste","l10n_sk.sk_chart_template"
"chart_sk_29","29","Opravnépoložkykukrátkodobémufinančnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_291","291","Opravnépoložkykukrátkodobémufinančnémumajetku","l10n_sk.sk_chart_template"
"chart_sk_3","3","Zúčtovacievzťahy","l10n_sk.sk_chart_template"
"chart_sk_31","31","Pohľadávky","l10n_sk.sk_chart_template"
"chart_sk_311","311","Odberatelia","l10n_sk.sk_chart_template"
"chart_sk_312","312","Zmenkynainkaso","l10n_sk.sk_chart_template"
"chart_sk_313","313","Pohľadávkyzaeskontovanécennépapiere","l10n_sk.sk_chart_template"
"chart_sk_314","314","Poskytnutépreddavky","l10n_sk.sk_chart_template"
"chart_sk_315","315","Ostatnépohľadávky","l10n_sk.sk_chart_template"
"chart_sk_316","316","Čistáhodnotazákazky","l10n_sk.sk_chart_template"
"chart_sk_32","32","Záväzky","l10n_sk.sk_chart_template"
"chart_sk_321","321","Dodávatelia","l10n_sk.sk_chart_template"
"chart_sk_322","322","Zmenkynaúhradu","l10n_sk.sk_chart_template"
"chart_sk_323","323","Krátkodobérezervy","l10n_sk.sk_chart_template"
"chart_sk_324","324","Prijatépreddavky","l10n_sk.sk_chart_template"
"chart_sk_325","325","Ostatnézáväzky","l10n_sk.sk_chart_template"
"chart_sk_326","326","Nevyfakturovanédodávky","l10n_sk.sk_chart_template"
"chart_sk_33","33","Zúčtovaniesozamestnancamiaorgánmisociálnehopoisteniaazdravotnéhopoistenia","l10n_sk.sk_chart_template"
"chart_sk_331","331","Zamestnanci","l10n_sk.sk_chart_template"
"chart_sk_333","333","Ostatnézáväzkyvočizamestnancom","l10n_sk.sk_chart_template"
"chart_sk_335","335","Pohľadávkyvočizamestnancom","l10n_sk.sk_chart_template"
"chart_sk_336","336","Zúčtovaniesorgánmisociálnehozabezpečeniaazdravotnéhopoistenia","l10n_sk.sk_chart_template"
"chart_sk_34","34","Zúčtovaniedaníadotácií","l10n_sk.sk_chart_template"
"chart_sk_341","341","Daňzpríjmov","l10n_sk.sk_chart_template"
"chart_sk_342","342","Ostatnépriamedane","l10n_sk.sk_chart_template"
"chart_sk_343","343","Daňzpridanejhodnoty","l10n_sk.sk_chart_template"
"chart_sk_345","345","Ostatnédaneapoplatky","l10n_sk.sk_chart_template"
"chart_sk_346","346","Dotáciezoštatnehorozpočtu","l10n_sk.sk_chart_template"
"chart_sk_347","347","Ostatnédodácie","l10n_sk.sk_chart_template"
