"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"a_recv","AccountReceivable","1200","account.data_account_type_receivable","l10n_th.chart","True"
"a_recv_pos","AccountReceivable(PoS)","1210","account.data_account_type_receivable","l10n_th.chart","True"
"a_cheque","OutstandingCheques","1201","account.data_account_type_current_liabilities","l10n_th.chart","True"
"a_invent","Inventory","1300","account.data_account_type_current_assets","l10n_th.chart","False"
"a_building_depr","AccumulatedDepreciation-Building","1411","account.data_account_type_depreciation","l10n_th.chart","False"
"a_equipment_dept","AccumulatedDepreciation-Equipment","1421","account.data_account_type_depreciation","l10n_th.chart","False"
"a_input_vat","InputVAT","1510","account.data_account_type_current_assets","l10n_th.chart","False"
"a_wht_income","WithholdingIncomeTax","1520","account.data_account_type_current_assets","l10n_th.chart","False"
"a_pay","AccountPayable","2101","account.data_account_type_payable","l10n_th.chart","True"
"a_accr_exp","AccruedExpenses","2102","account.data_account_type_current_liabilities","l10n_th.chart","True"
"a_uninvoiced_receipts","UninvoicedReceipts","2103","account.data_account_type_current_liabilities","l10n_th.chart","True"
"a_loan","Loans","2200","account.data_account_type_current_liabilities","l10n_th.chart","True"
"a_output_vat","OutputVAT","2310","account.data_account_type_current_liabilities","l10n_th.chart","False"
"a_wht","WithholdingTax","2320","account.data_account_type_current_liabilities","l10n_th.chart","False"
"a_common_stock","CapitalStock","3100","account.data_account_type_equity","l10n_th.chart","False"
"a_retained_earnings","RetainedEarnings","3200","account.data_account_type_equity","l10n_th.chart","False"
"a_dividends","Dividends","3300","account.data_account_type_equity","l10n_th.chart","False"
"a_income_summary","IncomeSummary","3400","account.data_account_type_equity","l10n_th.chart","False"
"a_sales","Income","4100","account.data_account_type_revenue","l10n_th.chart","False"
"a_income_gain","GainAccount","4200","account.data_account_type_other_income","l10n_th.chart","False"
"a_exp_cogs","CostofRevenue","5100","account.data_account_type_direct_costs","l10n_th.chart","False"
"a_exp_salary","Salary","5201","account.data_account_type_expenses","l10n_th.chart","False"
"a_exp_rent","Rent","5202","account.data_account_type_expenses","l10n_th.chart","False"
"a_exp_office","OfficeExpenses","5203","account.data_account_type_expenses","l10n_th.chart","False"
"a_exp_interest","Interestexpenses","5300","account.data_account_type_expenses","l10n_th.chart","False"
"a_exp_income_tax","Incometaxexpenses","5400","account.data_account_type_expenses","l10n_th.chart","False"
"a_exp_loss","LossAccount","5500","account.data_account_type_expenses","l10n_th.chart","False"
