"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"tr101","AlınanÇekler","101","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr108","DiğerHazırDeğerler","108","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr110","HisseSenetleri","110","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr111","ÖzelKesimTahvilSenetVeBonoları","111","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr112","KamuKesimiTahvil,SenetveBonoları","112","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr118","DiğerMenkulKıymetler","118","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr119","MenkulKıymetlerDeğerDüşüklüğüKarşılığı(-)","119","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr120","Alıcılar","120","account.data_account_type_receivable","l10n_tr.l10ntr_tek_duzen_hesap","True"
"tr121","AlacakSenetleri","121","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr122","AlacakSenetleriReeskontu(-)","122","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr123","Alıcılar(PoS)","123","account.data_account_type_receivable","l10n_tr.l10ntr_tek_duzen_hesap","True"
"tr124","KazanılmamışFinansalKiralamaFaizGelirleri(-)","124","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr126","VerilenDepozitoveTeminatlar","126","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr127","DiğerTicariAlacaklar","127","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr128","ŞüpheliTicariAlacaklar","128","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr129","ŞüpheliTicariAlacaklarKarşılığı","129","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr131","OrtaklardanAlacaklar","131","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr132","İştiraklerdenAlacaklar","132","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr133","BağlıOrtaklıklardanAlacaklar","133","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr135","PersoneldenAlacaklar","135","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr136","DiğerÇeşitliAlacaklar","136","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr137","DiğerAlacakSenetleriReeskontu(-)","137","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr138","ŞüpheliDiğerAlacaklar","138","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr139","ŞüpheliDiğerAlacaklarKarşılığı(-)","139","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr150","İlkMaddeMalzeme","150","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr151","YarıMamuller","151","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr152","Mamuller","152","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr153","TicariMallar","153","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr158","StokDeğerDüşüklüğüKarşılığı(-)","158","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr159","VerilenSiparişAvansları","159","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr170","YıllaraYaygınİnşaatVeOnarımMaliyetleri","170","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr179","TaşeronlaraVerilenAvanslar","179","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr180","GelecekAylaraAitGiderler","180","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr181","GelirTahakkukları","181","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr190","DevredenKDV","190","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr191","İndirilecekKDV","191","account.data_account_type_current_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr192","DiğerKDV","192","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr193","PeşinÖdenenVergilerVeFonlar","193","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr195","İşAvansları","195","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr196","PersonelAvansları","196","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr197","SayımVeTesellümNoksanları","197","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr198","DiğerÇeşitliDönenVarlıklar","198","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr199","DiğerDönenVarlıklarKarşılığı(-)","199","account.data_account_type_expenses","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr220","Alıcılar","220","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr221","AlacakSenetleri","221","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr222","AlacakSenetleriReeskontu(-)","222","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr224","KazaqnılmamışFinansalKiralamaFaizGelirleri(-)","224","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr226","VerilenDepozitoVeTeminatlar","226","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr229","ŞüpheliTicariAlacaklarKarşılığı(-)","229","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr231","OrtaklardanAlacaklar","231","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr232","İştiraklerdenAlacaklar","232","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr233","BağlıOrtaklıklardanAlacaklar","233","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr235","PersoneldenAlacaklar","235","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr236","DiğerÇeşitliAlacaklar","236","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr237","DiğerAlacakSenetleriReeskontu(-)","237","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr240","BağlıMenkulKıymetler","240","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr241","BağlıMenkulKıymetlerDeğerDüşüklüğüKarşılığı(-)","241","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr242","İştirakler","242","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr243","İştiraklereSermayeTaahhütleri(-)","243","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr244","İştiraklerSermayePaylarıDeğerDüşüklüğüKarşılığı(-)","244","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr245","BağlıOrtaklıklar","245","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr246","BağlıOrtaklıklaraSermayeTaahhütleri(-)","246","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr247","BağlıOrtaklıklarSermayePaylarıDeğerDüşüklüğüKarşılığı(-)","247","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr248","DiğerMaliDuranVarlıklar","248","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
"tr249","DiğerMaliDuranVarlıklarKarşılığı(-)","249","account.data_account_type_fixed_assets","l10n_tr.l10ntr_tek_duzen_hesap","False"
