"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"uy_code_11201","DepósitosBancarios","11201","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11202","ValoresPúblicos","11202","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11211","Previsiónparadesvalorizaciones","11211","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11212","Interesespercibidosporadelantado","11212","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11300","DeudoresVarios(def)","11300","account.data_account_type_receivable","l10n_uy.uy_chart_template","True"
"uy_code_11301","DeudoresSimplesPlaza","11301","account.data_account_type_receivable","l10n_uy.uy_chart_template","True"
"uy_code_11302","DeudoresporExportaciones","11302","account.data_account_type_receivable","l10n_uy.uy_chart_template","True"
"uy_code_11303","DocumentosaCobrarMN","11303","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11304","DocumentosaCobrarME","11304","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11305","ChequesenCarteraMN","11305","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11306","ChequesenCarteraME","11306","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11307","DeudoresVarios(PoS)","11307","account.data_account_type_receivable","l10n_uy.uy_chart_template","True"
"uy_code_11311","PrevisionparaDeudoresIncobrables","11311","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11312","Previsionp/dtosyBonificaciones","11312","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11313","Interesespercibidosporadelantado","11313","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11314","Ingresosdiferidos","11314","account.data_account_type_current_assets","l10n_uy.uy_chart_template","True"
"uy_code_11401","AnticiposaProveedores","11401","account.data_account_type_current_liabilities","l10n_uy.uy_chart_template","True"
